award_title,years,finalist,winner,groups
Outstanding Casting for a Comedy Series,2020 Awards,Schitt's Creek,Winner,"Lisa Parasyn, (casting director),, ,Jon Comerford, (casting director)"
Outstanding Casting for a Comedy Series,2020 Awards,Curb Your Enthusiasm,,"Allison Jones, (casting director),, ,Ben Harris, (casting director)"
Outstanding Casting for a Comedy Series,2020 Awards,Dead to Me,,"Sherry Thomas, (casting director),, ,Russell Scott, (casting director),, ,Sharon Bialy, (casting director)"
Outstanding Casting for a Comedy Series,2020 Awards,Insecure,,"Victoria Thomas, (casting director),, ,Matthew Maisto, (casting director)"
Outstanding Casting for a Comedy Series,2020 Awards,The Marvelous Mrs. Maisel,,"Cindy Tolan, (casting director)"
Outstanding Casting for a Comedy Series,2020 Awards,What We Do in the Shadows,,"Gayle Keller, (casting director),, ,Jenny Lewis, (canadian casting director),, ,Sara Kay, (canadian casting director)"
Outstanding Casting for a Drama Series,2020 Awards,Succession,Winner,"Avy Kaufman, (casting director)"
Outstanding Casting for a Drama Series,2020 Awards,Big Little Lies,,"David Rubin, (casting director)"
Outstanding Casting for a Drama Series,2020 Awards,Killing Eve,,"Gilly Poole, (casting director),, ,Suzanne Crowley, (casting director)"
Outstanding Casting for a Drama Series,2020 Awards,Ozark,,"Alexa L. Fogel, (casting by),, ,Tara Feldstein, (location casting) (as Tara Feldstein Bennett),, ,Chase Paris, (location casting)"
Outstanding Casting for a Drama Series,2020 Awards,The Crown,,"Nina Gold, (casting director),, ,Robert Sterne, (casting director)"
Outstanding Casting for a Drama Series,2020 Awards,The Handmaid's Tale,,"Sharon Bialy, (casting director),, ,Sherry Thomas, (casting director),, ,Russell Scott, (casting director),, ,Robin D. Cook, (canadian casting director)"
"Outstanding Casting for a Limited Series, Movie or Special",2020 Awards,Watchmen,Winner,"Victoria Thomas, (casting director),, ,Meagan Lewis, (location casting director)"
"Outstanding Casting for a Limited Series, Movie or Special",2020 Awards,Mrs. America,,"Carmen Cuba, (casting director),, ,Robin D. Cook, (location casting director)"
"Outstanding Casting for a Limited Series, Movie or Special",2020 Awards,Normal People,,"Louise Kiely, (casting director)"
"Outstanding Casting for a Limited Series, Movie or Special",2020 Awards,Unbelievable,,"Laura Rosenthal, (casting director),, ,Jodi Angstreich, (casting director),, ,Kate Caldwell, (casting director),, ,Melissa Kostenbauder, (casting director)"
"Outstanding Casting for a Limited Series, Movie or Special",2020 Awards,Unorthodox,,"Esther Kling, (casting director),, ,Vicki Thomson, (location casting director),, ,Maria Rölcke, (location casting director),, ,Cornelia Mareth, (location casting director)"
Outstanding Casting for a Reality Program,2020 Awards,RuPaul's Drag Race,Winner,"Goloka Bolte, (casting director),, ,Ethan Petersen, (casting director)"
Outstanding Casting for a Reality Program,2020 Awards,Born This Way,,"Sasha Alpert, (casting director),, ,Megan Sleeper, (casting director),, ,Caitlyn Conway, (casting director)"
Outstanding Casting for a Reality Program,2020 Awards,Love Is Blind,,"Donna A. Driscoll, (casting director),, ,Kelly Zack Castillo, (casting director),, ,Megan Feldman, (casting director)"
Outstanding Casting for a Reality Program,2020 Awards,Queer Eye,,"Danielle Gervais, (casting director),, ,Beyhan Oguz, (casting director),, ,Pamela Vallarelli, (casting director),, ,Ally Capriotti Grant, (location casting director),, ,Hana Sakata, (location casting director)"
Outstanding Casting for a Reality Program,2020 Awards,The Voice,,"Michelle McNulty, (supervising casting producer),, ,Holly Dale, (casting producer),, ,Courtney Burns, (casting producer)"
Outstanding Character Voice-Over Performance,2020 Awards,Big Mouth,Winner,Maya Rudolph
Outstanding Character Voice-Over Performance,2020 Awards,Central Park,,Leslie Odom Jr.
Outstanding Character Voice-Over Performance,2020 Awards,Crank Yankers,,Wanda Sykes
Outstanding Character Voice-Over Performance,2020 Awards,The Mandalorian,,Taika Waititi
Outstanding Character Voice-Over Performance,2020 Awards,The Simpsons,,Nancy Cartwright
Outstanding Character Voice-Over Performance,2020 Awards,The Simpsons,,Hank Azaria
Outstanding Children's Program,2020 Awards,The Dark Crystal: Age of Resistance,Winner,"Lisa Henson, (executive producer),, ,Halle Stanford, (executive producer),, ,Louis Leterrier, (executive producer),, ,Jeffrey Addiss, (co-executive producer),, ,Will Matthews, (co-executive producer),, ,Javier Grillo-Marxuach, (co-executive producer),, ,Blanca Lista, (co-executive producer),, ,Ritamarie Peruggi, (produced by)"
Outstanding Children's Program,2020 Awards,We Are the Dream: The Kids of the Oakland MLK Oratorical Fest,Winner,"Mahershala Ali, (executive producer),, ,Amatus Sami Karim, (executive producer),, ,Mimi Valdes, (executive producer),, ,Julie Anderson, (executive producer),, ,Amy Schatz, (produced by),, ,Diane Kolyer, (produced by)"
Outstanding Children's Program,2020 Awards,Star Wars Resistance,,"Brandon Auman, (executive producer),, ,Athena Yvette Portillo, (executive producer),, ,Dave Filoni, (executive producer),, ,Justin Ridge, (executive producer),, ,Sareana Sun, (executive producer),, ,Shuzo John Shiota, (executive producer),, ,Daisy Fang, (producer),, ,Jack Liang, (producer)"
Outstanding Choreography for Scripted Programming,2020 Awards,Zoey's Extraordinary Playlist,Winner,"Mandy Moore, (choreographer)"
Outstanding Choreography for Variety or Reality Programming,2020 Awards,So You Think You Can Dance,Winner,Al Blackstone
Outstanding Choreography for Variety or Reality Programming,2020 Awards,Savage X Fenty Show,,Parris Goebel
Outstanding Choreography for Variety or Reality Programming,2020 Awards,So You Think You Can Dance,,Travis Wall
Outstanding Choreography for Variety or Reality Programming,2020 Awards,The Oscars,,Jemel McWilliams
Outstanding Choreography for Variety or Reality Programming,2020 Awards,World of Dance,,"Adrianita Avila,, ,Jefferson Benjumea"
Outstanding Cinematography for a Limited Series or Movie,2020 Awards,Watchmen,Winner,Gregory Middleton
Outstanding Cinematography for a Limited Series or Movie,2020 Awards,Defending Jacob,,Jonathan Freeman
Outstanding Cinematography for a Limited Series or Movie,2020 Awards,Devs,,Rob Hardy
Outstanding Cinematography for a Limited Series or Movie,2020 Awards,The Plot Against America,,Martin Ahlgren
Outstanding Cinematography for a Limited Series or Movie,2020 Awards,Watchmen,,Xavier Grobet
Outstanding Cinematography for a Multi-Camera Series,2020 Awards,The Ranch,Winner,"Donald A. Morgan, (director of photography)"
Outstanding Cinematography for a Multi-Camera Series,2020 Awards,Bob Hearts Abishola,,"Patti Lee, (director of photography)"
Outstanding Cinematography for a Multi-Camera Series,2020 Awards,Family Reunion,,"John Simmons, (director of photography)"
Outstanding Cinematography for a Multi-Camera Series,2020 Awards,Will & Grace,,"Gary Baum, (director of photography)"
Outstanding Cinematography for a Nonfiction Program,2020 Awards,The Cave,Winner,"Muhammed Khamir Al Shami,, ,Ammar Suleiman,, ,Mohammad Eyad"
Outstanding Cinematography for a Nonfiction Program,2020 Awards,American Factory,,"Aubrey Keith,, ,Erick Stoll"
Outstanding Cinematography for a Nonfiction Program,2020 Awards,Apollo 11,,"Buzz Aldrin,, ,Michael Collins"
Outstanding Cinematography for a Nonfiction Program,2020 Awards,Becoming,,Nadia Hallgren
Outstanding Cinematography for a Nonfiction Program,2020 Awards,Sea of Shadows,,Richard Ladkani
Outstanding Cinematography for a Nonfiction Program,2020 Awards,Serengeti,,"Richard Jones,, ,Michael W. Richards,, ,Warren Samuels,, ,Matthew Goodman"
Outstanding Cinematography for a Reality Program,2020 Awards,Life Below Zero,Winner,"Michael Cheeseman, (director of photography),, ,Danny Day, (Director of Photography),, ,Dwayne Fowler, (director of photography)"
Outstanding Cinematography for a Reality Program,2020 Awards,Cheer,,"Melissa Langer, (director of photography),, ,Erynn Patrick, (director of photography)"
Outstanding Cinematography for a Reality Program,2020 Awards,Queer Eye: We're in Japan!,,"Garrette Warner Rose, (director of photography)"
Outstanding Cinematography for a Reality Program,2020 Awards,RuPaul's Drag Race,,"Michael Jacob Kerber, (director of photography),, ,Jon Schneider, (camera operator),, ,Jay Mack Arnette II, (camera operator),, ,Mario Panagiotopoulos, (camera operator),, ,Gregory Montes, (camera operator),, ,Brett Smith, (camera operator),, ,David McCoul, (camera operator),, ,Justin Umphenour, (camera operator)"
Outstanding Cinematography for a Reality Program,2020 Awards,Survivor,,"Peter Wery, (director of photography),, ,Scott Duncan, (director of photography),, ,Russell Fill, (director of photography),, ,Tim Barker, (camera),, ,Marc Bennett, (camera),, ,James Boon, (camera),, ,Paulo Castillo, (camera),, ,Rodney Chauvin, (camera),, ,Luke Cormack, (camera),, ,Lee Doig, (camera),, ,Ben Gamble, (camera),, ,Kevin Garrison, (camera),, ,Nixon George, (camera),, ,Rick Higgs, (camera),, ,Derek Hoffmann, (camera),, ,Matthias Hoffmann, (camera),, ,Toby Hogan, (camera),, ,Derek Holt, (camera),, ,Efrain Laguna, (camera),, ,Ian Miller, (camera),, ,Nico Nyoni, (camera),, ,Ryan O'Donnell, (camera),, ,Jeff Phillips, (camera),, ,Louis Powell, (camera),, ,Thomas Pretorius, (camera),, ,Erik Sarmiento, (camera),, ,Dirk Steyn, (camera),, ,John Tattersall, (camera),, ,Paulo Velozo, (camera),, ,Dave Arnold, (aerial director of photography),, ,Chris Barker, (aerial camera operator),, ,Granger Scholtz, (aerial camera operator),, ,Nick van der Westhuizen, (aerial camera operator)"
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2020 Awards,The Mandalorian,Winner,"Greig Fraser,, ,Barry Baz Idoine"
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2020 Awards,Homecoming,,Jas Shelton
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2020 Awards,Insecure,,Ava Berkofsky
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2020 Awards,Insecure,,Kira Kelly
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2020 Awards,The End of the F***ing World,,Benedict Spence
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,The Marvelous Mrs. Maisel,Winner,"M. David Mullen, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,Mindhunter,,"Erik Messerschmidt, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,Ozark,,"Ben Kutchins, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,Ozark,,"Armando Salas, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,Tales from the Loop,,"Jeff Cronenweth, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,The Crown,,"Adriano Goldman, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,Westworld,,"Paul Cameron, (director of photography)"
Outstanding Contemporary Costumes,2020 Awards,Schitt's Creek,Winner,"Debra Hanson, (costume designer),, ,Darci Cheyne, (assistant costume designer)"
Outstanding Contemporary Costumes,2020 Awards,Black-ish,,"Michelle Cole, (costume designer),, ,Juliann Smith DeVito, (costume supervisor)"
Outstanding Contemporary Costumes,2020 Awards,Euphoria,,"Heidi Bivens, (costume designer),, ,Danielle Baker, (costume supervisor),, ,Katina Danabassis, (assistant costume designer)"
Outstanding Contemporary Costumes,2020 Awards,Grace and Frankie,,"Allyson B. Fanger, (costume designer),, ,Kristine N. Haag, (assistant costume designer),, ,Lori DeLapp, (costume supervisor)"
Outstanding Contemporary Costumes,2020 Awards,Killing Eve,,"Sam Perry, (costume designer),, ,Katie Broome, (costume supervisor),, ,Justin Selway, (assistant costume designer)"
Outstanding Contemporary Costumes,2020 Awards,The Politician,,"Lou Eyrich, (supervising costume designer),, ,Claire Parkinson, (costume designer),, ,Lily Parkinson, (assistant costume designer),, ,Nora Phillips Pedersen, (costume supervisor)"
Outstanding Contemporary Costumes,2020 Awards,Unorthodox,,"Justine Seymour, (costume designer),, ,Simone Kreska, (costume supervisor),, ,Barbara Schramm, (costume supervisor)"
Outstanding Contemporary Hairstyling,2020 Awards,Black-ish,Winner,"Araxi Lindsey, (department head hairstylist),, ,Robert C. Mathews III, (additional hairstylist),, ,Enoch Williams, (key hairstylist)"
Outstanding Contemporary Hairstyling,2020 Awards,Grace and Frankie,,"Kelly Kline, (department head hairstylist),, ,Jonathan Hanousek, (key hairstylist),, ,Marlene D. Williams, (key hairstylist)"
Outstanding Contemporary Hairstyling,2020 Awards,Schitt's Creek,,"Annastasia Cucullo, (key hairstylist),, ,Ana Sorys, (personal hairstylist)"
Outstanding Contemporary Hairstyling,2020 Awards,The Handmaid's Tale,,"Paul R.J. Elliot, (department head hairstylist),, ,Ewa Latak-Cynk, (co-department head hairstylist)"
Outstanding Contemporary Hairstyling,2020 Awards,The Politician,,"Chris Clark, (department head hairstylist),, ,Natalie Driscoll, (assistant department head hairstylist),, ,Havana Prats, (hairstylist)"
Outstanding Contemporary Hairstyling,2020 Awards,This Is Us,,"Michael Reitz, (department head hairstylist),, ,Katherine Rees, (key hairstylist),, ,Germicka Barclay, (additional hairstylist),, ,Renia Green, (additional hairstylist),, ,Corey Hill, (additional hairstylist)"
"Outstanding Contemporary Hairstyling for a Variety, Nonfiction or Reality Program",2020 Awards,RuPaul's Drag Race,Winner,"Curtis Foreman, (department head hairstylist),, ,Ryan Randall, (hairstylist)"
"Outstanding Contemporary Hairstyling for a Variety, Nonfiction or Reality Program",2020 Awards,A Celebration of the Music from Coco,,"Jennifer Guerrero-Mazursky, (department head hairstylist),, ,Yvonne Depatis-Kupka, (key hairstylist),, ,Kimi Messina, (additional hairstylist),, ,Gail Rowell-Ryan, (additional hairstylist),, ,Amber Nicholle Maher, (hairstylist),, ,Yiotis Panayiotou, (hairstylist),, ,Megg Massey, (hairstylist)"
"Outstanding Contemporary Hairstyling for a Variety, Nonfiction or Reality Program",2020 Awards,Dancing with the Stars,,"Mary Guerrero, (department head hairstylist),, ,Kimi Messina, (key hairstylist),, ,Gail Rowell-Ryan, (hairstylist),, ,Cheryl Eckert, (hairstylist),, ,Jennifer Guerrero-Mazursky, (hairstylist),, ,Jani Kleinbard, (hairstylist),, ,Amber Nicholle Maher, (hairstylist),, ,Patricia Pineda, (hairstylist)"
"Outstanding Contemporary Hairstyling for a Variety, Nonfiction or Reality Program",2020 Awards,The Oscars,,"Anthony Wilson, (department head hairstylist),, ,Barbara Cantu, (key hairstylist),, ,Paula Ashby, (hairstylist),, ,Vickie Mynes, (hairstylist),, ,Yvonne Depatis-Kupka, (hairstylist),, ,Gail Rowell-Ryan, (hairstylist),, ,Iraina Crenshaw, (hairstylist),, ,Luke O'Connor, (hairstylist)"
"Outstanding Contemporary Hairstyling for a Variety, Nonfiction or Reality Program",2020 Awards,The Voice,,"Jerilynn Straitiff, (department head hairstylist),, ,Amber Nicholle Maher, (key hairstylist),, ,Regina Rodriguez, (hairstylist),, ,Renee Ferruggia, (hairstylist),, ,Darbie Wieczorek, (hairstylist),, ,Cory Rotenberg, (hairstylist),, ,Danilo Dixon, (personal hairstylist),, ,Robert Ramos, (personal hairstylist)"
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,Euphoria,Winner,"Doniella Davy, (department head makeup artist),, ,Kirsten Coleman, (assistant department head makeup artist),, ,Tara Lang, (makeup artist)"
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,Big Little Lies,,"Michelle Radow, (department head makeup artist),, ,Erin Rosenmann, (key makeup artist),, ,Karen Toole-Rentrop, (makeup artist),, ,Molly Stern, (personal makeup artist),, ,Angela Levin, (personal makeup artist),, ,Simone Almekias-Siegl, (personal makeup artist),, ,Miho Suzuki, (personal makeup artist),, ,Claudia Humburg, (personal makeup artist)"
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,Ozark,,"Tracy Ewell, (department head makeup artist),, ,Jillian Erickson, (key makeup artist),, ,Jack Lazzaro, (key makeup artist),, ,Susan Reilly LeHane, (personal makeup artist)"
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,Schitt's Creek,,"Candice Ornstein, (key makeup artist),, ,Lucky Bromhead, (personal makeup artist)"
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,The Handmaid's Tale,,"Burton J. LeBlanc, (department head makeup artist),, ,Alastair Muir, (key makeup artist)"
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,The Politician,,"Autumn Butler, (department head makeup artist),, ,Caitlin Martini, (assistant department head makeup artist),, ,Debra Schrey, (makeup artist),, ,Emma Johnston Burton, (makeup artist)"
"Outstanding Contemporary Makeup for a Variety, Nonfiction or Reality Program (Non-Prosthetic)",2020 Awards,RuPaul's Drag Race,Winner,"Natasha Marcelina, (department head makeup artist),, ,David Petruschin, (makeup artist),, ,Jen Fregozo, (makeup artist),, ,Nicole Faulkner, (makeup artist)"
"Outstanding Contemporary Makeup for a Variety, Nonfiction or Reality Program (Non-Prosthetic)",2020 Awards,Dancing with the Stars,,"Zena Shteysel, (department head makeup artist),, ,Angela Moos, (key makeup artist),, ,Patti Ramsey Bortoli, (additional makeup artist),, ,Sarah Woolf, (additional makeup artist),, ,Julie Socash, (additional makeup artist),, ,Alison Gladieux, (additional makeup artist),, ,Donna J. Bard, (additional makeup artist),, ,Nadege Schoenfeld, (additional makeup artist)"
"Outstanding Contemporary Makeup for a Variety, Nonfiction or Reality Program (Non-Prosthetic)",2020 Awards,The Little Mermaid Live!,,"Bruce Grayson, (department head makeup artist),, ,Angela Moos, (co-department head makeup artist),, ,Jennifer Aspinall, (key makeup artist),, ,Julie Socash, (makeup artist),, ,Valerie Hunt, (makeup artist),, ,Shutchai Tym Buacharern, (makeup artist),, ,Jennifer Turchi Nigh, (makeup artist),, ,Robin Beauchesne, (makeup artist)"
"Outstanding Contemporary Makeup for a Variety, Nonfiction or Reality Program (Non-Prosthetic)",2020 Awards,The Oscars,,"Bruce Grayson, (department head makeup artist),, ,Angela Moos, (assistant department head makeup artist),, ,Jill Cady, (key makeup artist),, ,Peter De Oliveira, (makeup artist),, ,Zena Shteysel, (makeup artist),, ,Jennifer Aspinall, (makeup artist),, ,James MacKinnon, (makeup artist),, ,Deborah Humphries, (makeup artist)"
"Outstanding Contemporary Makeup for a Variety, Nonfiction or Reality Program (Non-Prosthetic)",2020 Awards,The Voice,,"Darcy Gilmore, (department head makeup artist),, ,Kathleen Karridene, (makeup artist),, ,Alexis Walker, (makeup artist),, ,Nikki Carbonetta, (makeup artist),, ,Erin Braus-Guth, (makeup artist),, ,Gregory Arlt, (personal makeup artist),, ,Michelle DeMilt, (personal makeup artist),, ,Gloria Elias, (personal makeup artist)"
"Outstanding Costumes for a Variety, Nonfiction or Reality Program",2020 Awards,The Masked Singer,Winner,"Marina Toybina, (costume designer),, ,Grainne O'Sullivan, (costume supervisor),, ,Gabrielle Letamendi, (assistant costume designer),, ,Candice Rainwater, (assistant costume designer)"
"Outstanding Costumes for a Variety, Nonfiction or Reality Program",2020 Awards,Dancing with the Stars,,"Daniella Gschwendtner, (costume supervisor),, ,Steven Lee, (costume supervisor),, ,Howard Sussman, (costume supervisor),, ,Polina Roytman, (assistant costume designer),, ,Karina Torrico, (assistant costume designer)"
"Outstanding Costumes for a Variety, Nonfiction or Reality Program",2020 Awards,Drunk History,,"Christina Mongini, (costume designer),, ,Annalisa Adams, (assistant costume designer),, ,Cassandra Conners, (costume supervisor)"
"Outstanding Costumes for a Variety, Nonfiction or Reality Program",2020 Awards,RuPaul's Drag Race,,"Zaldy, (RuPaul's gowns by)"
"Outstanding Costumes for a Variety, Nonfiction or Reality Program",2020 Awards,Saturday Night Live,,"Tom Broecker, (costume designer),, ,Eric Justian, (costume designer),, ,Christina Natividad, (assistant costume designer),, ,Ashley Dudek, (assistant costume designer),, ,Karena Sanchez, (assistant costume designer),, ,Dale Richards, (costume supervisor)"
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,American Factory,Winner,"Steven Bognar,, ,Julia Reichert"
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,Apollo 11,,Todd Douglas Miller
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,Becoming,,Nadia Hallgren
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,The Cave,,Feras Fayyad
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,The Last Dance,,Jason Hehir
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,Tiger King,,"Eric Goode,, ,Rebecca Chaiklin"
Outstanding Directing for a Reality Program,2020 Awards,Cheer,Winner,Greg Whiteley
Outstanding Directing for a Reality Program,2020 Awards,Lego Masters,,Rich Kim
Outstanding Directing for a Reality Program,2020 Awards,Queer Eye,,Hisham Abed
Outstanding Directing for a Reality Program,2020 Awards,RuPaul's Drag Race,,Nick Murray
Outstanding Directing for a Reality Program,2020 Awards,Top Chef,,Ariel Boles
Outstanding Directing for a Variety Series,2020 Awards,Saturday Night Live,Winner,Don Roy King
Outstanding Directing for a Variety Series,2020 Awards,A Black Lady Sketch Show,,Dime Davis
Outstanding Directing for a Variety Series,2020 Awards,Last Week Tonight with John Oliver,,"Paul Pennolino,, ,Christopher Werner"
Outstanding Directing for a Variety Series,2020 Awards,The Daily Show,,David Paul Meyer
Outstanding Directing for a Variety Series,2020 Awards,The Late Show with Stephen Colbert,,Jim Hoskinson
Outstanding Directing for a Variety Series,2020 Awards,Tiffany Haddish Presents: They Ready,,Linda Mendoza
Outstanding Directing for a Variety Special,2020 Awards,Dave Chappelle: Sticks & Stones,Winner,Stan Lathan
Outstanding Directing for a Variety Special,2020 Awards,Live in Front of a Studio Audience: 'All in the Family' and 'Good Times',,"Pamela Fryman,, ,Andy Fisher"
Outstanding Directing for a Variety Special,2020 Awards,Super Bowl LIV Halftime Show Starring Jennifer Lopez & Shakira,,Hamish Hamilton
Outstanding Directing for a Variety Special,2020 Awards,The 62nd Annual Grammy Awards,,Louis J. Horvitz
Outstanding Directing for a Variety Special,2020 Awards,The 73rd Annual Tony Awards,,Glenn Weiss
Outstanding Documentary or Nonfiction Special,2020 Awards,The Apollo,Winner,"Lisa Cortes,, ,Jeanne Elfant Festa,, ,Cassidy Hartmann,, ,Roger Ross Williams,, ,Dan Cogan,, ,Nicholas Ferrall,, ,Julie Goldman"
Outstanding Documentary or Nonfiction Special,2020 Awards,Beastie Boys Story,,"Jason Baum, (producer),, ,Amanda Adelson, (producer),, ,Spike Jonze, (producer),, ,Mike D, (executive producer),, ,Adam Horovitz, (executive producer),, ,Dechen Wangdu, (executive producer),, ,John Silva, (executive producer)"
Outstanding Documentary or Nonfiction Special,2020 Awards,Becoming,,"Lauren Cioffi,, ,Katy Chevigny,, ,Marilyn Ness,, ,Priya Swaminathan,, ,Tonia Davis"
Outstanding Documentary or Nonfiction Special,2020 Awards,Laurel Canyon,,"Erin Edeiken,, ,Ryan Suffern,, ,Frank Marshall,, ,Alex Gibney,, ,Stacey Offman,, ,Richard Perello,, ,Jeffrey Pollack"
Outstanding Documentary or Nonfiction Special,2020 Awards,The Great Hack,,"Judy Korin,, ,Pedro Kos,, ,Karim Amer,, ,Geralyn White Dreyfous,, ,Nina Fialkow,, ,Lyn Davis Lear,, ,Mike Lerner"
Outstanding Fantasy/Sci-Fi Costumes,2020 Awards,Watchmen,Winner,"Sharen Davis, (costume designer),, ,Valerie Zielonka, (costume supervisor)"
Outstanding Fantasy/Sci-Fi Costumes,2020 Awards,Carnival Row,,"Joanna Eatwell, (costume designer),, ,Clare Vyse, (assistant costume designer),, ,Jennifer Lander, (costume supervisor)"
Outstanding Fantasy/Sci-Fi Costumes,2020 Awards,The Handmaid's Tale,,"Natalie Bronfman, (costume designer),, ,Helena Davis Perry, (costume supervisor),, ,Christina Cattle, (assistant costume designer)"
Outstanding Fantasy/Sci-Fi Costumes,2020 Awards,The Mandalorian,,"Joseph A. Porro, (costume designer),, ,Julie-Marie Robar, (costume supervisor),, ,Giovanna Ottobre-Melton, (assistant costume designer),, ,Lauren Silvestri, (assistant costume designer)"
Outstanding Fantasy/Sci-Fi Costumes,2020 Awards,Westworld,,"Shay Cunliffe, (costume designer),, ,Dan Bronson, (costume supervisor),, ,Amanda Riley, (assistant costume designer),, ,Jo Kissack, (associate costume designer),, ,Giorgia Tramontano, (assistant costume designer)"
Outstanding Hosted Nonfiction Series or Special,2020 Awards,"Leah Remini,Eli Holzman,Aaron Saidman,Ray Dotch,Devon Graham,Chris Rowe,Mike Rinder",Winner,Leah Remini: Scientology and the Aftermath
Outstanding Hosted Nonfiction Series or Special,2020 Awards,"Beverly Chase,Subrata De,Craig Thomson,Greg Wright",,Vice
Outstanding Hosted Nonfiction Series or Special,2020 Awards,"Jeff Goldblum,Jane Root,Peter Lovering,Keith Addis,Matt Renner,Arif Nurmohamed,John Hodgson",,The World According to Jeff Goldblum
Outstanding Hosted Nonfiction Series or Special,2020 Awards,"Jerry Seinfeld,Tammy Johnston,George Shapiro,Denis Jensen",,Comedians in Cars Getting Coffee
Outstanding Hosted Nonfiction Series or Special,2020 Awards,"Morgan Neville,Dara Horenblas,David Chang,Christopher C. Chen,Caryn Capotosto,Blake Davis,Chris Ying",,Ugly Delicious
Outstanding Individual Achievement in Animation,2020 Awards,Archer,Winner,"Jill Dykxhoorn, (lead background artist)"
Outstanding Individual Achievement in Animation,2020 Awards,Cosmos: Possible Worlds,Winner,"Dan MacKenzie, (character animator)"
Outstanding Individual Achievement in Animation,2020 Awards,Primal,Winner,"Stephen DeStefano, (character designer)"
Outstanding Individual Achievement in Animation,2020 Awards,Primal,Winner,"Scott Wills, (art director)"
Outstanding Individual Achievement in Animation,2020 Awards,Primal,Winner,"Genndy Tartakovsky, (storyboard artist)"
Outstanding Innovation in Interactive Programming,2020 Awards,Create Together,Winner,"Sam Wasserman, (executive producer),, ,Joseph Gordon-Levitt, (executive producer)"
Outstanding Innovation in Interactive Programming,2020 Awards,The Line,Winner,"Ricardo Laganaro, (director),, ,Ricardo Justus, (executive producer),, ,Edouard de Montmort, (executive producer)"
Outstanding Interactive Extension of a Linear Program,2020 Awards,Mr. Robot,Winner,"Roxanne Paredes, (producer),, ,Jeff McKibben, (writer)"
Outstanding Interactive Extension of a Linear Program,2020 Awards,Stranger Things,,
Outstanding Interactive Extension of a Linear Program,2020 Awards,Westworld,,
Outstanding Lighting Design/Lighting Direction for a Variety Series,2020 Awards,Saturday Night Live,Winner,"Geoff Amoral, (lighting director),, ,Rick McGuinness, (lighting director),, ,William McGuinness, (lighting director),, ,Tim Stasse, (lighting director),, ,Trevor Brown, (lighting director)"
Outstanding Lighting Design/Lighting Direction for a Variety Series,2020 Awards,America's Got Talent,,"Noah Mitz, (lighting designer),, ,Michael Berger, (lighting director),, ,Will Gossett, (lighting director),, ,Ryan Tanker, (lighting director),, ,Matt Benson, (lighting director),, ,Scott Chmielewski, (lighting director),, ,Patrick Brazil, (lighting director)"
Outstanding Lighting Design/Lighting Direction for a Variety Series,2020 Awards,Jimmy Kimmel Live!,,"Christian Hibbard, (lighting designer),, ,William L. Peets, (lighting director),, ,Kille Knobel, (lighting director),, ,James Worman, (lighting director)"
Outstanding Lighting Design/Lighting Direction for a Variety Series,2020 Awards,So You Think You Can Dance,,"Robert T. Barnhart, (lighting designer),, ,Matt Firestone, (lighting director),, ,Madigan Stehly, (lighting director),, ,Patrick Boozer, (lighting director),, ,Pete Radice, (lighting director)"
Outstanding Lighting Design/Lighting Direction for a Variety Series,2020 Awards,The Voice,,"Oscar Dominguez, (lighting designer),, ,Daniel K. Boland, (lighting director),, ,Craig Housenick, (lighting director),, ,Samuel Barker, (lighting director),, ,Johnny Bradley, (lighting director)"
Outstanding Lighting Design/Lighting Direction for a Variety Special,2020 Awards,Super Bowl LIV Halftime Show Starring Jennifer Lopez & Shakira,Winner,"Robert T. Barnhart, (lighting designer),, ,David Grill, (lighting director),, ,Pete Radice, (lighting director),, ,Patrick Brazil, (lighting director),, ,Jason Rudolph, (lighting director)"
