award_title,years,finalist,winner,groups,url
Outstanding Sound Mixing for a Nonfiction or Reality Program (Single or Multi-Camera),2020 Awards,Tiger King,,"Jose Araujo, (production mixer),, ,Royce Sharp, (production mixer),, ,Jack Neu, (production mixer),, ,Ian Cymore, (re-recording mixer)",
Outstanding Sound Mixing for a Variety Series or Special,2020 Awards,The Oscars,Winner,"Paul Sandweiss, (production mixer),, ,Thomas Vicari, (orchestra music mixer),, ,Biff Dawes, (music mixer),, ,Pablo Munguia, (pro tools mixer),, ,Kristian Pedregon, (post audio),, ,Patrick Baltzell, (house p.a. mixer),, ,Michael Parker, (monitor mixer),, ,Christian Schrader, (supplemental audio),, ,John Perez, (vo mixer),, ,Marc Repp, (music mix engineer),, ,Thomas Pesa, (orchestra monitor mixer)",
Outstanding Sound Mixing for a Variety Series or Special,2020 Awards,Dave Chappelle: Sticks & Stones,,"Brian Riordan, (re-recording mixer),, ,Conner Moore, (re-recording mixer)",
Outstanding Sound Mixing for a Variety Series or Special,2020 Awards,Last Week Tonight with John Oliver,,"Steve Watson, (a1 production mixer),, ,Charlie Jones, (supervising music/production mixer),, ,John Kilgore, (music/recording mixer),, ,Steve Lettie, (foh pa mixer),, ,Paul Special, (music mixer),, ,Tony Rollins, (monitor mixer),, ,Dave Swanson, (pro tools playback mixer),, ,Jason Dyer, (pro tools music mixer)",
Outstanding Sound Mixing for a Variety Series or Special,2020 Awards,The 62nd Annual Grammy Awards,,"Thomas Holmes, (production mixer),, ,Mikael Stewart, (production mixer),, ,John Harris, (broadcast music mixer),, ,Eric Schilling, (broadcast music mixer),, ,Ron Reaves, (foh music mixer),, ,Thomas Pesa, (stage foldback mixer),, ,Michael Parker, (stage foldback mixer),, ,Eric Johnston, (playback music mixer),, ,Pablo Munguia, (pre-recorded music mixer),, ,Juan Pablo Velasco, (pre-recorded music mixer),, ,Bob La Masney, (supplemental audio mixer),, ,Josh Morton, (post audio mixer),, ,Kristian Pedregon, (video packages mixer),, ,Paul Sandweiss, (video packages mixer)",
Outstanding Sound Mixing for a Variety Series or Special,2020 Awards,The Daily Show,,"Tim Lester, (production mixer),, ,Patrick Weaver, (front of house mixer)",
Outstanding Special Visual Effects,2020 Awards,The Mandalorian,Winner,"Richard Bluff, (vfx supervisor),, ,Jason Porter, (vfx supervisor),, ,Abbigail Keller, (vfx producer),, ,Hayden Jones, (vfx supervisor),, ,Hal T. Hickel, (animation supervisor),, ,Roy K. Cancino, (special effects supervisor),, ,John Rosengrant, (supervisor),, ,Enrico Damm, (environment supervisor),, ,Landis R. Fields IV, (virtual production visualization supervisor)",
Outstanding Special Visual Effects,2020 Awards,Lost in Space,,"Jabbar Raisani, (senior visual effects supervisor),, ,Terron Pratt, (visual effects producer),, ,Marion Spates, (visual effects supervisor),, ,Niklas Jacobson, (visual effects supervisor),, ,Andy Walker, (visual effects supervisor),, ,Juri Stanossek, (visual effects supervisor),, ,Dirk Valk, (previs supervisor),, ,Blaine Lougheed, (on-set visual effects supervisor),, ,Paul Benjamin, (special effects coordinator)",
Outstanding Special Visual Effects,2020 Awards,Stranger Things,,"Paul Graff, (senior visual effects supervisor),, ,Gayle Busby, (visual effects producer),, ,Thomas F. Ford IV, (visual effects producer),, ,Mike Maher, (senior concept illustrator),, ,Martin Pelletier, (visual effects supervisor),, ,Berter Orpak, (visual effects supervisor),, ,Yvon Jardel, (animation supervisor),, ,Nathan Arbuckle, (lead fx),, ,Caius Man, (special effects coordinator)",
Outstanding Special Visual Effects,2020 Awards,Watchmen,,"Erik Henry, (vfx supervisor),, ,Matt Robken, (vfx producer),, ,Ashley J. Ward, (vfx production),, ,David Fletcher, (spfx coordinator),, ,Mathieu Raynault, (vfx supervisor),, ,Bobo Skipper, (vfx supervisor),, ,Ahmed Gharraph, (vfx supervisor),, ,Emanuel Fuchs, (vfx supervisor),, ,François Lambert, (vfx supervisor)",
Outstanding Special Visual Effects,2020 Awards,Westworld,,"Jay Worth, (vfx supervisor),, ,Martin Hernblad, (vfx supervisor),, ,Jeremy Fernsler, (vfx supervisor),, ,Nhat Phong Tran, (vfx supervisor),, ,Joe Wehmeyer, (on set vfx supervisor),, ,Bruce Branit, (on set vfx supervisor),, ,Octevia Robertson, (vfx coordinator),, ,Jacqueline VandenBussche, (vfx production manager),, ,Mark R. Byers, (spfx supervisor)",
Outstanding Special Visual Effects in a Supporting Role,2020 Awards,Vikings,Winner,"Dominic Remane, (visual effects supervisor),, ,Bill Halliday, (visual effects producer),, ,Becca Donohoe, (visual effects producer),, ,Leann Harvey, (on-set visual effects supervisor),, ,Thomas Grant Morrison, (cg supervisor),, ,Ovidiu Cinazan, (lead compositor),, ,Jim Maxwell, (lead matte painter),, ,Ezra Waddell, (lead massive crowd artist),, ,Warren Lawtey, (fx lead)",
Outstanding Special Visual Effects in a Supporting Role,2020 Awards,Devs,,"Andrew Whitehurst, (vfx supervisor),, ,Sarah Tulloch, (vfx producer),, ,Anne Akande, (vfx producer),, ,Samantha Townend, (vfx co-producer),, ,Giacomo Mineo, (on-set vfx supervisor),, ,George Kyparissous, (fx supervisor),, ,Stafford Lawrence, (animation supervisor),, ,Jon Uriarte, (lead compositor)",
Outstanding Special Visual Effects in a Supporting Role,2020 Awards,Tales from the Loop,,"Ashley Bernes, (visual effects supervisor),, ,Andrea Montana Knoll, (visual effects producer),, ,Eduardo Anton, (compositing supervisor),, ,Julien Hery, (visual effects supervisor: rodeo fx),, ,Laurent Pancaccini, (cg supervisor: rodeo fx),, ,Andrew Kowbell, (lead compositor: rodeo fx),, ,Alan Scott, (special effects supervisor: legacy effects),, ,David Piombino, (compositing supervisor: moving picture company),, ,Rajesh Kaushik, (lead compositor: moving picture company)",
Outstanding Special Visual Effects in a Supporting Role,2020 Awards,The Handmaid's Tale,,"Stephen Lebed, (vfx producer),, ,Brendan Taylor, (vfx supervisor),, ,Leo Bovell, (vfx supervisor),, ,Robert Greb, (compositing supervisor),, ,Gwen Zhang, (senior compositor),, ,Marlis Coto, (compositor),, ,Stephen Wagner, (lead fx artist),, ,Josh Clark, (cg supervisor),, ,James Minett, (cg lead artist)",
Outstanding Special Visual Effects in a Supporting Role,2020 Awards,Tom Clancy's Jack Ryan,,"Pau Costa, (special effects supervisor),, ,Erik Henry, (senior visual effects supervisor),, ,Peter Crosman, (on-set visual effects supervisor),, ,Paige Prokop, (visual effects coordinator),, ,Deak Ferrand, (visual effects art director, Rodeo FX),, ,François Lambert, (visual effects supervisor, Hybride Inc.),, ,Jesper Kjölsrud, (visual effects supervisor, Goodbye Kansas),, ,Richard Vosper-Carey, (3d artist),, ,Juliette Yager, (visual effects producer)",
Outstanding Stunt Coordination for a Comedy Series or a Variety Program,2020 Awards,Shameless,Winner,Eddie Perez,
Outstanding Stunt Coordination for a Comedy Series or a Variety Program,2020 Awards,Ballers,,Jeffrey G. Barnett,
Outstanding Stunt Coordination for a Comedy Series or a Variety Program,2020 Awards,Brooklyn Nine-Nine,,Norman Howell,
Outstanding Stunt Coordination for a Comedy Series or a Variety Program,2020 Awards,Henry Danger,,Vince Deadrick Jr.,
Outstanding Stunt Coordination for a Comedy Series or a Variety Program,2020 Awards,Space Force,,Erik Solky,
"Outstanding Stunt Coordination for a Drama Series, Limited Series or Movie",2020 Awards,The Mandalorian,Winner,Ryan Watson,
"Outstanding Stunt Coordination for a Drama Series, Limited Series or Movie",2020 Awards,S.W.A.T.,,"Charlie Brewer,, ,Austen Brewer",
"Outstanding Stunt Coordination for a Drama Series, Limited Series or Movie",2020 Awards,Stranger Things,,Hiro Koda,
"Outstanding Stunt Coordination for a Drama Series, Limited Series or Movie",2020 Awards,The Blacklist,,Cort Hessler,
"Outstanding Stunt Coordination for a Drama Series, Limited Series or Movie",2020 Awards,The Rookie,,David Rowden,
"Outstanding Technical Direction, Camerawork, Video Control for a Series",2020 Awards,Last Week Tonight with John Oliver,Winner,"Dave Saretsky, (technical director),, ,Augie Yuson, (video control),, ,Dante Pagano, (camera),, ,John Harrison, (camera),, ,Rob Balton, (camera - jib),, ,Timothy Quigley, (camera),, ,Phil Salanto, (camera),, ,Rich Freedman, (camera - jib),, ,Joe De Bonis, (camera - steadicam),, ,Michael Hauer, (steadi cam),, ,Lucas Owen, (b cam),, ,Scotty Buckler, (c cam),, ,Russell Swanson, (camera)",
"Outstanding Technical Direction, Camerawork, Video Control for a Series",2020 Awards,Curb Your Enthusiasm,,"Jon Purdy, (camera),, ,Patrik Thelander, (camera),, ,Parker Tolifson, (camera),, ,Ric Griffith, (steadicam operator)",
"Outstanding Technical Direction, Camerawork, Video Control for a Series",2020 Awards,Jimmy Kimmel Live!,,"Erv Hurd, (technical director),, ,Guy Jones, (senior video control),, ,Parker Bartlett, (camera),, ,Greg Grouwinkel, (camera),, ,Garrett Hurt, (camera),, ,Kris Wilson, (camera),, ,Mark Gonzales, (camera),, ,Nick Gomez, (camera),, ,Bernd Reinhardt, (camera),, ,Damien Tuffereau, (camera),, ,Steven Garrett, (camera)",
"Outstanding Technical Direction, Camerawork, Video Control for a Series",2020 Awards,Saturday Night Live,,"Steven Cimino, (technical director),, ,Frank Grisanti, (video control),, ,Ted Natoli, (video control),, ,John Pinto, (camera),, ,Paul Cangialosi, (camera),, ,Len Wechsler, (camera),, ,Dave Legs Driscoll, (camera),, ,Eric Eisenstein, (camera),, ,Dante Pagano, (camera)",
"Outstanding Technical Direction, Camerawork, Video Control for a Series",2020 Awards,The Voice,,"Allan Wells, (technical director),, ,Terrance Ho, (senior video control),, ,Diane Biederbeck, (camera),, ,Danny Bonilla, (camera),, ,Manny Bonilla, (camera - steadicam),, ,Robert Burnette, (camera),, ,Suzanne Ebner, (camera),, ,Guido Frenzel, (camera),, ,Alex Hernandez, (camera - jib),, ,Cory Hunter, (camera),, ,Marc Hunter, (camera - techno crane),, ,Scott Hylton, (camera),, ,Katherine Iacofano, (camera),, ,Scott Kaye, (camera),, ,Steve Martyniuk, (camera - techno jib),, ,Jofre Rosero, (camera - handheld),, ,Steve Simmons, (camera - steadicam)",
"Outstanding Technical Direction, Camerawork, Video Control for a Special",2020 Awards,Live in Front of a Studio Audience: 'All in the Family' and 'Good Times',Winner,"Eric Becker, (technical director),, ,Kevin Faust, (video control),, ,Ron Hirshman, (camera),, ,Ed Horton, (camera),, ,Helena Jackson, (camera),, ,Jon Purdy, (camera),, ,Jim Velarde, (camera),, ,Allen Merriweather, (camera),, ,Greg Grouwinkel, (camera),, ,Randy Gomez, (camera),, ,Andrew Ansnick, (camera)",
"Outstanding Technical Direction, Camerawork, Video Control for a Special",2020 Awards,American Music Awards 2019,,"Eric Becker, (technical director),, ,John Pritchett, (screens technical director),, ,Guy Jones, (video control),, ,Wes Steinberg, (video control),, ,Joe Bohman, (camera),, ,Ralph Bolton, (camera),, ,Danny Bonilla, (camera),, ,David Carline, (camera),, ,Suzanne Ebner, (camera),, ,Garrett Hurt, (camera),, ,Brian Lataille, (camera),, ,David Levisohn, (camera),, ,Tore Livia, (camera),, ,Steve Martyniuk, (camera),, ,Allen Merriweather, (camera),, ,Sketch Pasinski, (camera),, ,Rob Pittman, (camera),, ,David Plakos, (camera),, ,John Pry, (camera),, ,Steve Thiel, (camera),, ,Rob Vuona, (camera),, ,Dan Webb, (camera),, ,Easter Xua, (camera)",
"Outstanding Technical Direction, Camerawork, Video Control for a Special",2020 Awards,Dave Chappelle: Sticks & Stones,,"Jon Pretnar, (technical director),, ,Ruben Avendano, (camera),, ,Daniel Balton, (camera),, ,Manny Bonilla, (camera),, ,Eli Clarke, (camera),, ,Helene Haviland, (camera),, ,Ed Horton, (camera),, ,Lyn Noland, (camera),, ,J.R. Reid, (camera),, ,Ron Travisano, (camera)",
"Outstanding Technical Direction, Camerawork, Video Control for a Special",2020 Awards,The Little Mermaid Live!,,"Iqbal Hans, (technical director),, ,Rod Wardell, (technical director),, ,Emelie Scaminaci, (video control),, ,Michael Maiatico, (video control),, ,Damien Tuffereau, (camera),, ,Nathanial Havholm, (camera),, ,Freddy Frederick, (camera),, ,Tore Livia, (camera),, ,Jofre Rosero, (camera),, ,Easter Xua, (camera),, ,David Plakos, (camera),, ,Patrick Gleason, (camera),, ,Keyan Safyari, (camera),, ,Dave Eastwood, (camera)",
"Outstanding Technical Direction, Camerawork, Video Control for a Special",2020 Awards,The Oscars,,"Eric Becker, (technical director),, ,John Pritchett, (technical director),, ,Kenneth Shapiro, (technical director),, ,Terrence Kwan-Ho Chan, (video control),, ,Mark Sanford, (video control),, ,Guy Jones, (video control),, ,Bob DelRusso, (camera),, ,Dave Eastwood, (camera),, ,David Carline, (camera),, ,Suzanne Ebner, (camera),, ,Jay Kulick, (camera),, ,Dan Webb, (camera),, ,Shaun Harkins, (camera),, ,Garrett Hurt, (camera),, ,Tore Livia, (camera),, ,Allen Merriweather, (camera),, ,Lyn Noland, (camera),, ,Freddy Frederick, (camera),, ,George Prince, (camera),, ,Ralph Bolton, (camera),, ,Rob Palmer, (camera),, ,David Plakos, (camera),, ,Easter Xua, (camera),, ,Rob Balton, (camera),, ,Danny Bonilla, (camera)",
Outstanding Writing for a Nonfiction Program,2020 Awards,Don't F**k with Cats: Hunting an Internet Killer,Winner,Mark Lewis,
Outstanding Writing for a Nonfiction Program,2020 Awards,Beastie Boys Story,,"Mike D, (as Mike Diamond),, ,Spike Jonze,, ,Adam Horovitz",
Outstanding Writing for a Nonfiction Program,2020 Awards,Circus of Books,,"Rachel Mason,, ,Kathryn Robson",
Outstanding Writing for a Nonfiction Program,2020 Awards,McMillions,,"James Lee Hernandez,, ,Brian Lazarte",
Outstanding Writing for a Nonfiction Program,2020 Awards,The Cave,,"Alisar Hasan,, ,Feras Fayyad",
Outstanding Writing for a Variety Series,2020 Awards,Last Week Tonight with John Oliver,Winner,"Dan Gurewitch, (senior writer),, ,Jeff Maurer, (senior writer),, ,Jill Twiss, (senior writer),, ,Juli Weiner, (senior writer),, ,John Oliver, (written by),, ,Tim Carvell, (written by),, ,Daniel O'Brien, (written by),, ,Owen Parsons, (written by),, ,Charlie Redd, (written by),, ,Joanna Rothkopf, (written by),, ,Ben Silva, (written by),, ,Seena Vali, (written by)",
Outstanding Writing for a Variety Series,2020 Awards,Full Frontal with Samantha Bee,,"Samantha Bee, (writer),, ,Pat Cassels, (writer),, ,Kristen Bartlett, (head writer),, ,Mike Drucker, (head writer),, ,Melinda Taub, (head writer),, ,Nicole Silverberg, (writing supervised by),, ,Joe Grossman, (writing supervised by),, ,Sean Crespo, (writer),, ,Mathan Erhardt, (writer),, ,Miles Kahn, (writer),, ,Sahar Rizvi, (writer),, ,Alison Zeidman, (writer)",
Outstanding Writing for a Variety Series,2020 Awards,Late Night with Seth Meyers,,"Alex Baze, (head writer),, ,Jermaine Affonso, (written by),, ,Karen Chee, (written by),, ,Bryan Donaldson, (written by),, ,Sal Gentile, (written by),, ,Matt Goldich, (written by),, ,Dina Gusovsky, (written by),, ,Jenny Hagel, (written by),, ,Allison Hord, (written by),, ,Mike Karnell, (written by),, ,John Lutz, (written by),, ,Seth Meyers, (written by),, ,Ian Morgan, (written by),, ,Seth Reiss, (writing supervised by),, ,Amber Ruffin, (written by),, ,Mike Scollins, (written by),, ,Michael Shoemaker, (written by),, ,Ben Warheit, (written by)",
Outstanding Writing for a Variety Series,2020 Awards,The Daily Show,,"Dan Amira, (head writer),, ,Lauren Sarver Means, (senior writer),, ,Daniel Radosh, (senior writer),, ,David Angelo, (writer),, ,Devin Delliquanti, (writer),, ,Zach DiLanzo, (writer),, ,Geoff Haggerty, (writer),, ,Josh Johnson, (writer),, ,David Kibuuka, (writer),, ,Matt Koff, (writer),, ,X Mayo, (writer),, ,Christiana Mbakwe, (writer),, ,Dan McCoy, (writer),, ,Trevor Noah, (writer),, ,Joseph Opio, (writer),, ,Randall Otis, (writer),, ,Zhubin Parang, (writer),, ,Kat Radley, (writer),, ,Scott Sherman, (writer)",
Outstanding Writing for a Variety Series,2020 Awards,The Late Show with Stephen Colbert,,"Ariel Dumas, (head writer),, ,Jay Katsir, (head writer),, ,Stephen Colbert, (written by),, ,Michael Brumm, (written by),, ,River Clegg, (written by),, ,Aaron Cohen, (written by),, ,Nicole Conlan, (written by),, ,Paul Dinello, (written by),, ,Glenn Eichler, (written by),, ,Django Gold, (written by),, ,Gabe Gronli, (written by),, ,Barry Julien, (written by),, ,Daniel Kibblesmith, (written by),, ,Eliana Kwartler, (written by),, ,Matt Lappin, (written by),, ,Felipe Torres Medina, (written by),, ,Opus Moreschi, (written by),, ,Asher Perlman, (written by),, ,Tom Purcell, (written by),, ,Kate Sidley, (written by),, ,Brian Stack, (written by),, ,John Thibodeaux, (written by),, ,Steve Waltien, (written by)",
Outstanding Writing for a Variety Special,2020 Awards,Dave Chappelle: Sticks & Stones,Winner,Dave Chappelle,
Outstanding Writing for a Variety Special,2020 Awards,Hannah Gadsby: Douglas,,Hannah Gadsby,
Outstanding Writing for a Variety Special,2020 Awards,John Mulaney & the Sack Lunch Bunch,,"John Mulaney,, ,Marika Sawyer",
Outstanding Writing for a Variety Special,2020 Awards,Patton Oswalt: I Love Everything,,Patton Oswalt,
Outstanding Writing for a Variety Special,2020 Awards,Seth Meyers: Lobby Baby,,Seth Meyers,
Outstanding Derivative Interactive Program,2020 Awards,Doctor Who: The Runaway,,,
Outstanding Derivative Interactive Program,2020 Awards,"Social Life,Netflix",,,
Outstanding Drama Series,2019 Awards,Game of Thrones,Winner,"David Benioff,, ,D.B. Weiss,, ,Carolyn Strauss,, ,Bernadette Caulfield,, ,Frank Doelger,, ,David Nutter,, ,Miguel Sapochnik,, ,Vince Gerardis,, ,Guymon Casady,, ,George R.R. Martin,, ,Bryan Cogman,, ,Christopher Newman,, ,Greg Spence,, ,Lisa McAtackney,, ,Duncan Muggoch",/title/tt0944947/?ref_=m_ev_nom
Outstanding Drama Series,2019 Awards,Better Call Saul,,"Vince Gilligan,, ,Peter Gould,, ,Mark Johnson,, ,Melissa Bernstein,, ,Thomas Schnauz,, ,Gennifer Hutchison,, ,Nina Jack,, ,Diane Mercer,, ,Gordon Smith,, ,Alison Tatlock,, ,Ann Cherkis,, ,Bob Odenkirk,, ,Robin Sweet",/title/tt3032476/?ref_=m_ev_nom
Outstanding Drama Series,2019 Awards,Bodyguard,,"Roderick Seligman,, ,Elizabeth Kilgarriff,, ,Simon Heath,, ,Jed Mercurio,, ,Eric Coulter,, ,Priscilla Parish",/title/tt7493974/?ref_=m_ev_nom
Outstanding Drama Series,2019 Awards,Killing Eve,,"Sally Woodward Gentle,, ,Lee Morris,, ,Phoebe Waller-Bridge,, ,Emerald Fennell,, ,Gina Mingacci,, ,Damon Thomas,, ,Francesca Gardiner,, ,Sandra Oh,, ,Elinor Day,, ,Morenike Williams,, ,Andrew Noble",/title/tt7016936/?ref_=m_ev_nom
Outstanding Drama Series,2019 Awards,Ozark,,"Jason Bateman,, ,Chris Mundy,, ,Bill Dubuque,, ,Mark Williams,, ,David Manson,, ,Alyson Feltes,, ,Ryan Farley,, ,Patrick Markey,, ,Erin Mitchell,, ,Matthew Spiegel",/title/tt5071412/?ref_=m_ev_nom
Outstanding Drama Series,2019 Awards,Pose,,"Ryan Murphy,, ,Brad Falchuk,, ,Nina Jacobson,, ,Brad Simpson,, ,Alexis Martin Woodall,, ,Sherry Marsh,, ,Steven Canals,, ,Silas Howard,, ,Janet Mock,, ,Our Lady J,, ,Lou Eyrich,, ,Erica Kay",/title/tt7562112/?ref_=m_ev_nom
Outstanding Drama Series,2019 Awards,Succession,,"Jesse Armstrong,, ,Adam McKay,, ,Will Ferrell,, ,Frank Rich,, ,Kevin J. Messick,, ,Mark Mylod,, ,Jane Tranter,, ,Tony Roche,, ,Lucy Prebble,, ,Georgia Pritchett,, ,Jonathan Glatzer,, ,Jon Brown,, ,Dara Schnapper,, ,Jonathan Filley",/title/tt7660850/?ref_=m_ev_nom
Outstanding Drama Series,2019 Awards,This Is Us,,"Dan Fogelman,, ,Jess Rosenthal,, ,Isaac Aptaker,, ,Elizabeth Berger,, ,Ken Olin,, ,John Requa,, ,Glenn Ficarra,, ,Charlie Gogolak,, ,Steve Beers,, ,K.J. Steinberg,, ,Kevin Falls,, ,Julia Brownell,, ,Vera Herbert,, ,Bekah Brunstetter,, ,Shukree Tilghman,, ,Nick Pavonetti,, ,Cathy Mickel Gibson",/title/tt5555260/?ref_=m_ev_nom
Outstanding Comedy Series,2019 Awards,Fleabag,Winner,"Phoebe Waller-Bridge,, ,Harry Bradbeer,, ,Lydia Hampson,, ,Harry Williams,, ,Jack Williams,, ,Joe Lewis,, ,Sarah Hammond",/title/tt5687612/?ref_=m_ev_nom
Outstanding Comedy Series,2019 Awards,Barry,,"Alec Berg,, ,Bill Hader,, ,Aida Rodgers,, ,Emily Heller,, ,Julie Camino,, ,Jason Kim,, ,Elizabeth Sarnoff",/title/tt5348176/?ref_=m_ev_nom
Outstanding Comedy Series,2019 Awards,Russian Doll,,"Natasha Lyonne,, ,Leslye Headland,, ,Amy Poehler,, ,Dave Becky,, ,Tony Hernandez,, ,Lilly Burns,, ,Allison Silverman,, ,Kate Arend,, ,John Skidmore,, ,Ryan McCormick",/title/tt7520794/?ref_=m_ev_nom
Outstanding Comedy Series,2019 Awards,Schitt's Creek,,"Eugene Levy, (executive producer),, ,Dan Levy, (executive producer),, ,David West Read, (executive producer),, ,Andrew Barnsley, (executive producer),, ,Fred Levy, (executive producer),, ,Ben Feigin, (executive producer),, ,Colin Brunton, (producer),, ,Michael Short, (co-executive producer),, ,Rupinder Gill, (co-executive producer)",/title/tt3526078/?ref_=m_ev_nom
Outstanding Comedy Series,2019 Awards,The Good Place,,"Michael Schur,, ,David Miner,, ,Morgan Sackett,, ,Drew Goddard,, ,Dylan Morgan,, ,Josh Siegal,, ,Joe Mande,, ,Megan Amram,, ,Jen Statsky,, ,David Hyman,, ,Matt Murray",/title/tt4955642/?ref_=m_ev_nom
Outstanding Comedy Series,2019 Awards,The Marvelous Mrs. Maisel,,"Amy Sherman-Palladino,, ,Daniel Palladino,, ,Dhana Gilbert,, ,Sheila R. Lawrence",/title/tt5788792/?ref_=m_ev_nom
Outstanding Comedy Series,2019 Awards,Veep,,"David Mandel,, ,Frank Rich,, ,Julia Louis-Dreyfus,, ,Lewis Morton,, ,Morgan Sackett,, ,Peter Huyck,, ,Alex Gregory,, ,Jennifer Crittenden,, ,Gabrielle Allan,, ,Billy Kimball,, ,Rachel Axler,, ,Ted Cohen,, ,Ian Maxtone-Graham,, ,Dan O'Keefe,, ,Steve Hely,, ,David Hyman,, ,Georgia Pritchett,, ,Doug Smith,, ,Erik Kenward,, ,Dan Mintz",/title/tt1759761/?ref_=m_ev_nom
Outstanding Limited Series,2019 Awards,Chernobyl,Winner,"Craig Mazin,, ,Carolyn Strauss,, ,Jane Featherstone,, ,Johan Renck,, ,Chris Fry,, ,Sanne Wohlenberg",/title/tt7366338/?ref_=m_ev_nom
Outstanding Limited Series,2019 Awards,Escape at Dannemora,,"Ben Stiller,, ,Michael Tolkin,, ,Brett Johnson,, ,Michael De Luca,, ,Bryan Zuriff,, ,Nicholas Weinstock,, ,Bill Carraro,, ,Adam Brightman,, ,Lisa M. Rowe",/title/tt6866266/?ref_=m_ev_nom
Outstanding Limited Series,2019 Awards,Fosse/Verdon,,"Steven Levenson,, ,Thomas Kail,, ,Lin-Manuel Miranda,, ,Joel Fields,, ,George Stelzner,, ,Sam Rockwell,, ,Michelle Williams,, ,Nicole Fosse,, ,Charlotte Stoudt,, ,Tracey Scott Wilson,, ,Kate Sullivan,, ,Brad Carpenter,, ,Erica Kay",/title/tt8746478/?ref_=m_ev_nom
Outstanding Limited Series,2019 Awards,Sharp Objects,,"Marti Noxon,, ,Jason Blum,, ,Gillian Flynn,, ,Amy Adams,, ,Jean-Marc Vallée,, ,Nathan Ross,, ,Gregg Fienberg,, ,Jessica Rhoades,, ,Marci Wiseman,, ,Jeremy Gold,, ,Vince Calandra,, ,David Auge",/title/tt2649356/?ref_=m_ev_nom
Outstanding Limited Series,2019 Awards,When They See Us,,"Ava DuVernay,, ,Jeff Skoll,, ,Jonathan King,, ,Jane Rosenthal,, ,Robert De Niro,, ,Berry Welsh,, ,Oprah Winfrey",/title/tt7137906/?ref_=m_ev_nom
Outstanding Television Movie,2019 Awards,Black Mirror: Bandersnatch,Winner,"Annabel Jones,, ,Charlie Brooker,, ,Russell McLean",/title/tt9495224/?ref_=m_ev_nom
Outstanding Television Movie,2019 Awards,Brexit,,"Juliette Howell,, ,Tessa Ross,, ,James Graham,, ,Lynn Horsford",/title/tt8425058/?ref_=m_ev_nom
Outstanding Television Movie,2019 Awards,Deadwood: The Movie,,"David Milch,, ,Carolyn Strauss,, ,Gregg Fienberg,, ,Scott Stephens,, ,Daniel Minahan,, ,Ian McShane,, ,Timothy Olyphant,, ,Regina Corrado,, ,Nichole Beattie,, ,Mark Tobey",/title/tt4943998/?ref_=m_ev_nom
Outstanding Television Movie,2019 Awards,King Lear,,"Colin Callender,, ,Sonia Friedman,, ,Scott Huff,, ,Noëlette Buckley",/title/tt7473890/?ref_=m_ev_nom
Outstanding Television Movie,2019 Awards,My Dinner with Hervé,,"Steven Zaillian,, ,Richard Middleton,, ,Ross Katz,, ,Jessica de Rothschild,, ,Sacha Gervasi,, ,Peter Dinklage,, ,Nathalie Tanner",/title/tt1311076/?ref_=m_ev_nom
Outstanding Lead Actor in a Drama Series,2019 Awards,Billy Porter,Winner,Pose,/name/nm0692039/?ref_=m_ev_nom
Outstanding Lead Actor in a Drama Series,2019 Awards,Bob Odenkirk,,Better Call Saul,/name/nm0644022/?ref_=m_ev_nom
Outstanding Lead Actor in a Drama Series,2019 Awards,Jason Bateman,,Ozark,/name/nm0000867/?ref_=m_ev_nom
Outstanding Lead Actor in a Drama Series,2019 Awards,Kit Harington,,Game of Thrones,/name/nm3229685/?ref_=m_ev_nom
Outstanding Lead Actor in a Drama Series,2019 Awards,Milo Ventimiglia,,This Is Us,/name/nm0893257/?ref_=m_ev_nom
Outstanding Lead Actor in a Drama Series,2019 Awards,Sterling K. Brown,,This Is Us,/name/nm1250791/?ref_=m_ev_nom
Outstanding Lead Actress in a Drama Series,2019 Awards,Jodie Comer,Winner,Killing Eve,/name/nm3069650/?ref_=m_ev_nom
Outstanding Lead Actress in a Drama Series,2019 Awards,Emilia Clarke,,Game of Thrones,/name/nm3592338/?ref_=m_ev_nom
Outstanding Lead Actress in a Drama Series,2019 Awards,Laura Linney,,Ozark,/name/nm0001473/?ref_=m_ev_nom
Outstanding Lead Actress in a Drama Series,2019 Awards,Mandy Moore,,This Is Us,/name/nm0601553/?ref_=m_ev_nom
Outstanding Lead Actress in a Drama Series,2019 Awards,Robin Wright,,House of Cards,/name/nm0000705/?ref_=m_ev_nom
Outstanding Lead Actress in a Drama Series,2019 Awards,Sandra Oh,,Killing Eve,/name/nm0644897/?ref_=m_ev_nom
Outstanding Lead Actress in a Drama Series,2019 Awards,Viola Davis,,How to Get Away with Murder,/name/nm0205626/?ref_=m_ev_nom
Outstanding Lead Actor in a Comedy Series,2019 Awards,Bill Hader,Winner,Barry,/name/nm0352778/?ref_=m_ev_nom
Outstanding Lead Actor in a Comedy Series,2019 Awards,Anthony Anderson,,Black-ish,/name/nm0026364/?ref_=m_ev_nom
Outstanding Lead Actor in a Comedy Series,2019 Awards,Don Cheadle,,Black Monday,/name/nm0000332/?ref_=m_ev_nom
Outstanding Lead Actor in a Comedy Series,2019 Awards,Eugene Levy,,Schitt's Creek,/name/nm0506405/?ref_=m_ev_nom
Outstanding Lead Actor in a Comedy Series,2019 Awards,Michael Douglas,,The Kominsky Method,/name/nm0000140/?ref_=m_ev_nom
