award_title,years,finalist,winner,groups,url
Outstanding Variety Sketch Series,2020 Awards,A Black Lady Sketch Show,,"Robin Thede, (executive producer),, ,Issa Rae, (executive producer),, ,Tony Hernandez, (executive producer),, ,Brooke Posch, (executive producer),, ,Dave Becky, (executive producer),, ,Jonathan Berry, (executive producer),, ,Lauren Ashley Smith, (co-executive producer),, ,Dime Davis, (co-executive producer),, ,Deniese Davis, (producer),, ,Montrel McKay, (producer),, ,John Skidmore, (producer),, ,Erin Owens, (produced by)",
Outstanding Variety Sketch Series,2020 Awards,Drunk History,,"Will Ferrell, (executive producer),, ,Adam McKay, (executive producer),, ,Derek Waters, (executive producer),, ,Jeremy Konner, (executive producer),, ,Owen Burke, (executive producer),, ,Greg Tuculescu, (co-executive producer),, ,Zachary Halley, (produced by)",
Outstanding Structured Reality Program,2020 Awards,Queer Eye,Winner,"David Collins, (executive producer),, ,Michael Williams, (executive producer),, ,Rob Eric, (executive producer),, ,Jennifer Lane, (executive producer),, ,Jordana Hochman, (executive producer),, ,Adam Sher, (executive producer),, ,David George, (executive producer),, ,David Eilenberg, (executive producer),, ,Rachelle Mendez, (co-executive producer),, ,Mark Bracero, (co-executive producer)",
Outstanding Structured Reality Program,2020 Awards,A Very Brady Renovation,,"Brian Lando, (executive producer),, ,Francesco Giuseppe Pace, (executive producer),, ,Dean Ollins, (executive producer),, ,Kelsey McCallister, (co-executive producer),, ,Christina Hilbig, (supervising producer)",
Outstanding Structured Reality Program,2020 Awards,Antiques Roadshow,,"Marsha Bemko, (executive producer),, ,Sam Farrell, (senior producer),, ,Sarah Elliott, (producer)",
Outstanding Structured Reality Program,2020 Awards,Love Is Blind,,"Chris Coelen, (executive producer),, ,Sam Dean, (executive producer),, ,Ally Simpson, (executive producer),, ,Eric Detwiler, (executive producer),, ,Brian Smith, (executive producer),, ,Stephanie Cohen Williams, (co-executive producer),, ,Brent Gauches, (co-executive producer),, ,Jeff Keirns, (co-executive producer)",
Outstanding Structured Reality Program,2020 Awards,Shark Tank,,"Mark Burnett, (executive producer),, ,Clay Newbill, (executive producer),, ,Yun Lingner, (executive producer),, ,Max Swedlow, (executive producer),, ,Philip Gurin, (executive producer),, ,Mark Cuban, (executive producer),, ,Lori Greiner, (executive producer),, ,Kevin O'Leary, (executive producer),, ,Barbara Corcoran, (executive producer),, ,Daymond John, (executive producer),, ,Robert Herjavec, (executive producer),, ,Brandon Wallace, (co-executive producer),, ,Becky Blitz, (supervising producer),, ,Sami Aziz, (supervising producer),, ,Heather Dreiling, (senior producer)",
Outstanding Unstructured Reality Program,2020 Awards,Cheer,Winner,"Greg Whiteley, (executive producer),, ,Andrew Fried, (executive producer),, ,Dane Lillegard, (executive producer),, ,Jasper Thomlinson, (executive producer),, ,Bert Hamelinck, (executive producer),, ,Adam Leibowitz, (supervising producer),, ,Arielle Kilker, (producer),, ,Chelsea Yarnell, (producer)",
Outstanding Unstructured Reality Program,2020 Awards,Amy Schumer Learns to Cook,,"Amy Schumer, (executive producer),, ,Chris Fischer, (executive producer),, ,Dan Cesareo, (executive producer),, ,Lucilla D'Agostino, (executive producer),, ,Jordana Starr, (executive producer),, ,Faith Gaskins, (executive producer),, ,Lisa Koehler, (co-executive producer)",
Outstanding Unstructured Reality Program,2020 Awards,Kevin Hart: Don't F**k This Up,,"Kevin Hart, (executive producer),, ,Dave Becky, (executive producer),, ,Angus Wall, (executive producer),, ,Russell Heldt, (executive producer),, ,Casey Kriley, (executive producer),, ,Rich Eckersley, (co-executive producer),, ,Allison Klein, (supervising producer),, ,Kent Kubena, (producer),, ,Terry Leonard, (producer),, ,Jennifer Sofio Hall, (producer),, ,Alexandra Marks",
Outstanding Unstructured Reality Program,2020 Awards,RuPaul's Drag Race: Untucked!,,"Tim Palazzola, (executive producer),, ,Randy Barbato, (executive producer),, ,Fenton Bailey, (executive producer),, ,Tom Campbell, (executive producer),, ,RuPaul, (executive producer),, ,Steven Corfe, (executive producer),, ,Camilo Valdes, (executive producer),, ,Mandy Salangsang, (executive producer),, ,Kenneth Leslie, (co-executive producer),, ,Adam Bronstein, (supervising producer),, ,Thairin Smothers, (supervising producer),, ,Jen Passovoy, (producer)",
Outstanding Unstructured Reality Program,2020 Awards,We're Here,,"Steve Warren, (executive producer),, ,Johnnie Ingram, (executive producer),, ,Eli Holzman, (executive producer),, ,Aaron Saidman, (executive producer),, ,Peter LoGreco, (executive producer),, ,Erin Haglund, (co-executive producer),, ,Sabrina Mar, (co-executive producer)",
Outstanding Documentary or Nonfiction Series,2020 Awards,The Last Dance,Winner,"Jason Hehir, (produced by),, ,Michael Tollin, (executive producer),, ,Estee Portnoy, (executive producer),, ,Curtis Polk, (executive producer),, ,Connor Schell, (executive producer),, ,Gregg Winik, (executive producer),, ,Andy Thompson, (executive producer)",
Outstanding Documentary or Nonfiction Series,2020 Awards,American Masters,,"Michael Kantor, (executive producer),, ,Jay Alix, (executive producer),, ,Una Jackman, (executive producer),, ,Suzi Dietz, (executive producer),, ,Julie Sacks, (series producer),, ,Jeff Kaufman, (producer),, ,Marcia S. Ross, (producer)",
Outstanding Documentary or Nonfiction Series,2020 Awards,Hillary,,"Tal Ben-David, (producer),, ,Ben Silverman, (executive producer),, ,Howard Owens, (executive producer),, ,Nanette Burstein, (executive producer),, ,Timothy Moran, (producer),, ,Chi-Young Park, (producer),, ,Isabel San Vargas, (produced by)",
Outstanding Documentary or Nonfiction Series,2020 Awards,McMillions,,"Mark Wahlberg, (executive producer),, ,Stephen Levinson, (executive producer),, ,Archie Gips, (executive producer),, ,James Lee Hernandez, (executive producer),, ,Brian Lazarte, (executive producer),, ,Nancy Abraham, (executive producer),, ,Lisa Heller, (executive producer)",
Outstanding Documentary or Nonfiction Series,2020 Awards,Tiger King,,"Chris Smith, (executive producer),, ,Fisher Stevens, (executive producer),, ,Eric Goode, (executive producer),, ,Rebecca Chaiklin, (executive producer)",
Outstanding Competition Program,2020 Awards,RuPaul's Drag Race,Winner,"Tim Palazzola, (executive producer),, ,Randy Barbato, (executive producer),, ,Fenton Bailey, (executive producer),, ,Tom Campbell, (executive producer),, ,RuPaul, (executive producer),, ,Steven Corfe, (executive producer),, ,Mandy Salangsang, (executive producer),, ,Michele Mills, (co-executive producer),, ,Jacqueline Wilson, (co-executive producer),, ,Lisa Steele, (supervising producer),, ,Adam Bronstein, (supervising producer),, ,Thairin Smothers, (senior producer),, ,John Polly, (producer),, ,Michelle Visage, (producer),, ,Jen Passovoy, (producer),, ,Alicia Gargaro-Magaña, (producer)",
Outstanding Competition Program,2020 Awards,Nailed It!,,"Patrick Doody, (executive producer),, ,Galen Gawlowski, (executive producer),, ,Casey Kriley, (executive producer),, ,Jo Sharon, (co-executive producer),, ,Sandee Birdsong, (co-executive producer),, ,Anika Guldstrand, (supervising producer),, ,Cat Silliman, (supervising producer)",
Outstanding Competition Program,2020 Awards,The Masked Singer,,"Craig Plestis, (executive producer),, ,Izzie Pick Ashcroft, (executive producer),, ,Rosie Seitchik, (executive producer),, ,Nick Cannon, (executive producer),, ,Patrizia Di Maria, (co-executive producer),, ,Chris Wagner, (co-executive producer),, ,Deena Katz, (co-executive producer),, ,Lindsay Tuggle, (co-executive producer),, ,Brian Updyke, (co-executive producer),, ,Ashley Sylvester, (co-executive producer),, ,Jeff Kmiotek, (senior supervising producer),, ,Peter Hebri, (supervising producer),, ,Erin Brady, (supervising producer),, ,Kristin Campbell-Taylor, (supervising producer),, ,Tiana Brown Gandelman, (supervising producer),, ,John Lindsay, (senior producer),, ,Michael Riccio, (senior producer),, ,Zoe Ritchken, (senior producer),, ,Lexi Shoemaker, (senior producer)",
Outstanding Competition Program,2020 Awards,The Voice,,"John de Mol, (executive producer),, ,Mark Burnett, (executive producer),, ,Audrey Morrissey, (executive producer),, ,Stijn Bakkers, (executive producer),, ,Amanda Zucker, (executive producer),, ,Kyra Thompson, (executive producer),, ,Teddy Valenti, (co-executive producer),, ,Kyley Tucker, (co-executive producer),, ,Anthea Bhargava, (supervising producer),, ,Melysa Lovell Garratt, (supervising producer),, ,Clyde Lieberman, (supervising producer),, ,Brittany Martin Porter, (supervising producer),, ,Dan Paschen, (senior producer),, ,Amanda Silva Borden, (senior producer),, ,Tod Schellinger, (producer),, ,Carson Daly, (producer),, ,Jared Wyso, (producer),, ,Hayley Opalek McSherry, (producer)",
Outstanding Competition Program,2020 Awards,Top Chef,,"Doneen Arquines, (executive producer),, ,Casey Kriley, (executive producer),, ,Tara Siener, (executive producer),, ,Tom Colicchio, (executive producer),, ,Padma Lakshmi, (executive producer),, ,Ellie Carbajal, (co-executive producer),, ,Mark Hunter Braun, (co-executive producer),, ,Brian M. Fowler, (co-executive producer),, ,Thi Nguyen, (co-executive producer),, ,Hillary Olsen, (co-executive producer),, ,Patrick Schmedeman, (co-executive producer),, ,Wade Sheeler, (co-executive producer),, ,Rich Brusa, (supervising producer),, ,Scott Patch, (supervising producer),, ,Eric Vier, (supervising producer),, ,Nora Cromwell, (senior producer),, ,Steve Lichtenstein, (senior producer)",
Outstanding Variety Special (Live),2020 Awards,Live in Front of a Studio Audience: 'All in the Family' and 'Good Times',Winner,"Norman Lear, (executive producer),, ,Jimmy Kimmel, (executive producer),, ,Will Ferrell, (executive producer),, ,Justin Theroux, (executive producer),, ,Kerry Washington, (executive producer),, ,James Burrows, (executive producer),, ,Brent Miller, (executive producer),, ,Eric Cook, (co-executive producer)",
Outstanding Variety Special (Live),2020 Awards,2020 Golden Globe Awards,,"Mike Mahan, (executive producer),, ,Amy Thurlow, (executive producer),, ,Barry Adelman, (executive producer),, ,Linda Gierahn, (supervising producer),, ,Ricky Gervais, (host)",
Outstanding Variety Special (Live),2020 Awards,Super Bowl LIV Halftime Show Starring Jennifer Lopez & Shakira,,"Ricky Kirshner, (executive producer),, ,Jesse Craine, (supervising producer),, ,Jennifer Lopez, (performer),, ,Shakira, (performer)",
Outstanding Variety Special (Live),2020 Awards,The 73rd Annual Tony Awards,,"Ricky Kirshner, (executive producer),, ,Glenn Weiss, (executive producer),, ,Sarah Levine Hall, (supervising producer),, ,Allen Kelman, (supervising producer),, ,Ben Winston, (producer),, ,James Corden, (host)",
Outstanding Variety Special (Live),2020 Awards,The Oscars,,"Lynette Howell Taylor, (produced by),, ,Stephanie Allain, (produced by),, ,Rob Paine, (supervising producer)",
Outstanding Variety Special (Pre-Recorded),2020 Awards,Dave Chappelle: Sticks & Stones,Winner,"Dave Chappelle, (executive producer),, ,Stan Lathan, (executive producer),, ,Rikki Hughes, (co-executive producer),, ,Sina Sadighi, (producer)",
Outstanding Variety Special (Pre-Recorded),2020 Awards,Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor,,"Rick Austin, (executive producer),, ,Dalton Delan, (executive producer),, ,David Jammy, (executive producer),, ,Deborah F. Rutter, (executive producer),, ,Chris Robinson, (producer),, ,Michael B. Matuza, (producer),, ,Matthew Winer, (producer)",
Outstanding Variety Special (Pre-Recorded),2020 Awards,Hannah Gadsby: Douglas,,"Hannah Gadsby, (executive producer),, ,Kevin Whyte, (executive producer),, ,Kathleen McCarthy, (executive producer),, ,John Irwin, (executive producer),, ,Casey Spira, (co-executive producer)",
Outstanding Variety Special (Pre-Recorded),2020 Awards,Jerry Seinfeld: 23 Hours to Kill,,"Jerry Seinfeld, (executive producer),, ,George Shapiro, (executive producer),, ,Tammy Johnston, (executive producer),, ,Michael Davies, (executive producer),, ,Denis Jensen, (producer),, ,Melissa Miller, (producer)",
Outstanding Variety Special (Pre-Recorded),2020 Awards,John Mulaney & the Sack Lunch Bunch,,"John Mulaney, (executive producer),, ,Marika Sawyer, (executive producer),, ,Rhys Thomas, (executive producer),, ,David Miner, (executive producer),, ,Cara Masline, (executive producer),, ,Ravi Nandan, (executive producer),, ,Inman Young, (executive producer),, ,David Ferguson, (executive producer),, ,Corey Deckler, (producer),, ,Mary Beth Minthorn, (producer),, ,Kerri Hundley, (producer)",
Outstanding Variety Special (Pre-Recorded),2020 Awards,Tiffany Haddish: Black Mitzvah,,"Tiffany Haddish, (executive producer),, ,Page Hurwitz, (executive producer),, ,Wanda Sykes, (executive producer)",
Exceptional Merit in Documentary Filmmaking,2020 Awards,The Cave,Winner,"Kirstine Barfod, (produced by),, ,Sigrid Dyekjær, (produced by),, ,Pernille Rose Grønkjær, (executive producer),, ,Eva Mulvad, (executive producer),, ,Carolyn Bernstein, (executive producer),, ,Ryan Harrington, (executive producer),, ,Matt Renner, (executive producer)",
Exceptional Merit in Documentary Filmmaking,2020 Awards,Chasing the Moon,,"Robert Stone, (produced by),, ,Ray Rothrock, (producer),, ,Daniel Aegerter, (producer),, ,Susan Bellows, (senior Pprroducer),, ,Mark Samels, (executive producer),, ,Keith Haviland, (producer)",
Exceptional Merit in Documentary Filmmaking,2020 Awards,Moonlight Sonata: Deafness in Three Movements,,"Tahria Sheather, (produced by),, ,Irene Taylor Brodsky, (produced by),, ,Nancy Abraham, (executive producer),, ,Lisa Heller, (executive producer),, ,Sheila Nevins, (executive producer),, ,Sara Bernstein, (executive producer)",
Exceptional Merit in Documentary Filmmaking,2020 Awards,One Child Nation,,"Nanfu Wang, (produced by),, ,Jialing Zhang, (produced by),, ,Julie Goldman, (produced by),, ,Christopher Clements, (produced by),, ,Carolyn Hepburn, (produced by),, ,Lois Vossen, (executive producer),, ,Sally Jo Fifer, (executive producer)",
Outstanding Actor in a Short Form Comedy or Drama Series,2020 Awards,Laurence Fishburne,Winner,#FreeRayshawn,
Outstanding Actor in a Short Form Comedy or Drama Series,2020 Awards,Christoph Waltz,,Most Dangerous Game,
Outstanding Actor in a Short Form Comedy or Drama Series,2020 Awards,Corey Hawkins,,Survive,
Outstanding Actor in a Short Form Comedy or Drama Series,2020 Awards,Mamoudou Athie,,"Oh Jerome, No",
Outstanding Actor in a Short Form Comedy or Drama Series,2020 Awards,Stephan James,,#FreeRayshawn,
Outstanding Actress in a Short Form Comedy or Drama Series,2020 Awards,Jasmine Cephas Jones,Winner,#FreeRayshawn,
Outstanding Actress in a Short Form Comedy or Drama Series,2020 Awards,Anna Kendrick,,Dummy,
Outstanding Actress in a Short Form Comedy or Drama Series,2020 Awards,Kaitlin Olson,,Flipped,
Outstanding Actress in a Short Form Comedy or Drama Series,2020 Awards,Kerri Kenney,,Reno 911!,
Outstanding Actress in a Short Form Comedy or Drama Series,2020 Awards,Rain Valdez,,Razor Tongue,
Outstanding Animated Program,2020 Awards,Rick and Morty,Winner,"Dan Harmon, (executive producer),, ,Justin Roiland, (executive producer),, ,Mike McMahan, (executive producer),, ,Scott Marder, (executive producer),, ,Keith Crofford, (executive producer),, ,Rick Mischel, (executive producer),, ,Richard Grieve, (executive producer),, ,Mike Lazzo, (executive producer),, ,Rob Schrab, (co-executive producer),, ,James Siciliano, (supervising producer),, ,Wesley Archer, (supervising director),, ,Michael Waldron, (producer),, ,Nicholas Rutherford, (producer),, ,Lee Harting, (producer),, ,Ollie Green, (producer),, ,Sydney Ryan, (produced by),, ,J. Michael Mendel, (produced by),, ,Jacob Hair, (directed by),, ,Nathan Litz, (director),, ,Jeff Loveness, (written by/supervising producer),, ,Albro Lundy IV, (written by)",
Outstanding Animated Program,2020 Awards,Big Mouth,,"Nick Kroll, (executive producer),, ,Andrew Goldberg, (executive producer),, ,Mark Levin, (executive producer),, ,Jennifer Flackett, (executive producer),, ,Joe Wengert, (co-executive producer),, ,Kelly Galuska, (supervising producer),, ,Gil Ozeri, (supervising producer),, ,Ben Kalina, (supervising producer),, ,Shannon Barrett Prynoski, (supervising producer),, ,Chris Prynoski, (supervising producer),, ,Anthony Lioi, (supervising producer),, ,Mike L. Mayfield, (co-supervising director),, ,Nate Funaro, (produced by),, ,Emily Altman, (producer / writer),, ,Victor Quinaz, (writer),, ,Bob Suarez, (director),, ,David Bastian, (animation timer),, ,Edgar Larrazábal, (animation timer),, ,Maureen Mlynarczyk, (animation timer),, ,Juli Murphy, (animation timer)",
Outstanding Animated Program,2020 Awards,BoJack Horseman,,"Raphael Bob-Waksberg, (executive producer),, ,Noel Bright, (executive producer),, ,Steven Cohen, (executive producer),, ,Will Arnett, (executive producer),, ,Aaron Paul, (executive producer),, ,Joanna Calo, (co-executive producer),, ,Lisa Hanawalt, (co-executive producer),, ,Mike Hollingsworth, (co-executive producer/supervising director),, ,Nick Adams, (supervising producer),, ,Shauna McGarry, (supervising producer),, ,Alexander Bulkley, (producer),, ,Corey Campodonico, (producer),, ,Eric Blyler, (producer),, ,Richard Choi, (producer),, ,Amy Winfrey, (directed by),, ,Alison Tafel, (written by),, ,Christopher Nance, (Assistant Director),, ,Yair Gordon, (animation director),, ,Karl Pajak, (animation director)",
Outstanding Animated Program,2020 Awards,Bob's Burgers,,"Loren Bouchard, (executive producer),, ,Jim Dauterive, (executive producer),, ,Nora Smith, (executive producer/written by),, ,Dan Fybel, (executive producer),, ,Rich Rinaldi, (executive producer),, ,Jon Schroeder, (executive producer),, ,Gregory Thompson, (executive producer),, ,Steven Davis, (co-executive producer),, ,Scott Jacobson, (co-executive producer),, ,Lizzie Molyneux-Logelin, (co-executive producer),, ,Wendy Molyneux, (co-executive producer),, ,Holly Schlesinger, (co-executive producer),, ,Kelvin Yu, (co-executive producer),, ,Janelle Momary, (supervising producer),, ,Bernard Derriman, (supervising director),, ,Tony Gennaro, (supervising director),, ,Chris Song, (director),, ,Scott Greenberg, (animation executive producer),, ,Joel Kuwahara, (animation executive producer),, ,Michael Penketh, (animation producer),, ,Doug Gallery, (timing supervisor)",
Outstanding Animated Program,2020 Awards,The Simpsons,,"James L. Brooks, (executive producer),, ,Matt Groening, (executive producer),, ,Al Jean, (executive producer),, ,Matt Selman, (executive producer),, ,John Frink, (executive producer),, ,J. Stewart Burns, (co-executive producer),, ,Michael Price, (co-executive producer),, ,Bill Odenkirk, (co-executive producer),, ,Joel H. Cohen, (co-executive producer),, ,Rob LaZebnik, (co-executive producer),, ,Jeff Westbrook, (co-executive producer),, ,Brian Kelley, (co-executive producer),, ,Ryan Koh, (co-executive producer),, ,Richard K. Chung, (producer),, ,Rob Oliver, (directed by),, ,Mike B. Anderson, (supervising director),, ,Dane Romley, (assistant director),, ,Dan Vebber, (written by),, ,Tom Klein, (animation producer),, ,Andrea Romero, (animattion producer),, ,Carlton Batten, (lead animation timer)",
Outstanding Casting for a Comedy Series,2020 Awards,Schitt's Creek,Winner,"Lisa Parasyn, (casting director),, ,Jon Comerford, (casting director)",
Outstanding Casting for a Comedy Series,2020 Awards,Curb Your Enthusiasm,,"Allison Jones, (casting director),, ,Ben Harris, (casting director)",
Outstanding Casting for a Comedy Series,2020 Awards,Dead to Me,,"Sherry Thomas, (casting director),, ,Russell Scott, (casting director),, ,Sharon Bialy, (casting director)",
Outstanding Casting for a Comedy Series,2020 Awards,Insecure,,"Victoria Thomas, (casting director),, ,Matthew Maisto, (casting director)",
Outstanding Casting for a Comedy Series,2020 Awards,The Marvelous Mrs. Maisel,,"Cindy Tolan, (casting director)",
Outstanding Casting for a Comedy Series,2020 Awards,What We Do in the Shadows,,"Gayle Keller, (casting director),, ,Jenny Lewis, (canadian casting director),, ,Sara Kay, (canadian casting director)",
Outstanding Casting for a Drama Series,2020 Awards,Succession,Winner,"Avy Kaufman, (casting director)",
Outstanding Casting for a Drama Series,2020 Awards,Big Little Lies,,"David Rubin, (casting director)",
Outstanding Casting for a Drama Series,2020 Awards,Killing Eve,,"Gilly Poole, (casting director),, ,Suzanne Crowley, (casting director)",
Outstanding Casting for a Drama Series,2020 Awards,Ozark,,"Alexa L. Fogel, (casting by),, ,Tara Feldstein, (location casting) (as Tara Feldstein Bennett),, ,Chase Paris, (location casting)",
Outstanding Casting for a Drama Series,2020 Awards,The Crown,,"Nina Gold, (casting director),, ,Robert Sterne, (casting director)",
Outstanding Casting for a Drama Series,2020 Awards,The Handmaid's Tale,,"Sharon Bialy, (casting director),, ,Sherry Thomas, (casting director),, ,Russell Scott, (casting director),, ,Robin D. Cook, (canadian casting director)",
"Outstanding Casting for a Limited Series, Movie or Special",2020 Awards,Watchmen,Winner,"Victoria Thomas, (casting director),, ,Meagan Lewis, (location casting director)",
"Outstanding Casting for a Limited Series, Movie or Special",2020 Awards,Mrs. America,,"Carmen Cuba, (casting director),, ,Robin D. Cook, (location casting director)",
"Outstanding Casting for a Limited Series, Movie or Special",2020 Awards,Normal People,,"Louise Kiely, (casting director)",
"Outstanding Casting for a Limited Series, Movie or Special",2020 Awards,Unbelievable,,"Laura Rosenthal, (casting director),, ,Jodi Angstreich, (casting director),, ,Kate Caldwell, (casting director),, ,Melissa Kostenbauder, (casting director)",
"Outstanding Casting for a Limited Series, Movie or Special",2020 Awards,Unorthodox,,"Esther Kling, (casting director),, ,Vicki Thomson, (location casting director),, ,Maria Rölcke, (location casting director),, ,Cornelia Mareth, (location casting director)",
Outstanding Casting for a Reality Program,2020 Awards,RuPaul's Drag Race,Winner,"Goloka Bolte, (casting director),, ,Ethan Petersen, (casting director)",
Outstanding Casting for a Reality Program,2020 Awards,Born This Way,,"Sasha Alpert, (casting director),, ,Megan Sleeper, (casting director),, ,Caitlyn Conway, (casting director)",
Outstanding Casting for a Reality Program,2020 Awards,Love Is Blind,,"Donna A. Driscoll, (casting director),, ,Kelly Zack Castillo, (casting director),, ,Megan Feldman, (casting director)",
Outstanding Casting for a Reality Program,2020 Awards,Queer Eye,,"Danielle Gervais, (casting director),, ,Beyhan Oguz, (casting director),, ,Pamela Vallarelli, (casting director),, ,Ally Capriotti Grant, (location casting director),, ,Hana Sakata, (location casting director)",
Outstanding Casting for a Reality Program,2020 Awards,The Voice,,"Michelle McNulty, (supervising casting producer),, ,Holly Dale, (casting producer),, ,Courtney Burns, (casting producer)",
Outstanding Character Voice-Over Performance,2020 Awards,Big Mouth,Winner,Maya Rudolph,
Outstanding Character Voice-Over Performance,2020 Awards,Central Park,,Leslie Odom Jr.,
Outstanding Character Voice-Over Performance,2020 Awards,Crank Yankers,,Wanda Sykes,
Outstanding Character Voice-Over Performance,2020 Awards,The Mandalorian,,Taika Waititi,
Outstanding Character Voice-Over Performance,2020 Awards,The Simpsons,,Nancy Cartwright,
Outstanding Character Voice-Over Performance,2020 Awards,The Simpsons,,Hank Azaria,
Outstanding Children's Program,2020 Awards,The Dark Crystal: Age of Resistance,Winner,"Lisa Henson, (executive producer),, ,Halle Stanford, (executive producer),, ,Louis Leterrier, (executive producer),, ,Jeffrey Addiss, (co-executive producer),, ,Will Matthews, (co-executive producer),, ,Javier Grillo-Marxuach, (co-executive producer),, ,Blanca Lista, (co-executive producer),, ,Ritamarie Peruggi, (produced by)",
Outstanding Children's Program,2020 Awards,We Are the Dream: The Kids of the Oakland MLK Oratorical Fest,Winner,"Mahershala Ali, (executive producer),, ,Amatus Sami Karim, (executive producer),, ,Mimi Valdes, (executive producer),, ,Julie Anderson, (executive producer),, ,Amy Schatz, (produced by),, ,Diane Kolyer, (produced by)",
Outstanding Children's Program,2020 Awards,Star Wars Resistance,,"Brandon Auman, (executive producer),, ,Athena Yvette Portillo, (executive producer),, ,Dave Filoni, (executive producer),, ,Justin Ridge, (executive producer),, ,Sareana Sun, (executive producer),, ,Shuzo John Shiota, (executive producer),, ,Daisy Fang, (producer),, ,Jack Liang, (producer)",
Outstanding Choreography for Scripted Programming,2020 Awards,Zoey's Extraordinary Playlist,Winner,"Mandy Moore, (choreographer)",
Outstanding Choreography for Variety or Reality Programming,2020 Awards,So You Think You Can Dance,Winner,Al Blackstone,
Outstanding Choreography for Variety or Reality Programming,2020 Awards,Savage X Fenty Show,,Parris Goebel,
Outstanding Choreography for Variety or Reality Programming,2020 Awards,So You Think You Can Dance,,Travis Wall,
Outstanding Choreography for Variety or Reality Programming,2020 Awards,The Oscars,,Jemel McWilliams,
Outstanding Choreography for Variety or Reality Programming,2020 Awards,World of Dance,,"Adrianita Avila,, ,Jefferson Benjumea",
Outstanding Cinematography for a Limited Series or Movie,2020 Awards,Watchmen,Winner,Gregory Middleton,
Outstanding Cinematography for a Limited Series or Movie,2020 Awards,Defending Jacob,,Jonathan Freeman,
Outstanding Cinematography for a Limited Series or Movie,2020 Awards,Devs,,Rob Hardy,
Outstanding Cinematography for a Limited Series or Movie,2020 Awards,The Plot Against America,,Martin Ahlgren,
Outstanding Cinematography for a Limited Series or Movie,2020 Awards,Watchmen,,Xavier Grobet,
Outstanding Cinematography for a Multi-Camera Series,2020 Awards,The Ranch,Winner,"Donald A. Morgan, (director of photography)",
Outstanding Cinematography for a Multi-Camera Series,2020 Awards,Bob Hearts Abishola,,"Patti Lee, (director of photography)",
Outstanding Cinematography for a Multi-Camera Series,2020 Awards,Family Reunion,,"John Simmons, (director of photography)",
Outstanding Cinematography for a Multi-Camera Series,2020 Awards,Will & Grace,,"Gary Baum, (director of photography)",
Outstanding Cinematography for a Nonfiction Program,2020 Awards,The Cave,Winner,"Muhammed Khamir Al Shami,, ,Ammar Suleiman,, ,Mohammad Eyad",
Outstanding Cinematography for a Nonfiction Program,2020 Awards,American Factory,,"Aubrey Keith,, ,Erick Stoll",
Outstanding Cinematography for a Nonfiction Program,2020 Awards,Apollo 11,,"Buzz Aldrin,, ,Michael Collins",
Outstanding Cinematography for a Nonfiction Program,2020 Awards,Becoming,,Nadia Hallgren,
Outstanding Cinematography for a Nonfiction Program,2020 Awards,Sea of Shadows,,Richard Ladkani,
Outstanding Cinematography for a Nonfiction Program,2020 Awards,Serengeti,,"Richard Jones,, ,Michael W. Richards,, ,Warren Samuels,, ,Matthew Goodman",
Outstanding Cinematography for a Reality Program,2020 Awards,Life Below Zero,Winner,"Michael Cheeseman, (director of photography),, ,Danny Day, (Director of Photography),, ,Dwayne Fowler, (director of photography)",
Outstanding Cinematography for a Reality Program,2020 Awards,Cheer,,"Melissa Langer, (director of photography),, ,Erynn Patrick, (director of photography)",
Outstanding Cinematography for a Reality Program,2020 Awards,Queer Eye: We're in Japan!,,"Garrette Warner Rose, (director of photography)",
Outstanding Cinematography for a Reality Program,2020 Awards,RuPaul's Drag Race,,"Michael Jacob Kerber, (director of photography),, ,Jon Schneider, (camera operator),, ,Jay Mack Arnette II, (camera operator),, ,Mario Panagiotopoulos, (camera operator),, ,Gregory Montes, (camera operator),, ,Brett Smith, (camera operator),, ,David McCoul, (camera operator),, ,Justin Umphenour, (camera operator)",
Outstanding Cinematography for a Reality Program,2020 Awards,Survivor,,"Peter Wery, (director of photography),, ,Scott Duncan, (director of photography),, ,Russell Fill, (director of photography),, ,Tim Barker, (camera),, ,Marc Bennett, (camera),, ,James Boon, (camera),, ,Paulo Castillo, (camera),, ,Rodney Chauvin, (camera),, ,Luke Cormack, (camera),, ,Lee Doig, (camera),, ,Ben Gamble, (camera),, ,Kevin Garrison, (camera),, ,Nixon George, (camera),, ,Rick Higgs, (camera),, ,Derek Hoffmann, (camera),, ,Matthias Hoffmann, (camera),, ,Toby Hogan, (camera),, ,Derek Holt, (camera),, ,Efrain Laguna, (camera),, ,Ian Miller, (camera),, ,Nico Nyoni, (camera),, ,Ryan O'Donnell, (camera),, ,Jeff Phillips, (camera),, ,Louis Powell, (camera),, ,Thomas Pretorius, (camera),, ,Erik Sarmiento, (camera),, ,Dirk Steyn, (camera),, ,John Tattersall, (camera),, ,Paulo Velozo, (camera),, ,Dave Arnold, (aerial director of photography),, ,Chris Barker, (aerial camera operator),, ,Granger Scholtz, (aerial camera operator),, ,Nick van der Westhuizen, (aerial camera operator)",
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2020 Awards,The Mandalorian,Winner,"Greig Fraser,, ,Barry Baz Idoine",
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2020 Awards,Homecoming,,Jas Shelton,
