rating_total,rating_avg,finalist,movie_description,cast,language,style,country,company,film_location
80,7.3,Ramar of the Jungle (TV Series 1952–1954) - IMDb,"
                    Missionaries' kid Tom Reynolds returns to the jungle as a doctor where he treats natives (""Ramar"" means ""White Medicine Man"") and takes care of bad guys, aided by Prof. Ogden.
            "," Jon Hall
, Ray Montgomery
, Nick Stewart
",English,"[' Adventure', ' ', None, None, None]",English, Arrow Productions Inc.,
126,7.8,Mister Peepers (TV Series 1952–1955) - IMDb,"
                    Mr. Peepers is a shy science teacher at Jefferson Junior High. He is always faced with problems but is never outwitted.
            "," Wally Cox
, Patricia Benoit
, Tony Randall
, Marion Lorne
",English,"[' Comedy', ' ', None, None, None]",English, National Broadcasting Company (NBC),
424,7.6,The Colgate Comedy Hour (TV Series 1950–1955) - IMDb,"
                    This was a Colgate-sponsored comedy hour that featured many notable comedians and entertainers of the era as guest stars.
            "," Jerry Lewis
, Dean Martin
, Al Goodman
",English,"[' Comedy', ' ', None, None, None]",English, Colgate-Palmolive-Peet,
22,6.6,Satins and Spurs (TV Movie 1954) - IMDb,"
                    A rodeo performer at a show in Madison Square Garden falls for a handsome photographer who's been assigned to do a story on the show.
            "," Betty Hutton
, Kevin McCarthy
, Guy Raymond
, Genevieve
, Mary Ellen Kay
, Josh Wheeler
, Neva Patterson
, Ray Drakeley
, Maggi McNellis
, Edwin Phillips
, Joe Ross
",USA,"[' Musical', ' ', None, None, None]",USA, National Broadcasting Company (NBC),
662,7.6,Death Valley Days (TV Series 1952–1970) - IMDb,"
                    Western stories and legends based, and filmed, in and around Death Valley, California. One of the longest-running Western series, originating on radio in the 1930s. The continuing sponsor was ""20 Mule Team"" Borax, a product formerly mined in Death Valley.
            "," Stanley Andrews
",USA,"[' Western', ' ', None, None, None]",USA, Filmaster Productions,"Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA"
,,Lena (TV Movie 1964) - IMDb,"
                    "," Lena Horne
, Lennie Hayton
, James Mason
",English,"[' Music', None, None, None, None]",English, Associated Television (ATV), Associated Television (ATV)
16,7.9,Kismet (TV Movie 1967) - IMDb,"
                    Set in ancient Bagdad the intersection of commoners and kings occurs. A princess falls in live with a beggar, her father the beggar's daughter. Songs include ""Stranger in Paradise,"" "" Night of My Nights, "" and ""Rhymes Have I.""
            "," José Ferrer
, Barbara Eden
, Anna Maria Alberghetti
, Hans Conried
, The Ray Charles Singers
, Cecil Kellaway
, George Chakiris
, Bern Hoffman
, Frank Sorello
, Nancy Roth
, Bonnie Evans
, Warrene Ott
, Thordis Brandt
, Kathleen Hughes
, Leslie McRay
",English,"[' Musical', None, None, None, None]",English, Armstrong Circle Theatre,
671,7.0,Dr. Kildare (TV Series 1961–1966) - IMDb,"
                    The dramatic relationship between a young medical intern and his surgeon mentor.
            "," Richard Chamberlain
, Raymond Massey
",English,"[' Drama', ' ', None, None, None]",English, Arena Productions,
35,4.9,The Patriots (TV Movie 1963) - IMDb,"
                    "," Charlton Heston
, Howard St. John
, John Fraser
, Laurinda Barrett
, Dana Elcar
, Wally Engelhardt
, Peggy Ann Garner
, John Gerstad
, Michael Higgins
, John Karlen
, William LeMassena
, Herbert Nelson
, Frederick O'Neal
, Frank Schofield
, Robinson Stone
",English,"[' Drama', ' ', None, None, None]",English, National Broadcasting Company (NBC),
74,8.6,Slattery's People (TV Series 1964–1965) - IMDb,"
                    Jim Slattery enters the state legislature, hopeful that he can make a difference. He finds dealing with endless rules and the majority opposition party frustrates any meaningful change but he stubbornly perseveres.
            "," Richard Crenna
",English,"[' Drama', None, None, None, None]",English, Bing Crosby Productions,
47,7.3,Breaking Point (TV Series 1963–1964) - IMDb,"
                    Dr. Raymer is the mentor and also boss of Dr. McKinley Thompson at York Hospital. The actions centers around the lives of the people who eventually seek help and their situations rather than the treatment prescribed.
            "," Paul Richards
, Eduard Franz
",English,"[' Drama', None, None, None, None]",English, Bing Crosby Productions,
52,8.2,Inherit the Wind (TV Movie 1965) - IMDb,"
                    In 1925, a Tennessee science teacher is arrested for teaching Charles Darwin's theory of evolution, and a mighty courtroom battle ensues.
            "," Melvyn Douglas
, Ed Begley
, Norman Wright
, Diane Baker
, Robert Breen
, Burt Brinckerhoff
, Fred Burrell
, Doug Chapin
, George Ebeling
, Harry Ellerbe
, Wally Engelhardt
, Beulah Garrick
, Murray Hamilton
, John Irving
, Adrienne King
",English,"[' Drama', ' ', None, None, None]",English, Hallmark Hall of Fame Productions,
"30,697",8.3,A Charlie Brown Christmas (TV Movie 1965) - IMDb,"
                    Depressed at the commercialism he sees around him, Charlie Brown tries to find a deeper meaning to Christmas.
            "," Ann Altieri
, Chris Doran
, Sally Dryer
, Bill Melendez
, Karen Mendelson
, Geoffrey Ornstein
, Peter Robbins
, Christopher Shea
, Cathy Steinberg
, Tracy Stratford
",English,"[' Animation', ' Comedy', ' Family', None, None]",English, Lee Mendelson Film Productions,
8,7.5,Eagle in a Cage (TV Movie 1965) - IMDb,"
                    Recounts the events of the final years of Napoleon, culminating in his exile on the isle of St. Helena.
            "," Trevor Howard
, James Daly
, Pamela Franklin
, George Rose
, Richard Waring
, William Smithers
, Norman Barrs
, Jacqueline Bertrand
, Basil Langton
, Guy Spaull
, Frederic Warriner
",English,"[' Drama', None, None, None, None]",English,IMDbPro,
22,8.7,Ages of Man (TV Movie 1966) - IMDb,"
                    Performance of extracts from Shakespeare's plays.
            "," John Gielgud
",English,"[' Drama', ' ', None, None, None]",English,IMDbPro,
7,6.6,The Making of a President: 1964 (TV Movie 1966) - IMDb,"
                    "," Martin Gabel
",English,"[' Documentary', None, None, None, None]",English, CBS, CBS
,,Lorne Greene's American West (TV Movie 1965) - IMDb,"
                    "," Lorne Greene
, Burch Mann Dancers
, Beatrice Kay
",English,"[' Musical', None, None, None, None]",English,IMDbPro,
38,8.8,The Julie Andrews Show (1965) - IMDb,"
                    A short-lived sketch comedy show from the 1960's-1970's. Starring Julie Andrews and various guest stars.
            "," Julie Andrews
, Gene Kelly
, The New Christy Minstrels
",English,"[' ', ' ', None, None, None]",English, Teram Company,
"18,568",7.5,Batman (TV Series 1966–1968) - IMDb,"
                    The Caped Crusader and his young ward battle evildoers in Gotham City.
            "," Adam West
, Burt Ward
, Alan Napier
, Neil Hamilton
, Stafford Repp
, Madge Blake
",USA," Action, Adventure, Comedy, Crime, Family",USA, 20th Century Fox Television,"380 South San Rafael Avenue, Pasadena, California, USA"
132,8.5,Frank Sinatra: A Man and His Music (1965) - IMDb,"
                    The first-ever Sinatra television special, this 1965 performance showcases the Chairman in peak form.
            "," Frank Sinatra
, Gordon Jenkins
, Nelson Riddle
",English,"[' Documentary', ' Music', None, None, None]",English, Sinatra Enterprises,
,,Michelangelo: The Last Giant (TV Movie 1965) - IMDb,"
                    "," José Ferrer
, Peter Ustinov
",English,"[' Documentary', None, None, None, None]",English, National Broadcasting Company (NBC),
249,8.0,Color Me Barbra (1966) - IMDb,"
                    Barbra Streisand's second television special, consisting of her singing and doing comedy skits.
            "," Barbra Streisand
",English,"[' Comedy', ' ', None, None, None]",English, Ellbar Productions,
,,News in Perspective (TV Series 1963–1970) - IMDb,"
                    "," Max Frankel
, Lester Markel
, Tom Wicker
",English,"[' News', None, None, None, None]",English,IMDbPro,
"6,479",7.2,Lost in Space (TV Series 1965–1968) - IMDb,"
                    A space colony family struggles to survive when a spy/accidental stowaway throws their ship hopelessly off course.
            "," Guy Williams
, June Lockhart
, Mark Goddard
, Marta Kristen
, Bill Mumy
, Angela Cartwright
, Jonathan Harris
",USA," Adventure, Comedy, Family, Fantasy, Sci-Fi",USA, Irwin Allen Productions,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA"
"1,789",6.8,"Love, American Style (TV Series 1969–1974) - IMDb","
                    An anthology comedy series featuring a line up of different celebrity guest stars appearing in anywhere from one, two, three, and four short stories or vignettes within an hour about versions of love and romance.
            "," Stuart Margolin
, Barbara Minkus
, William Callaway
, Mary Grover
, Tracy Reed
, Buzz Cooper
, Lynne Marta
",English,"[' Comedy', ' ', None, None, None]",English, American Broadcasting Company (ABC),
"4,262",8.1,The Wild Wild West (TV Series 1965–1969) - IMDb,"
                    Two Secret Service Agents, equipped with a wide array of gizmos, work for the government in the Old West.
            "," Robert Conrad
, Ross Martin
, Dick Cangey
, Whitey Hughes
",English," Action, Adventure, Sci-Fi, Thriller, Western",English, Bruce Lansbury Productions,
179,8.7,The French Chef (TV Series 1962–1973) - IMDb,"
                    Julia Child teaches the art of French cooking.
            "," Julia Child
",English,"[' Documentary', ' ', ' Family', ' Reality-TV', None]",English, WGBH,
,,Gene Kelly's Wonderful World of Girls (1970) - IMDb,"
                    The Fairer sex are saluted in this Musical/Comedy Variety Hour from 1970.
            "," Gene Kelly
, The American Follies Berger Girls
, Ruth Buzzi
, Diane Davis
, Barbara Eden
, Chanin Hale
, Barbara Heller
, Cynthia Lindsay
, Kay Medford
",English,"[' Music', ' ', None, None, None]",English, Greg Garrison Production, Greg Garrison Production
17,5.5,The Challengers (TV Movie 1970) - IMDb,"
                    Racers compete in the Grand Prix.
            "," Darren McGavin
, Sean Garrison
, Nico Minardos
, Anne Baxter
, Richard Conte
, Farley Granger
, Juliet Mills
, Sal Mineo
, Susan Clark
, Michael Evans
, William Sylvester
, John Holland
, Alan Caillou
",English,"[' Drama', ' Sport', None, None, None]",English, Universal Television,
"3,302",8.0,The Fugitive (TV Series 1963–1967) - IMDb,"
                    A doctor, wrongly convicted for a murder he didn't commit, escapes custody and must stay ahead of the police to find the real killer.
            "," David Janssen
, William Conrad
, Barry Morse
",English,"[' Adventure', ' ', ' Drama', ' Thriller', None]",English, Quinn Martin Productions (QM),
784,6.9,"Charlie, the Lonesome Cougar (1967) - IMDb","
                    When a cougar raised by a group of loggers in the Pacific Northwest reverts to its natural instincts, the consequence could threaten its life.
            "," Ron Brown
, Brian Russell
, Linda Wallace
, Jim Wilson
, Lewis Sample
, Clifford Peterson
, Edward C. Moller
, Charlie
, Rex Allen
",USA,"[' Adventure', ' Family', None, None, None]",USA, Walt Disney Productions,"North Fork of the Clearwater River, Idaho, USA"
786,6.3,The Bill Cosby Show (TV Series 1969–1971) - IMDb,"
                    Chet Kincaid, gym teacher at an inner-city Los Angeles high school, deals with students, principal Mr. Langford, and counselor Marsha Peterson. He lives with his mother Rose, brother Brian,...
                    "," Bill Cosby
",English,"[' Comedy', ' ', None, None, None]",English, Bill Cosby,
"5,570",7.3,Hawaii Five-O (TV Series 1968–1980) - IMDb,"
                    The investigations of Hawaii Five-0, an elite branch of the Hawaii State Police answerable only to the governor and headed by stalwart Steve McGarrett.
            "," Jack Lord
, James MacArthur
, Kam Fong
, Herman Wedemeyer
, Harry Endo
",English,"[' Crime', ' Drama', ' Mystery', None, None]",English, Leonard Freeman Production,
40,6.4,The Jim Nabors Hour (TV Series 1968–1971) - IMDb,"
                    An hour long variety show hosted by Jim, and his Gomer Pyle co-stars.
            "," Jim Nabors
, Frank Sutton
, Ronnie Schell
",English,"[' Comedy', ' Music', None, None, None]",English, Naborly Productions,
,,The Switched-On Symphony (1970) - IMDb,"
                    "," Takako Asakawa
, Jack Benny
, Ray Charles
, Los Angeles Master Chorale
, Jacqueline du Pré
, Jerry Goodman
, Jethro Tull
, Joao Carlos Martins
, Zubin Mehta
, The Nice
, Christopher Parkening
, Robert Powell
, Jaime Rogers
, Santana
, Bobby Sherman
",English,"[' Music', None, None, None, None]",English,IMDbPro,
70,6.1,The Kraft Music Hall (TV Series 1967–1971) - IMDb,"
                    A few years after Perry Como left as host, ""The Kraft Music Hall"" was revived as a regular series from 1967-71. There was no set host during this period, and various guest hosts, usually a ...
                    "," Ed Herlihy
",English,"[' Music', ' ', None, None, None]",English, Bob Banner Associates,
,,First Tuesday (TV Series 1969–1973) - IMDb,"
                    "," Garrick Utley
, Sander Vanocur
",English,"[' News', None, None, None, None]",English, NBC News,
187,8.7,The Johnny Cash Show (TV Series 1969–1971) - IMDb,"
                    Johnny Cash and wife, June Carter Cash were hosts of this Country and Western themed variety show. Comedians Hope, Crosby, Minnie Pearl and others perform Skits. Musical acts as Diverse as Louis Armstrong to ""The Monkees"" perform.
            "," Johnny Cash
, Carl Perkins
, The Statler Brothers
, The Tennessee Three
, June Carter Cash
",English,"[' Music', ' ', None, None, None]",English, Screen Gems,
8,8.9,The Bob Hope Christmas Special (1970) - IMDb,"
                    Bob and crew entertain military personnel at stops through Southeast Asia and Europe.
            "," Bob Hope
, Ursula Andress
, Neil Armstrong
, Johnny Bench
, Les Brown
, Suzy Cadham
, Suzanne Charny
, The Golddiggers
, Teresa Graves
, Dolores Hope
, Jennifer Hosten
, Michael Hughes
, Les Brown and His Band of Renown
, Gloria Loring
, Bobbi Martin
",English,"[' Comedy', None, None, None, None]",English, Hope Enterprises,
"1,068",7.7,The Ghost & Mrs. Muir (TV Series 1968–1970) - IMDb,"
                    Lovely young widow Carolyn Muir, her two young children, and the maid discover that the New England seaside house they've moved into is haunted by the former owner -- an old salt named ...
                    "," Hope Lange
, Edward Mulhare
, Reta Shaw
, Harlen Carraher
, Kellie Flanagan
, Scruffy
, Charles Nelson Reilly
",English,"[' Comedy', ' ', None, None, None]",English, 20th Century Fox Television,
"2,133",7.1,Land of the Giants (TV Series 1968–1970) - IMDb,"
                    A spaceship from Earth crash-lands on an Earth-like planet on which everything, including the human-like inhabitants, is twelve times the size of its counterpart on Earth.
            "," Gary Conway
, Don Matheson
, Stefan Arngrim
, Don Marshall
, Deanna Lund
, Heather Young
, Kurt Kasznar
",USA,"[' Sci-Fi', ' ', None, None, None]",USA, Irwin Allen Productions,"Stage 21, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA"
107,7.0,Bracken's World (TV Series 1969–1970) - IMDb,"
                    Behind the scenes at the fictitious Century Studios in Hollywood, headed by the (initially) unseen John Bracken.
            "," Elizabeth Allen
, Peter Haskell
, Linda Harrison
, Laraine Stephens
, Karen Jensen
, Jeanne Cooper
, Madlyn Rhue
, Dennis Cole
, Steve Oliver
, Gary Dubin
",English,"[' Drama', ' ', None, None, None]",English, 20th Century Fox Television,
8,8.5,G.I.T. on Broadway (1969) - IMDb,"
                    After their successful colaboration in 1968's ""T.C.B."" TV special, Diana Ross and The Supremes join The Temptations one more time. This time, the two super-groups not only sing but act in ...
                    "," Diana Ross
, Mary Wilson
, Cindy Birdsong
, Paul Williams
, Eddie Kendricks
, Dennis Edwards
, Otis Williams
, Melvin Franklin
",English,"[' Musical', None, None, None, None]",English, Motown Productions,
"2,505",8.0,Rowan & Martin's Laugh-In (TV Series 1967–1973) - IMDb,"
                    The original rapid fire sketch comedy show.
            "," Dan Rowan
, Dick Martin
, Ruth Buzzi
, Gary Owens
, Alan Sues
, Arte Johnson
, Henry Gibson
, Lily Tomlin
, Dennis Allen
, Jo Anne Worley
, Goldie Hawn
, Richard Dawson
, Lisa Farringer
, Judy Carne
",English,"[' Comedy', ' ', None, None, None]",English, George Schlatter-Ed Friendly Productions,
184,7.8,The Immortal (TV Series 1969–1971) - IMDb,"
                    An immortal man whose blood can have miraculous health benefits is a fugitive from those who would exploit both him and his brother he seeks.
            "," Christopher George
, Don Knight
",English,"[' Action', ' ', ' Sci-Fi', None, None]",English, Paramount Television,
218,7.3,My Sweet Charlie (TV Movie 1970) - IMDb,"
                    A pregnant white Southern girl and a black New York lawyer, both on the run in rural Texas, meet up in a boarded-up, abandoned house and realize they both need each other in order to ...
                    "," Patty Duke
, Al Freeman Jr.
, Ford Rainey
, William Hardy
, Chris Wilson
, Archie Moore
, Noble Willingham
, Dave Ward
",English,"[' Drama', ' ', None, None, None]",English, Bob Banner Associates,
88,8.5,The Galloping Gourmet (TV Series 1968– ) - IMDb,"
                    One of the first classic cooking shows, ""The Galloping Gourmet"" featured charismatic, ribald cook Graham Kerr doing obscenely rich and decadent recipes. The series was a smash hit in Canada...
                    "," Graham Kerr
",English,"[' Reality-TV', ' ', None, None, None]",English, Canadian Broadcasting Corporation (CBC),
140,5.7,Ritual of Evil (TV Movie 1970) - IMDb,"
                    A psychiatrist investigates the death of one of his patients, a young heiress.
            "," Louis Jourdan
, Anne Baxter
, Diana Hyland
, John McMartin
, Wilfrid Hyde-White
, Belinda Montgomery
, Carla Borelli
, Georg Stanford Brown
, Regis Cordic
, Dehl Berti
, Richard Alan Knox
, Johnny Williams
, Jimmy Joyce
, James LaSane
",English,"[' Drama', ' ', None, None, None]",English, Universal Pictures,
246,7.6,N.Y.P.D. (TV Series 1967–1969) - IMDb,"
                    The three detectives fight every kind of criminal all over New York City. The show featured many actual New York City locations, as well as episodes based on real New York City police cases.
            "," Jack Warden
, Robert Hooks
, Frank Converse
, Ted Beniades
",English,"[' Crime', ' ', None, None, None]",English, Talent Associates,
14,8.3,Ann-Margret: From Hollywood with Love (1969) - IMDb,"
                    Ann-Margret starts her journey to Hollywood from the countryside, traversing the Freeway until she gets to Hollywood. The first segment is titled ""The Game Called Hollywood"" which follows a...
                    "," Ann-Margret
, Benny Baker
, Lucille Ball
, Lonney Lewis
, Dean Martin
, Larry Storch
, The Watts 103rd Street Rhythm Band
, Ben Wrigley
",English,"[' Comedy', ' ', None, None, None]",English, Winters Hollywood Entertainment Holdings Corporation,
80,7.8,This Is Tom Jones (TV Series 1969–1971) - IMDb,"
                    A typical variety show featuring music by both guests and the host. Interspersed were comedy segments often by Ace Trucking Company which featured rising talents Fred Williard and Patti Deutsch.
            "," Tom Jones
, The Mike Sammes Singers
, Sue Glover
, Sunny Leslie
, Norman Maen
",English,"[' Documentary', ' ', None, None, None]",English, Associated Television (ATV),
"1,313",7.0,"Marcus Welby, M.D. (TV Series 1969–1976) - IMDb","
                    The show is about doctors Marcus Welby, a general practitioner and Steven Kiley, Welby's young assistant. The two try to treat people as individuals in an age of specialized medicine and ...
                    "," Robert Young
, James Brolin
, Elena Verdugo
",English,"[' Drama', ' ', None, None, None]",English, Universal Television,
93,7.2,The Glen Campbell Goodtime Hour (TV Series 1969–1972) - IMDb,"
                    Variety series hosted by country/pop singer Glen Campbell.
            "," Glen Campbell
, Marty Paich
, Larry McNeeley
",English,"[' Comedy', ' ', None, None, None]",English, Glenco Enterprises,
9,4.9,Mitzi's 2nd Special (TV Movie 1969) - IMDb,"
                    "," Mitzi Gaynor
, Ross Martin
, Bart Carroll
, Randy Doney
, Michael Gray
, Alton Ruff
, Eddie Ryder
, Richmond Shepard
",English,"[' Musical', None, None, None, None]",English, Green Isle Enterprises, Green Isle Enterprises
"4,690",8.8,The Carol Burnett Show (TV Series 1967–1978) - IMDb,"
                    Television show featuring skits by Carol Burnett and her comedy troupe.
            "," Carol Burnett
, Vicki Lawrence
, Harvey Korman
, Lyle Waggoner
, Tim Conway
, Ernie Anderson
",USA,"[' Comedy', ' Family', None, None, None]",USA, Burngood,"Ed Sullivan Theater - 1697 Broadway, Manhattan, New York City, New York, USA"
"11,823",8.1,Sesame Street (TV Series 1969– ) - IMDb,"
                    On a special inner city street, the inhabitants, human and muppet, teach preschool subjects with comedy, cartoons, games, and songs.
            "," Caroll Spinney
, Frank Oz
, Jerry Nelson
, Sonia Manzano
, Jim Henson
, Bob McGrath
, Martin P. Robinson
, Emilio Delgado
, Roscoe Orman
, Richard Hunt
, Kevin Clash
, Loretta Long
, Fran Brill
, David Rudman
, Northern Calloway
",USA," Animation, , Comedy, Family, Fantasy",USA, Children's Television Workshop (CTW),"Reeves TeleTape Studio, 81st St. & B'way, New York City, New York, USA"
5,6.4,The File on Devlin (TV Movie 1969) - IMDb,"
                    A young woman finds herself engulfed in Cold War intrigue when her father, a Nobel Prize-winning author, vanishes while travelling near the Russian border. Entrusted by her father with an ...
                    "," Judith Anderson
, Mary Adams
, Elizabeth Ashley
, Barry Cahill
, Alan Caillou
, Helmut Dantine
, Gregory Gaye
, Larry Gelbman
, Lew Horn
, Peter Marland-Jones
, David McCallum
, Donald Moffat
, Priscilla Morrill
, Laurence Naismith
, Charles H. Radilak
",English,"['from the UCLA Film and Television Archive', ' Thriller', None, None, None]",English, Hallmark Hall of Fame Productions,
355,6.6,The Merv Griffin Show (TV Series 1962–1986) - IMDb,"
                    Merv Griffin invites a series of actors, actresses, writers, and directors to discuss the progressive work they have done and current culture, arts, and entertainment surrounding the numerous projects.
            "," Merv Griffin
, Mort Lindsey Orchestra
, Mort Lindsey
, Arthur Treacher
",English,"[' Comedy', ' ', ' Music', ' Talk-Show', None]",English, National Broadcasting Company (NBC),
,,Man on the Moon: The Epic Journey of Apollo XI (TV Mini-Series 1969– ) - IMDb,"
                    "," Walter Cronkite
, Heywood Hale Broun
, Ike Pappas
, David Schomacher
",English,"[' News', ' ', None, None, None]",English, CBS News,
,,The Don Adams Special: Hooray for Hollywood (TV Movie 1970) - IMDb,"
                    A parody of classic Hollywood movies and stars.
            "," Don Adams
, Edie Adams
, Charlton Heston
, Don Rickles
",English,"[' Comedy', None, None, None, None]",English,IMDbPro,
34,7.8,"Kukla, Fran and Ollie (TV Series 1969–1971) - IMDb","
                    "," Fran Allison
, Burr Tillstrom
",English,"[' Family', None, None, None, None]",English, National Educational Television (NET), National Educational Television (NET)
,,Amahl and the Night Visitors (TV Movie 1954) - IMDb,"
                    One night in Judea, a disabled shepherd boy-turned-beggar and his mother are visited by three strangers. They are the Three Kings, and they are on their way to Bethlehem to visit the Christ Child, who has just been born.
            "," David Aiken
, John Butler
, Felisa Conde
, Rosemary Kuhlmann
, Leon Lishner
, Bill McIver
, Andrew McKinley
, Francis Monachino
, Glen Tetley
",,"[' Music', ' Musical', None, None, None]",See more,IMDbPro,
350,8.2,My World and Welcome to It (TV Series 1969–1970) - IMDb,"
                    John Monroe observes and comments on life, to the bemusement of his sensible wife Ellen (Joan Hotchkis) and intelligent, questioning daughter Lydia (Lisa Gerritsen). Monroe's frequent ...
                    "," William Windom
, Joan Hotchkis
, Lisa Gerritsen
, Harold J. Stone
, Henry Morgan
",English,"[' Comedy', ' ', None, None, None]",English, Sheldon Leonard Productions,
97,8.1,Racket Squad (TV Series 1950–1953) - IMDb,"
                    This series dramatizes confidence games which fall under the jurisdiction of Captain John Braddock.
            "," Reed Hadley
, Hugh Beaumont
",English,"[' Crime', ' ', None, None, None]",English, Hal Roach Studios,
23,7.0,Light's Diamond Jubilee (TV Movie 1954) - IMDb,"
                    "," Judith Anderson
, Lauren Bacall
, Robert Benchley
, Walter Brennan
, Joseph Cotten
, Dorothy Dandridge
, Brandon De Wilde
, Dwight D. Eisenhower
, Eddie Fisher
, George Gobel
, Helen Hayes
, Guy Madison
, Thomas Mitchell
, Henry Morgan
, David Niven
",English,"[' Documentary', None, None, None, None]",English,IMDbPro,
119,8.0,I Led 3 Lives (TV Series 1953–1956) - IMDb,"
                    Herbert Philbrick was a young professional and pacifist in 1939 Boston. He joined an anti-war group and quickly found himself caught up in the secret world of underground communist activity...
                    "," Richard Carlson
, John Zaremba
",English,"[' Drama', ' ', None, None, None]",English, ZIV Television Programs,
23,8.0,Foreign Intrigue (TV Series 1951–1955) - IMDb,"
                    The experiences of Robert Cannon and Helen Davis, foreign correspondents for ""Consolidated News"". Stories relate to their attempts to infiltrate and expose espionage rings.
            "," Jerome Thor
, Gerald Mohr
, James Daly
",English,"[' Crime', ' Mystery', ' Thriller', None, None]",English, NBC Film,
310,7.7,My Little Margie (TV Series 1952–1955) - IMDb,"
                    Margie lives with her father Vern and her crazy schemes get him into trouble especially with his boss Mr. Honeywell. She frequently involves Charlie and Mrs. Odetts in her plans. Freddie is her boyfriend while Roberta likes Vern.
            "," Gale Storm
, Charles Farrell
, Clarence Kolb
, Don Hayden
",English,"[' Comedy', ' ', None, None, None]",English, Roland Reed Productions,
5,6.2,The Robert Q. Lewis Show (TV Series 1954–1956) - IMDb,"
                    Daytime show featuring singers and dancers.
            "," Robert Q. Lewis
, Don Liberto
, Jaye P. Morgan
, Ray Bloch
, Jan Arden
, Lois Hunt
, Earl Wrightson
, Merv Griffin
, Lee Vines
, The Ray Bloch Orchestra
, Jill Corey
, The Chordettes
, Betty Clooney
, Jane Wilson
, John Cali
, Julann Wright
",English,"[' Comedy', ' ', ' Music', ' Talk-Show', None]",English,IMDbPro,
75,8.3,Waterfront (TV Series 1954–1956) - IMDb,"
                    John Herrick was the Captain of the tug ""Cheryl Ann"" in Los Angeles harbor. His family consisted of wife May, Police Detective son Jim, and the crew of the tug, his son Carl, Tip, and ...
                    "," Preston Foster
, Douglas Dick
",English,"[' Adventure', ' ', None, None, None]",English, Roland Reed Productions,
69,8.9,Life Is Worth Living (TV Series 1952–1965) - IMDb,"
                    The show featured Most Reverent Fulton J. Sheen, the Roman Catholic Auxiliary Bishop of New York City, offering anecdotes and moral lessons. Many of the talks were about the evils of the Communist form of government.
            "," Fulton J. Sheen
, Don Russell
",English,"[' Family', ' ', None, None, None]",English, American Broadcasting Company (ABC),
98,7.6,The Milton Berle Show (TV Series 1948–1956) - IMDb,"
                    The Texaco Star Theatre was one of the most popular shows in the history of television. In the first year, Milton Berle was not the permanent emcee, but once he replaced the rotation, the ...
                    "," Milton Berle
, Sid Stone
",English,"[' Comedy', ' ', None, None, None]",English, Milton Berle Productions,
21,7.1,The Betty White Show (TV Series 1954– ) - IMDb,"
                    Daytime show with Betty White talking to guests, singing with the orchestra, etc.
            "," Betty White
",English,"[' Family', ' ', ' Talk-Show', None, None]",English,IMDbPro,
50,8.0,Time for Beany (TV Series 1949–1954) - IMDb,"
                    Time for Beany was an American television series, with puppets for characters, which aired locally in Los Angeles starting in 1949 and nationally (via kinescope) on the improvised Paramount...
                    "," Daws Butler
, Stan Freberg
",English,"[' Family', ' ', None, None, None]",English, Bob Clampett Productions,
