award_title,years,finalist,winner,groups
Outstanding Special Visual Effects in a Supporting Role,2012 Awards,Bones,,"Christian Cardona, (visual effects supervisor),, ,Andy Simonson, (visual effects producer),, ,Buddy Gheen, (compositor),, ,Beau Janzen, (3D artist),, ,Ulysses Argetta, (compositor),, ,Heather Fetter, (compositor)"
Outstanding Special Visual Effects in a Supporting Role,2012 Awards,Breaking Bad,,"William Powloski, (visual effects supervisor-producer),, ,Greg Nicotero, (special makeup effects designer),, ,Bruce Branit, (cgi supervisor),, ,Werner Hahnlein, (special effects coordinator),, ,Steve Fong, (senior compositor),, ,Sean Joseph, (cg artist),, ,Matthew Perin, (lead compositor)"
Outstanding Special Visual Effects in a Supporting Role,2012 Awards,Hemingway & Gellhorn,,"Chris Morley, (visual effects supervisor),, ,Kip Larsen, (visual effects producer),, ,Nathan Abbot, (compositing supervisor),, ,Chris Paizis, (matchmove supervisor)"
Outstanding Special Visual Effects in a Supporting Role,2012 Awards,The Borgias,,"Doug Campbell, (visual effects supervisor),, ,Bill Halliday, (visual effects producer),, ,Luke Groves, (visual effects technical producer),, ,Kirk Brillon, (compositing supervisor),, ,Steve Gordon, (compositing lead),, ,Jim Maxwell, (matte painter supervisor),, ,Irit Hod, (cg lighting lead),, ,Tim Sibley, (effects supervisor),, ,Adam Jewett, (visual effects production manager)"
Outstanding Special Visual Effects in a Supporting Role,2012 Awards,Touch,,"Tony Pirzadeh, (visual effects producer),, ,Mark Spatny, (visual effects supervisor),, ,Nicole Zabala, (visual effects coordinator),, ,Christopher D. Martin, (lead digital compositor),, ,Kristin Johnson, (lead matte painter),, ,Whitman Lindstrom, (matte painter),, ,Diego Galtieri, (digital compositor),, ,Meliza Fermin, (digital compositor),, ,Anthony Ocampo, (3D artist)"
Outstanding Stunt Coordination,2012 Awards,Southland,Winner,Peewee Piemonte
Outstanding Stunt Coordination,2012 Awards,American Horror Story,,Tim A. Davison
Outstanding Stunt Coordination,2012 Awards,Criminal Minds,,Tom Elliott
Outstanding Stunt Coordination,2012 Awards,Grimm,,Matthew Taylor
Outstanding Stunt Coordination,2012 Awards,Hawaii Five-0,,Jeff Cadiente
Outstanding Stunt Coordination,2012 Awards,NCIS: Los Angeles,,Troy Brown
Outstanding Supporting Actress in a Miniseries or a Movie,2012 Awards,Jessica Lange,Winner,American Horror Story
Outstanding Supporting Actress in a Miniseries or a Movie,2012 Awards,Frances Conroy,,American Horror Story
Outstanding Supporting Actress in a Miniseries or a Movie,2012 Awards,Judy Davis,,Page Eight
Outstanding Supporting Actress in a Miniseries or a Movie,2012 Awards,Mare Winningham,,Hatfields & McCoys
Outstanding Supporting Actress in a Miniseries or a Movie,2012 Awards,Sarah Paulson,,Game Change
"Outstanding Technical Direction, Camerawork, Video Control for a Series",2012 Awards,Saturday Night Live,Winner,"Steven Cimino, (technical director),, ,Johnny Pinto, (camera),, ,Paul Cangialosi, (camera),, ,Len Wechsler, (camera),, ,Barry Frisher, (camera),, ,Eric Eisenstein, (camera),, ,Susan Noll, (video control),, ,Frank Grisanti, (video control)"
"Outstanding Technical Direction, Camerawork, Video Control for a Series",2012 Awards,30 Rock,,"Steven Cimino, (technical director),, ,Barry Frisher, (camera),, ,Johnny Pinto, (camera),, ,Charlie Huntley, (camera),, ,Timothy Quigley, (camera),, ,Eric Eisenstein, (camera),, ,Richard B. Fox, (camera),, ,Marc Bloomgarden, (camera),, ,Gerard Sava, (camera),, ,Jeffrey Dutemple, (camera),, ,Susan Noll, (video control),, ,Frank Grisanti, (video control)"
"Outstanding Technical Direction, Camerawork, Video Control for a Series",2012 Awards,Dancing with the Stars,,"Charles Ciup, (technical director),, ,Adam Margolis, (camera),, ,Easter Xua, (camera),, ,Larry Heider, (camera),, ,David Levisohn, (camera),, ,Bert Atkinson, (camera),, ,Brian Reason, (camera),, ,Damien Tuffereau, (camera),, ,Hector Ramirez, (camera),, ,Mike Malone, (camera),, ,Bettina Levesque, (camera),, ,Ron Lehman, (camera),, ,Rob Palmer, (camera),, ,Seth Saint Vincent, (camera),, ,Chuck Reilly, (video control)"
"Outstanding Technical Direction, Camerawork, Video Control for a Series",2012 Awards,Late Show with David Letterman,,"Timothy Kennedy, (technical director),, ,Dave Dorsett, (camera),, ,Jack Young, (camera),, ,Karin Grzella, (camera),, ,Al Cialino, (camera),, ,John Curtin, (camera),, ,George Rothweiler, (camera),, ,Dan Flaherty, (camera),, ,Fred Shimizu, (camera),, ,John Hannel, (camera),, ,Dan Campbell, (camera),, ,Steve Kaufman, (camera),, ,Bill White, (video control)"
"Outstanding Technical Direction, Camerawork, Video Control for a Series",2012 Awards,The Big Bang Theory,,"John DeChene, (camera),, ,Jamie Hitchcock, (camera),, ,Richard Price, (camera),, ,Brian W. Armstrong, (camera),, ,Ray Gonzales, (camera),, ,John O'Brien, (video control)"
Outstanding Variety Special,2012 Awards,The Kennedy Center Honors: A Celebration of the Performing Arts,Winner,"George Stevens Jr., (producer),, ,Michael Stevens, (producer)"
Outstanding Variety Special,2012 Awards,Betty White's 90th Birthday: A Tribute to America's Golden Girl,,"Brad Lachman, (executive producer),, ,Jon Macks, (executive producer),, ,Steve Ridgeway, (executive producer),, ,Bill Bracken, (producer)"
Outstanding Variety Special,2012 Awards,Kathy Griffin: Tired Hooker,,"Kathy Griffin, (executive producer),, ,Kimber Rickabaugh, (executive producer),, ,Paul Miller, (executive producer),, ,Andy Cohen, (executive producer),, ,Jenn Levy, (executive producer)"
Outstanding Variety Special,2012 Awards,Mel Brooks and Dick Cavett Together Again,,"Andrea Grossman, (executive producer),, ,Steve Haberman, (producer),, ,Rudy De Luca, (producer),, ,Mel Brooks, (performer),, ,Dick Cavett, (performer)"
Outstanding Variety Special,2012 Awards,Tony Bennett: Duets II,,"Danny Bennett, (executive producer),, ,David Horn, (executive producer for Great Performances),, ,Jennifer Lebeau, (producer),, ,Tony Bennett, (principal performer)"
Outstanding Voice-Over Performance,2012 Awards,Futurama,Winner,Maurice LaMarche
Outstanding Voice-Over Performance,2012 Awards,Desperate Housewives,,Brenda Strong
Outstanding Voice-Over Performance,2012 Awards,Phineas and Ferb the Movie: Across the 2nd Dimension,,Dan Povenmire
Outstanding Voice-Over Performance,2012 Awards,Prep & Landing: Naughty vs. Nice,,Rob Riggle
Outstanding Voice-Over Performance,2012 Awards,The Looney Tunes Show,,Kristen Wiig
Outstanding Voice-Over Performance,2012 Awards,The Simpsons,,Hank Azaria
Outstanding Writing for Nonfiction Programming,2012 Awards,Prohibition,Winner,"Geoffrey C. Ward, (written by)"
Outstanding Writing for Nonfiction Programming,2012 Awards,American Experience,,Barak Goodman
Outstanding Writing for Nonfiction Programming,2012 Awards,American Masters,,Peter Jones
Outstanding Writing for Nonfiction Programming,2012 Awards,Anthony Bourdain: No Reservations,,"Anthony Bourdain, (written by)"
Outstanding Writing for Nonfiction Programming,2012 Awards,Growing Hope Against Hunger,,"Christine Ferraro, (written by)"
Outstanding Writing for a Comedy Series,2012 Awards,Louie,Winner,"Louis C.K., (written by)"
Outstanding Writing for a Comedy Series,2012 Awards,Community,,"Chris McKenna, (written by)"
Outstanding Writing for a Comedy Series,2012 Awards,Girls,,"Lena Dunham, (written by)"
Outstanding Writing for a Comedy Series,2012 Awards,Parks and Recreation,,"Michael Schur, (written by)"
Outstanding Writing for a Comedy Series,2012 Awards,Parks and Recreation,,"Amy Poehler, (written by)"
Outstanding Writing for a Drama Series,2012 Awards,Homeland,Winner,"Alex Gansa, (written by),, ,Howard Gordon, (written by),, ,Gideon Raff, (written by)"
Outstanding Writing for a Drama Series,2012 Awards,Downton Abbey,,"Julian Fellowes, (written by)"
Outstanding Writing for a Drama Series,2012 Awards,Mad Men,,"Semi Chellas, (written by),, ,Matthew Weiner, (written by)"
Outstanding Writing for a Drama Series,2012 Awards,Mad Men,,"André Jacquemetton, (written by),, ,Maria Jacquemetton, (written by)"
Outstanding Writing for a Drama Series,2012 Awards,Mad Men,,"Semi Chellas, (written by),, ,Matthew Weiner, (written by)"
Outstanding Writing for a Variety Special,2012 Awards,Louis C.K.: Live at the Beacon Theater,Winner,"Louis C.K., (written by)"
Outstanding Writing for a Variety Special,2012 Awards,Betty White's 90th Birthday: A Tribute to America's Golden Girl,,"Jon Macks, (written by),, ,Steve Ridgeway, (written by),, ,Mason Steinberg, (written by),, ,Brad Lachman, (written by)"
Outstanding Writing for a Variety Special,2012 Awards,The 65th Annual Tony Awards,,"Dave Boone, (written by),, ,Paul Greenberg, (special material by)"
Outstanding Writing for a Variety Special,2012 Awards,The 84th Annual Academy Awards,,"Jon Macks, (written by),, ,Dave Boone, (written by),, ,Carol Leifer, (written by),, ,Tim Carvell, (special material written by),, ,Jeff Cesario, (special material written by),, ,Billy Crystal, (special material written by),, ,Ed Driscoll, (special material written by),, ,Billy Martin, (special material written by),, ,Ben Schwartz, (special material written by),, ,Marc Shaiman, (special material written by),, ,Eric Stangel, (special material written by),, ,Justin Stangel, (special material written by),, ,David Steinberg, (special material written by),, ,Mason Steinberg, (special material written by),, ,Colleen Werthmann, (special material written by)"
Outstanding Writing for a Variety Special,2012 Awards,The Kennedy Center Honors: A Celebration of the Performing Arts,,"George Stevens Jr., (written by),, ,Michael Stevens, (written by),, ,Sara Lukinson, (written by),, ,Lewis Friedman, (written by)"
,2011 Awards,America's Most Wanted: America Fights Back,Winner,"John Walsh, (creator)"
Outstanding Drama Series,2011 Awards,Mad Men,Winner,"Matthew Weiner, (executive producer),, ,Scott Hornbacher, (executive producer),, ,André Jacquemetton, (co-executive producer),, ,Maria Jacquemetton, (co-executive producer),, ,Dahvi Waller, (producer),, ,Jonathan Abrahams, (producer),, ,Dwayne L. Shattuck, (producer),, ,Blake McCormick, (producer)"
Outstanding Drama Series,2011 Awards,Boardwalk Empire,,"Terence Winter, (executive producer),, ,Martin Scorsese, (executive producer),, ,Mark Wahlberg, (executive producer),, ,Stephen Levinson, (executive producer),, ,Timothy Van Patten, (executive producer),, ,Eugene Kelly, (co-executive producer),, ,Lawrence Konner, (co-executive producer),, ,Howard Korder, (supervising producer),, ,Margaret Nagle, (supervising producer),, ,Rick Yorn, (producer),, ,Rudd Simmons, (producer)"
Outstanding Drama Series,2011 Awards,Dexter,,"John Goldwyn, (executive producer),, ,Sara Colleton, (executive producer),, ,Chip Johannessen, (executive producer),, ,Manny Coto, (executive producer),, ,Scott Buck, (executive producer),, ,Michael C. Hall, (executive producer),, ,Tim Schlattmann, (co-executive producer),, ,Wendy West, (co-executive producer),, ,Lauren Gussis, (supervising producer),, ,Robert Lloyd Lewis, (producer)"
Outstanding Drama Series,2011 Awards,Friday Night Lights,,"Brian Grazer, (executive producer),, ,David Nevins, (executive producer),, ,Peter Berg, (executive producer),, ,Sarah Aubrey, (executive producer),, ,David Hudgins, (executive producer),, ,Jason Katims, (executive producer),, ,John Cameron, (co-executive producer),, ,Patrick Massett, (co-executive producer),, ,John Zinman, (co-executive producer),, ,Bridget Carpenter, (co-executive producer),, ,Rolin Jones, (supervising producer),, ,Ron Fitzgerald, (producer),, ,Michael Waxman, (producer),, ,Nan Bernstein Freed, (producer),, ,Kerry Ehrin, (producer)"
Outstanding Drama Series,2011 Awards,Game of Thrones,,"David Benioff, (executive producer),, ,D.B. Weiss, (executive producer),, ,George R.R. Martin, (co-executive producer),, ,Vince Gerardis, (co-executive producer),, ,Ralph Vicinanza, (co-executive producer),, ,Guymon Casady, (co-executive producer),, ,Carolyn Strauss, (co-executive producer),, ,Frank Doelger, (producer),, ,Mark Huffam, (producer)"
Outstanding Drama Series,2011 Awards,The Good Wife,,"Ridley Scott, (executive producer),, ,Tony Scott, (executive producer),, ,Robert King, (executive producer),, ,Michelle King, (executive producer),, ,David W. Zucker, (executive producer),, ,Brooke Kennedy, (executive producer),, ,Ted Humphrey, (co-executive producer),, ,Leonard Dick, (co-executive producer),, ,Keith Eisner, (co-executive producer),, ,Courtney A. Kemp, (producer),, ,Corinne Brinkerhoff, (producer)"
Outstanding Comedy Series,2011 Awards,Modern Family,Winner,"Steven Levitan, (executive producer),, ,Christopher Lloyd, (executive producer),, ,Jeffrey Morton, (co-executive producer),, ,Danny Zuker, (co-executive producer),, ,Dan O'Shannon, (co-executive producer),, ,Bill Wrubel, (co-executive producer),, ,Paul Corrigan, (co-executive producer),, ,Brad Walsh, (co-executive producer),, ,Ilana Wernick, (co-executive producer),, ,Jeffrey Richman, (co-executive producer),, ,Abraham Higginbotham, (co-executive producer)"
Outstanding Comedy Series,2011 Awards,30 Rock,,"Lorne Michaels, (executive producer),, ,Tina Fey, (executive producer),, ,Robert Carlock, (executive producer),, ,Marci Klein, (executive producer),, ,David Miner, (executive producer),, ,Jeff Richmond, (executive producer),, ,John Riggi, (executive producer),, ,Ron Weiner, (co-executive producer),, ,Jack Burditt, (co-executive producer),, ,Matt Hubbard, (co-executive producer),, ,Alec Baldwin, (producer),, ,Kay Cannon, (producer),, ,Vali Chandrasekaran, (producer),, ,Don Scardino, (producer),, ,Josh Siegal, (producer),, ,Dylan Morgan, (producer),, ,Irene Burns, (producer),, ,Jerry Kupfer, (producer)"
Outstanding Comedy Series,2011 Awards,Glee,,"Ryan Murphy, (executive producer),, ,Brad Falchuk, (executive producer),, ,Dante Di Loreto, (executive producer),, ,Ian Brennan, (executive producer),, ,Bradley Buecker, (supervising producer),, ,Alexis Martin Woodall, (producer),, ,Kenneth J. Silverstein, (producer),, ,Michael Novick, (producer)"
Outstanding Comedy Series,2011 Awards,Parks and Recreation,,"Greg Daniels, (executive producer),, ,Michael Schur, (executive producer),, ,Howard Klein, (executive producer),, ,David Miner, (executive producer),, ,Dan Goor, (supervising producer),, ,Amy Poehler, (producer),, ,Emily Spivey, (producer),, ,Morgan Sackett, (producer)"
Outstanding Comedy Series,2011 Awards,The Big Bang Theory,,"Chuck Lorre, (executive producer),, ,Bill Prady, (executive producer),, ,Steven Molaro, (executive producer),, ,Lee Aronsohn, (executive producer),, ,David Goetsch, (co-executive producer),, ,Eric Kaplan, (co-executive producer),, ,Jim Reynolds, (superising producer),, ,Peter Chakos, (supervising producer),, ,Steve Holland, (producer),, ,Faye Oshima Belyeu, (producer)"
Outstanding Comedy Series,2011 Awards,The Office,,"Ben Silverman, (executive producer),, ,Greg Daniels, (executive producer),, ,Ricky Gervais, (executive producer),, ,Stephen Merchant, (executive producer),, ,Howard Klein, (executive producer),, ,Paul Lieberstein, (executive producer),, ,B.J. Novak, (executive producer/co-executive producer),, ,Teri Weinberg, (co-executive producer),, ,Mindy Kaling, (co-executive producer),, ,Aaron Shure, (co-executive producer),, ,Daniel Chun, (co-executive producer),, ,Peter Ocko, (co-executive producer),, ,Justin Spitzer, (supervising producer),, ,Charlie Grandy, (supervising producer),, ,Steve Carell, (producer),, ,Warren Lieberstein, (producer),, ,Halsted Sullivan, (producer),, ,Steve Hely, (producer),, ,Randy Cordray, (producer)"
Outstanding Lead Actor in a Drama Series,2011 Awards,Kyle Chandler,Winner,Friday Night Lights
Outstanding Lead Actor in a Drama Series,2011 Awards,Hugh Laurie,,House
Outstanding Lead Actor in a Drama Series,2011 Awards,Jon Hamm,,Mad Men
Outstanding Lead Actor in a Drama Series,2011 Awards,Michael C. Hall,,Dexter
Outstanding Lead Actor in a Drama Series,2011 Awards,Steve Buscemi,,Boardwalk Empire
Outstanding Lead Actor in a Drama Series,2011 Awards,Timothy Olyphant,,Justified
Outstanding Lead Actress in a Drama Series,2011 Awards,Julianna Margulies,Winner,The Good Wife
Outstanding Lead Actress in a Drama Series,2011 Awards,Connie Britton,,Friday Night Lights
Outstanding Lead Actress in a Drama Series,2011 Awards,Elisabeth Moss,,Mad Men
Outstanding Lead Actress in a Drama Series,2011 Awards,Kathy Bates,,Harry's Law
Outstanding Lead Actress in a Drama Series,2011 Awards,Mariska Hargitay,,Law & Order: Special Victims Unit
Outstanding Lead Actress in a Drama Series,2011 Awards,Mireille Enos,,The Killing
Outstanding Lead Actor in a Comedy Series,2011 Awards,Jim Parsons,Winner,The Big Bang Theory
Outstanding Lead Actor in a Comedy Series,2011 Awards,Alec Baldwin,,30 Rock
Outstanding Lead Actor in a Comedy Series,2011 Awards,Johnny Galecki,,The Big Bang Theory
Outstanding Lead Actor in a Comedy Series,2011 Awards,Louis C.K.,,Louie
Outstanding Lead Actor in a Comedy Series,2011 Awards,Matt LeBlanc,,Episodes
Outstanding Lead Actor in a Comedy Series,2011 Awards,Steve Carell,,The Office
Outstanding Lead Actress in a Comedy Series,2011 Awards,Melissa McCarthy,Winner,Mike & Molly
Outstanding Lead Actress in a Comedy Series,2011 Awards,Amy Poehler,,Parks and Recreation
Outstanding Lead Actress in a Comedy Series,2011 Awards,Edie Falco,,Nurse Jackie
Outstanding Lead Actress in a Comedy Series,2011 Awards,Laura Linney,,The Big C
Outstanding Lead Actress in a Comedy Series,2011 Awards,Martha Plimpton,,Raising Hope
Outstanding Lead Actress in a Comedy Series,2011 Awards,Tina Fey,,30 Rock
Outstanding Lead Actor in a Miniseries or Movie,2011 Awards,Barry Pepper,Winner,The Kennedys
Outstanding Lead Actor in a Miniseries or Movie,2011 Awards,Edgar Ramírez,,Carlos
Outstanding Lead Actor in a Miniseries or Movie,2011 Awards,Greg Kinnear,,The Kennedys
Outstanding Lead Actor in a Miniseries or Movie,2011 Awards,Idris Elba,,Luther
Outstanding Lead Actor in a Miniseries or Movie,2011 Awards,Laurence Fishburne,,Thurgood
Outstanding Lead Actor in a Miniseries or Movie,2011 Awards,William Hurt,,Too Big to Fail
Outstanding Lead Actress in a Miniseries or Movie,2011 Awards,Kate Winslet,Winner,Mildred Pierce
Outstanding Lead Actress in a Miniseries or Movie,2011 Awards,Diane Lane,,Cinema Verite
Outstanding Lead Actress in a Miniseries or Movie,2011 Awards,Elizabeth McGovern,,Downton Abbey
Outstanding Lead Actress in a Miniseries or Movie,2011 Awards,Jean Marsh,,Upstairs Downstairs
Outstanding Lead Actress in a Miniseries or Movie,2011 Awards,Taraji P. Henson,,Taken from Me: The Tiffany Rubin Story
Outstanding Supporting Actor in a Drama Series,2011 Awards,Peter Dinklage,Winner,Game of Thrones
Outstanding Supporting Actor in a Drama Series,2011 Awards,Alan Cumming,,The Good Wife
Outstanding Supporting Actor in a Drama Series,2011 Awards,Andre Braugher,,Men of a Certain Age
Outstanding Supporting Actor in a Drama Series,2011 Awards,John Slattery,,Mad Men
Outstanding Supporting Actor in a Drama Series,2011 Awards,Josh Charles,,The Good Wife
Outstanding Supporting Actor in a Drama Series,2011 Awards,Walton Goggins,,Justified
Outstanding Supporting Actress in a Drama Series,2011 Awards,Margo Martindale,Winner,Justified
Outstanding Supporting Actress in a Drama Series,2011 Awards,Archie Panjabi,,The Good Wife
Outstanding Supporting Actress in a Drama Series,2011 Awards,Christina Hendricks,,Mad Men
Outstanding Supporting Actress in a Drama Series,2011 Awards,Christine Baranski,,The Good Wife
Outstanding Supporting Actress in a Drama Series,2011 Awards,Kelly Macdonald,,Boardwalk Empire
Outstanding Supporting Actress in a Drama Series,2011 Awards,Michelle Forbes,,The Killing
Outstanding Supporting Actor in a Comedy Series,2011 Awards,Ty Burrell,Winner,Modern Family
Outstanding Supporting Actor in a Comedy Series,2011 Awards,Chris Colfer,,Glee
Outstanding Supporting Actor in a Comedy Series,2011 Awards,Ed O'Neill,,Modern Family
Outstanding Supporting Actor in a Comedy Series,2011 Awards,Eric Stonestreet,,Modern Family
Outstanding Supporting Actor in a Comedy Series,2011 Awards,Jesse Tyler Ferguson,,Modern Family
Outstanding Supporting Actor in a Comedy Series,2011 Awards,Jon Cryer,,Two and a Half Men
Outstanding Supporting Actress in a Comedy Series,2011 Awards,Julie Bowen,Winner,Modern Family
Outstanding Supporting Actress in a Comedy Series,2011 Awards,Betty White,,Hot in Cleveland
Outstanding Supporting Actress in a Comedy Series,2011 Awards,Jane Krakowski,,30 Rock
Outstanding Supporting Actress in a Comedy Series,2011 Awards,Jane Lynch,,Glee
Outstanding Supporting Actress in a Comedy Series,2011 Awards,Kristen Wiig,,Saturday Night Live
Outstanding Supporting Actress in a Comedy Series,2011 Awards,Sofía Vergara,,Modern Family
Outstanding Host For A Reality Or Reality - Competition Program,2011 Awards,Survivor,Winner,Jeff Probst
Outstanding Host For A Reality Or Reality - Competition Program,2011 Awards,American Idol,,Ryan Seacrest
Outstanding Host For A Reality Or Reality - Competition Program,2011 Awards,Dancing with the Stars,,Tom Bergeron
Outstanding Host For A Reality Or Reality - Competition Program,2011 Awards,So You Think You Can Dance,,Cat Deeley
Outstanding Host For A Reality Or Reality - Competition Program,2011 Awards,The Amazing Race,,Phil Keoghan
Outstanding Directing for a Drama Series,2011 Awards,Boardwalk Empire,Winner,Martin Scorsese
Outstanding Directing for a Drama Series,2011 Awards,Boardwalk Empire,,Jeremy Podeswa
Outstanding Directing for a Drama Series,2011 Awards,Game of Thrones,,Timothy Van Patten
Outstanding Directing for a Drama Series,2011 Awards,The Borgias,,Neil Jordan
Outstanding Directing for a Drama Series,2011 Awards,The Killing,,Patty Jenkins
Outstanding Directing for a Comedy Series,2011 Awards,Modern Family,Winner,Michael Spiller
Outstanding Directing for a Comedy Series,2011 Awards,30 Rock,,Beth McCarthy-Miller
Outstanding Directing for a Comedy Series,2011 Awards,How I Met Your Mother,,Pamela Fryman
Outstanding Directing for a Comedy Series,2011 Awards,Modern Family,,Steven Levitan
Outstanding Directing for a Comedy Series,2011 Awards,Modern Family,,Gail Mancuso
"Outstanding Directing for a Variety, Music or Comedy Series",2011 Awards,Saturday Night Live,Winner,Don Roy King
"Outstanding Directing for a Variety, Music or Comedy Series",2011 Awards,American Idol,,Gregg Gelfand
"Outstanding Directing for a Variety, Music or Comedy Series",2011 Awards,Late Show with David Letterman,,Jerry Foley
"Outstanding Directing for a Variety, Music or Comedy Series",2011 Awards,The Colbert Report,,Jim Hoskinson
"Outstanding Directing for a Variety, Music or Comedy Series",2011 Awards,The Daily Show,,Chuck O'Neil
"Outstanding Directing for a Miniseries, Movie or a Dramatic Special",2011 Awards,Downton Abbey,Winner,Brian Percival
"Outstanding Directing for a Miniseries, Movie or a Dramatic Special",2011 Awards,Carlos,,Olivier Assayas
"Outstanding Directing for a Miniseries, Movie or a Dramatic Special",2011 Awards,Cinema Verite,,"Shari Springer Berman,, ,Robert Pulcini"
"Outstanding Directing for a Miniseries, Movie or a Dramatic Special",2011 Awards,Mildred Pierce,,Todd Haynes
"Outstanding Directing for a Miniseries, Movie or a Dramatic Special",2011 Awards,Too Big to Fail,,Curtis Hanson
Outstanding Writing for a Drama Series,2011 Awards,Friday Night Lights,Winner,Jason Katims
Outstanding Writing for a Drama Series,2011 Awards,Game of Thrones,,"David Benioff,, ,D.B. Weiss"
Outstanding Writing for a Drama Series,2011 Awards,Mad Men,,Matthew Weiner
Outstanding Writing for a Drama Series,2011 Awards,Mad Men,,"André Jacquemetton,, ,Maria Jacquemetton"
Outstanding Writing for a Drama Series,2011 Awards,The Killing,,Veena Sud
Outstanding Writing for a Comedy Series,2011 Awards,Modern Family,Winner,"Steven Levitan,, ,Jeffrey Richman"
Outstanding Writing for a Comedy Series,2011 Awards,30 Rock,,Matt Hubbard
Outstanding Writing for a Comedy Series,2011 Awards,Episodes,,"David Crane,, ,Jeffrey Klarik"
Outstanding Writing for a Comedy Series,2011 Awards,Louie,,Louis C.K.
Outstanding Writing for a Comedy Series,2011 Awards,The Office,,Greg Daniels
"Outstanding Writing for a Variety, Music or Comedy Series",2011 Awards,The Daily Show,Winner,"Steve Bodow, (head writer),, ,Tim Carvell, (head writer),, ,Rory Albanese, (writer),, ,Kevin Bleyer, (writer),, ,Rich Blomquist, (writer),, ,Wyatt Cenac, (writer),, ,Hallie Haglund, (writer),, ,J.R. Havlan, (writer),, ,Elliott Kalan, (writer),, ,Josh Lieb, (writer),, ,Sam Means, (writer),, ,Jo Miller, (writer),, ,John Oliver, (writer),, ,Daniel Radosh, (writer),, ,Jason Ross, (writer),, ,Jon Stewart, (writer)"
"Outstanding Writing for a Variety, Music or Comedy Series",2011 Awards,Conan,,"Mike Sweeney, (head writer),, ,Conan O'Brien, (writer),, ,Andy Richter, (writer),, ,Frank Smiley, (writer),, ,José Arroyo, (writer),, ,Andrés du Bouchet, (writer),, ,Deon Cole, (writer),, ,Josh Comers, (writer),, ,Dan Cronin, (writer),, ,Michael Gordon, (writer),, ,Berkley Johnson, (writer),, ,Brian Kiley, (writer),, ,Laurie Kilmartin, (writer),, ,Rob Kutner, (writer),, ,Todd Levin, (writer),, ,Brian McCann, (writer),, ,Matt O'Brien, (writer),, ,Brian Stack, (writer)"
"Outstanding Writing for a Variety, Music or Comedy Series",2011 Awards,Late Night with Jimmy Fallon,,"A.D. Miles, (head writer),, ,David Angelo, (writer),, ,Patrick Borelli, (writer),, ,Michael Blieden, (writer),, ,Gerard Bradford, (writer),, ,Jeremy Bronson, (writer),, ,Mike DiCenzo, (writer),, ,Jimmy Fallon, (writer),, ,Eric Ledgin, (writer),, ,Morgan Murphy, (writer),, ,Bobby Patton, (writer),, ,Gavin Purcell, (writer),, ,Amy Ozols, (writer),, ,Diallo Riddle, (writer),, ,Bashir Salahuddin, (writer),, ,Justin Shanes, (writer),, ,Michael Shoemaker, (writer),, ,Jon Rineman, (writer),, ,Bobby Tisdale, (writer)"
"Outstanding Writing for a Variety, Music or Comedy Series",2011 Awards,Saturday Night Live,,"John Mulaney, (writer),, ,Marika Sawyer, (writer),, ,Heather Anne Campbell, (writer),, ,James Downey, (writer),, ,Simon Rich, (writer),, ,Alex Baze, (writer),, ,James Anderson, (writer),, ,Bryan H. Tucker, (writer),, ,Lorne Michaels, (writer),, ,Michael Patrick O'Brien, (writer),, ,Erik Kenward, (writer),, ,Sarah Schneider, (writer),, ,Akiva Schaffer, (writer),, ,Rob Klein, (writer),, ,Colin Jost, (writer),, ,Paula Pell, (writer),, ,John Solomon, (writer),, ,Seth Meyers, (writer),, ,Jorma Taccone, (writer),, ,Shelly Gossman, (writer),, ,Steve Higgins, (writer),, ,Kent Sublette, (writer),, ,Matthew Craig, (writer),, ,Christine Nangle, (writer),, ,Jessica Conrad, (writer),, ,Doug Abeles, (writer),, ,Tom Flanigan, (writer)"
"Outstanding Writing for a Variety, Music or Comedy Series",2011 Awards,The Colbert Report,,"Barry Julien, (head writer),, ,Stephen Colbert, (writer),, ,Tom Purcell, (writer),, ,Rich Dahm, (writer),, ,Michael Brumm, (writer),, ,Rob Dubbin, (writer),, ,Opus Moreschi, (writer),, ,Peter Gwinn, (writer),, ,Jay Katsir, (writer),, ,Frank Lesser, (writer),, ,Glenn Eichler, (writer),, ,Meredith Scardino, (writer),, ,Max Werner, (writer),, ,Eric Drysdale, (writer),, ,Scott Sherman, (writer),, ,Dan Guterman, (writer),, ,Paul Dinello, (writer)"
"Outstanding Writing for a Miniseries, Movie or a Dramatic Special",2011 Awards,Downton Abbey,Winner,"Julian Fellowes, (written by)"
"Outstanding Writing for a Miniseries, Movie or a Dramatic Special",2011 Awards,Mildred Pierce,,"Todd Haynes, (written by),, ,Jonathan Raymond, (written by)"
"Outstanding Writing for a Miniseries, Movie or a Dramatic Special",2011 Awards,Sherlock,,"Steven Moffat, (written by)"
"Outstanding Writing for a Miniseries, Movie or a Dramatic Special",2011 Awards,Too Big to Fail,,"Peter Gould, (written by)"
"Outstanding Writing for a Miniseries, Movie or a Dramatic Special",2011 Awards,Upstairs Downstairs,,"Heidi Thomas, (written by)"
Outstanding Miniseries or Movie,2011 Awards,Downton Abbey,Winner,"Gareth Neame, (executive producer),, ,Rebecca Eaton, (executive producer),, ,Julian Fellowes, (executive producer),, ,Nigel Marchant, (producer),, ,Liz Trubridge, (producer)"
