,rating_total,rating_avg,finalist,movie_description,cast,language,style,country,company,film_location
529,752,8.5,Years of Living Dangerously (TV Series 2014– ) - IMDb,"
                    From the damage wrought by Hurricane Sandy to the upheaval caused by drought in the Middle East, this groundbreaking documentary event series provides first-hand reports on those affected by, and seeking solutions to, climate change.
            "," Thomas Friedman
, Don Cheadle
, America Ferrera
, Arnold Schwarzenegger
, Ian Somerhalder
, Mark Bittman
, Harrison Ford
, Chris Hayes
, M. Sanjayan
, Nikki Reed
",USA,"[' Documentary', ' ', None, None, None]",USA, The Years Project,
530,"8,539",8.1,The Square (2013) - IMDb,"
                    A group of Egyptian revolutionaries battle leaders and regimes, risking their lives to build a new society of conscience.
            "," Ahmed Hassan
, Khalid Abdalla
, Magdy Ashour
, Ramy Essam
, Buthayna Kamel
, Aydah El-Kashef
, Ragia Omran
, Pierre Sioufi
, Dina Abdullah
, Dina Amer
, Sarah Amer
, Sherif Boray
, Khaled Nagy
, Salma Saied
, Ahmed Salama
",UK,"[' Documentary', ' Drama', ' History', ' News', None]",UK, Noujaim Films,"Tahrir Square, Cairo, Egypt"
531,,,Wynton Marsalis: A YoungArts Masterclass (TV Short 2014) - IMDb,"
                    Jazz icon Wynton Marsalis prepares three young men for a concert at Jazz at Lincoln Center, where they will perform alongside him.
            "," Wynton Marsalis
",English,"[' Documentary', ' Short', None, None, None]",English,IMDbPro,
532,"1,133",8.2,HitRECord on TV (TV Series 2014–2015) - IMDb,"
                    A television show comprised of contributions from the hitRECord community, a collaborative production company founded by Joseph Gordon-Levitt and his brother ""Burning Dan.""
            "," Joseph Gordon-Levitt
, Kali Thomas
, Richard Vance
, Rodnesha Green
, Spaceship
, Lexi Scherr
, Jack Keane
, Marybeth Kern
, Darcey Rhoads
, Christina Regler
",English,"[' Action', None, None, None, None]",English, hitRECord,
533,"4,546",7.3,Fleming (TV Mini-Series 2014) - IMDb,"
                    Look at the 007 creator, Ian Fleming, and his early life set against the permissive society of war-torn WWII London.
            "," Dominic Cooper
, Lara Pulver
, Samuel West
, Anna Chancellor
, Rupert Evans
, Lesley Manville
, Pip Torrens
, Camilla Rutherford
, Annabelle Wallis
, Dean Lennox Kelly
, Stanley Townsend
, Antonia Thomas
, Tom Whitecross
",English,"[' Biography', ' Drama', ' Romance', None, None]",English, BBC America,
534,906,7.8,Robot Chicken DC Comics Special II: Villains in Paradise (TV Short 2014) - IMDb,"
                    When Lex Luthor's daughter runs away with her boyfriend Superboy and the Justice League, the Legion of Doom take a trip to the beach to find the missing teen.
            "," Seth Green
, Alex Borstein
, Clancy Brown
, Hugh Davidson
, Zac Efron
, Nathan Fillion
, Clare Grant
, Sarah Hyland
, Breckin Meyer
, Alfred Molina
, Paul Reubens
, Giovanni Ribisi
, Matthew Senreich
, Kevin Shinick
, Tara Strong
",English,"[' Animation', ' ', ' Action', ' Comedy', None]",English, DC Entertainment,
535,110,7.5,One Last Hug: Three Days at Grief Camp (2014) - IMDb,"
                    Camp that encourages children who lost close family members to open up about their feelings.
            ",,USA,"['Anonymous', ' Short', None, None, None]",USA, GDH Productions,
536,"28,713",7.6,Last Man Standing (TV Series 2011– ) - IMDb,"
                    A married father of three tries to maintain his manliness in a world increasingly dominated by women.
            "," Tim Allen
, Nancy Travis
, Hector Elizondo
, Christoph Sanders
, Amanda Fuller
, Kaitlyn Dever
, Molly Ephraim
, Jordan Masterson
, Jonathan Adams
",USA,"[' Comedy', ' ', None, None, None]",USA, 21 Laps Entertainment,"Stage 9, CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA"
537,"4,428",6.9,He Named Me Malala (2015) - IMDb,"
                    A look at the events leading up to the Taliban's attack on Pakistani schoolgirl, Malala Yousafzai, for speaking out on girls' education followed by the aftermath, including her speech to the United Nations.
            "," Malala Yousafzai
, Ziauddin Yousafzai
, Toor Pekai Yousafzai
, Khushal Yousafzai
, Atal Yousafzai
, Bono
, Jon Stewart
",USA,"[' Documentary', ' Biography', None, None, None]",USA, Fox Searchlight Pictures,"Birmingham, England, UK"
538,"1,772",5.1,"Nicky, Ricky, Dicky & Dawn (TV Series 2014–2018) - IMDb","
                    11-year-old Nicky, Ricky, Dicky, and Dawn Harper's sibling rivalry are heightened by the fact that they are quadruplets.
            "," Lizzy Greene
, Casey Simpson
, Aidan Gallagher
, Allison Munn
, Brian Stepanek
, Mace Coronel
, Kyla-Drew
",USA,"[' Comedy', ' ', None, None, None]",USA,IMDbPro,"Stage 19, Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA"
539,"27,624",7.2,Mom (TV Series 2013– ) - IMDb,"
                    A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.
            "," Allison Janney
, Anna Faris
, Mimi Kennedy
, Beth Hall
, Jaime Pressly
, William Fichtner
",English,"[' Comedy', ' ', ' Romance', None, None]",English, Chuck Lorre Productions,
540,706,5.8,The Soul Man (TV Series 2012–2016) - IMDb,"
                    ""The Soul Man"" revolves around R&B superstar-turned-minister Reverend Boyce ""The Voice"" Ballentine, who was living the high life in Las Vegas at the top of the music charts when he gets the...
                    "," Cedric the Entertainer
, Niecy Nash
, Wesley Jonathan
, John Beasley
",USA,"[' Comedy', ' ', None, None, None]",USA, Bird and a Bear Entertainment,"CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA"
541,"1,145",6.7,America's Best Dance Crew (TV Series 2008–2015) - IMDb,"
                    Hip-hop dance groups from around the U.S. compete for money and a chance to land a touring contract.
            "," Layla Rumi
, J.C. Chasez
, Niatia 'Lil Mama' Kirkland
, Mario Lopez
",English,"[' Music', ' ', None, None, None]",English, Warner Horizon Television,
542,54,7.5,"It's Your 50th Christmas, Charlie Brown (2015) - IMDb","
                    A musical celebration of the 50th Anniversary of the classic animated special, "," Kristen Bell
, Cam Clarke
, Sarah McLachlan
, Kristin Chenoweth
, Pentatonix
, Boyz II Men
, Matthew Morrison
, David Benoit
, All American Boys Chorus
, Charles M. Schulz
, Barack Obama
, Michelle Obama
, Lee Mendelson
, Tracy Stratford
, Bill Melendez
",USA,"[' Family', ' ', None, None, None]",USA, Lee Mendelson Film Productions,
543,"12,500",8.4,Winter on Fire: Ukraine's Fight for Freedom (2015) - IMDb,"
                    A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich.
            "," Bishop Agapit
, Catherine Ashton
, Serhii Averchenko
, Kristina Berdinskikh
, Julie DiFonzo
, Pavlo Dobryanskyy
, Valery Dovgiy
, Bogdan Dubas
, Kurganskyi Eduard
, Mykhailo Havryliuk
, Natan Hazin
, His Holiness The Patriarch of Kyiv and Ukraine Filaret
, Dmytro Holubnychy
, Timur Ibragimov
, Said Ismagilov
",UK,"[' Documentary', ' ', None, None, None]",UK, Afineevsky - Tolmor Production,"Kyiv, Ukraine"
544,"1,219",4.4,School of Rock (TV Series 2016–2018) - IMDb,"
                    Misadventures of Dewey Finn, a rocker who poses as a substitute teacher at a prestigious prep school as he teaches his unconventional and overachieving students to play and love rock 'n' roll.
            "," Breanna Yde
, Ricardo Hurtado
, Jade Pettyjohn
, Lance Lim
, Aidan Miner
, Tony Cavalero
, Ruby Imes
, Jama Williamson
, Ivan Mallon
, Sean Leo
",USA,"[' Comedy', ' Family', ' Musical', None, None]",USA, Armogida Brothers Productions,"Stage 18, Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA"
545,986,7.6,SuperMansion (TV Series 2015– ) - IMDb,"
                    Aging superhero, Titanium Rex, and his has-been team known as The League of Freedom struggle to stay relevant in a changing world.
            "," Bryan Cranston
, Heidi Gardner
, Tucker Gilmore
, Zeb Wells
, Jillian Bell
, Keegan-Michael Key
, Chris Pine
, Tom Root
",English,"[' Animation', ' ', None, None, None]",English, Stoopid Buddy Stoodios,
546,"5,841",7.4,The Hunting Ground (2015) - IMDb,"
                    An exposé of rape crimes on U.S. college campuses, their institutional cover-ups, and the devastating toll they take on students and their families.
            "," Andrea Pino
, Annie Clark
, Claire Potter
, Melinda Manning
, Kimberly Theidon
, Kamilah Willingham
, Mrs. Willingham
, Caroline Heldman
, David Lisak
, Leslie Strohm
, Danielle Dirks
, Diane Rosenfeld
, Pat Cottrell
, Rachel Hudak
, Carol Ann Mooney
",USA,"[' Documentary', ' ', None, None, None]",USA, Chain Camera Pictures,
547,"1,831",7.3,The Black Panthers: Vanguard of the Revolution (2015) - IMDb,"
                    This documentary tells the rise and fall of the Black Panther Party, one of the 20th century's most alluring and controversial organizations that captivated the world's attention for nearly 50 years.
            "," Blair Anderson
, Omar Barbour
, Julian Bond
, Elaine Brown
, Scot Brown
, William Calhoun
, Clayborne Carson
, Eldridge Cleaver
, Kathleen Cleaver
, Dennis Cunningham
, Emory Douglas
, Flores Forbes
, Sherwin Forte
, Ronald Freeman
, Roland Freeman
",USA,"[' Documentary', ' ', None, None, None]",USA, Firelight Films,
548,"1,398",7.7,Jim: The James Foley Story (2016) - IMDb,"
                    An in-depth look at the life and work of American journalist "," James Foley
, Unai Aranzadi
, Zac Baillie
, Manu Brabo
, Ben Chase
, Merritt Matthew Chase
, Charles DePiero
, Tom Durkin
, Mosa'ab Elshamy
, John Foley Sr.
, Diane Foley
, Katie Foley
, Mark Foley
, Michael Foley
, Michael D. Joseph
",English,"[' Documentary', ' ', ' War', None, None]",English, HBO Documentary Films,
549,"17,712",7.4,Cartel Land (2015) - IMDb,"
                    Filmmaker "," Tim Nailer Foley
, José Manuel 'El Doctor' Mireles
, Paco Valencia
, Chaneque
, Caballo
, Enrique Peña Nieto
, Ana Valencia
, Estanislao Beltránin
, Janet Fields
, Nicolás Sierra
, Karla
, Alfredo Castillo Cervantes
, María Imilse Arrué
, Shawn Wilson
",USA,"[' Documentary', ' ', None, None, None]",USA, A&E IndieFilms,"Sasabe, Arizona, USA"
550,"16,458",7.8,Crazy Ex-Girlfriend (TV Series 2015–2019) - IMDb,"
                    A young woman abandons a choice job at a law firm and her life in New York in an attempt to find happiness in the unlikely locale of West Covina, California.
            "," Rachel Bloom
, Donna Lynne Champlin
, Vincent Rodriguez III
, Pete Gardner
, Vella Lovell
, Gabrielle Ruiz
, Scott Michael Foster
, David Hull
, Erick Lopez
",English,"[' Comedy', ' Musical', None, None, None]",English, Black Lamb,
551,"3,045",3.6,The Powerpuff Girls (TV Series 2016– ) - IMDb,"
                    Made from sugar, spice, everything nice and Chemical X by the Professor; Blossom, Bubbles, and Buttercup now use their superpowers and super cuteness to save the world (or at least Townsville) from evil villains and all things icky.
            "," Nicolas Cantu
, Kyla Rae Kowalewski
, Amanda Leighton
, Natalie Palamides
, Kristen Li
, Tom Kane
, Tom Kenny
",USA," Animation, , Comedy, Family, Fantasy",USA, Cartoon Network Studios,
552,"7,446",8.3,Racing Extinction (2015) - IMDb,"
                    A documentary that follows undercover activists trying to stave off a man-made mass extinction.
            "," Louie Psihoyos
, Heather Dawn Rally
, Michael Novacek
, Christopher W. Clark
, Kirk Johnson
, Ady Gil
, Shawn Heinrichs
, Paul Hilton
, Charles Hambleton
, David Doubilet
, Jerry Greenberg
, John Veron
, Elizabeth Kolbert
, Synte Peacock
, Alan Barton
",USA,"[' Documentary', ' Adventure', ' News', None, None]",USA, Oceanic Preservation Society,"Los Angeles, California, USA"
553,"4,385",7.9,The Story of God with Morgan Freeman (TV Series 2016– ) - IMDb,"
                    Morgan Freeman presents his quest in order to find how most religions perceive life after death, what different civilizations thought about the act of creation and other big questions that mankind has continuously asked.
            "," Morgan Freeman
",USA,"[' Adventure', ' ', None, None, None]",USA, Revelations Entertainment,"Santa Clarita, California, USA"
554,"25,065",8.2,Steven Universe (TV Series 2013–2020) - IMDb,"
                    A team of intergalactic warriors fights to protect the universe, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them.
            "," Zach Callison
, Deedee Magno
, Michaela Dietz
, Estelle
",Korean," Animation, Short, Adventure, Comedy, Drama",Korean, Cartoon Network Studios,
555,,,Sleepy Hollow Virtual Reality Experience (Video Game 2015) - IMDb,"
                    "," Tom Mison
",USA,"[' Fantasy', ' ', None, None, None]",USA, Secret Location,
556,702,8.1,Emma Approved (TV Series 2013– ) - IMDb,"
                    Emma Woodhouse, re-imagined as a bold, smart, idealistic, and audacious young female entrepreneur with an expertise in life coaching and matchmaking. Emma partners up with lifelong friend ...
                    "," Joanna Sotomura
, Brent Bailey
, Dayeanne Hutton
",USA,"['Pemberley Digital', None, None, None, None]",USA, Pemberley Digital,
557,8,5.4,The Singles Project (TV Series 2014– ) - IMDb,"
                    Sure it seems straight-forward - it's a dating show about New Yorkers looking for love. But just like finding the love of your life isn't a straight line, this show isn't that easy either? ...
                    "," Chekesha Johnson
",,"[' Reality-TV', ' Romance', None, None, None]",See more,IMDbPro,
558,375,7.0,Super Bowl XLIX Halftime Show Starring Katy Perry (2015) - IMDb,"
                    Between lions, dancing sharks, glowing orbs and fireworks exploding, pop star "," Katy Perry
, Lenny Kravitz
, Missy Elliott
, Arizona State University Sun Devil Marching Band
",English,"[' Music', None, None, None, None]",English, National Football League (NFL),
559,"2,024",7.6,@midnight (TV Series 2013–2017) - IMDb,"
                    Hosted by talk show host, Chris Hardwick, this 30 minute segment provides information about the Internet while being scrutinized by amazing comedians. This show consists of clips, gifs, ...
                    "," Chris Hardwick
",USA,"[' Comedy', ' Game-Show', None, None, None]",USA, Comedy Central,
560,"28,265",7.4,The Mindy Project (TV Series 2012–2017) - IMDb,"
                    A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office.
            "," Mindy Kaling
, Ike Barinholtz
, Ed Weeks
, Chris Messina
, Xosha Roquemore
, Beth Grant
",USA,"[' Comedy', ' ', None, None, None]",USA, Kaling International,"Los Angeles, California, USA"
561,"5,307",6.0,The Millers (TV Series 2013–2015) - IMDb,"
                    A divorced reporter, looking forward to the single life, finds his parents' marital problems derail his plans.
            "," J.B. Smoove
, Nelson Franklin
, Margo Martindale
, Will Arnett
, Jayma Mays
, Beau Bridges
, Lulu Wilson
, Sean Hayes
, Eve Moon
",English,"[' Comedy', None, None, None, None]",English, Amigos de Garcia Productions,
562,"1,529",6.9,The Secret Life of Marilyn Monroe (TV Mini-Series 2015– ) - IMDb,"
                    A chronicle of Marilyn Monroe's family life and how she succeeded in hiding her most intimate secrets from the press and an invasive world.
            "," Susan Sarandon
, Kelli Garner
, Embeth Davidtz
, Jack Noseworthy
, Eva Amurri Martino
, Stephen Bogaert
, Giacomo Gianniotti
, Peter MacNeill
, Barry Flatman
, Matthew Bennett
, Tony Nardi
, Tamara Hickey
, Jeffrey Dean Morgan
, Emily Watson
, Neil Crone
, Ella Allan
, Mia Allan
, Jeff Kassel
, Daryn Pancer
, Vickie Papavs
, Peter Tufford Kennedy
",English,"[' Biography', ' ', None, None, None]",English, Asylum Entertainment,
563,"1,494",8.0,Life Below Zero (TV Series 2013– ) - IMDb,"
                    The everyday struggles of living in the secluded state of Alaska where one wrong decision could cost you your life.
            "," James Franzo
, Sue Aikens
, Agnes Hailstone
, Chip Hailstone
, Andy Bassich
, Glenn Villeneuve
, Jessie Holmes
",USA,"[' Documentary', ' Adventure', ' Reality-TV', None, None]",USA, BBC Worldwide Productions,"Alaska, USA"
564,"3,210",7.7,Jesus Christ Superstar Live in Concert (TV Movie 2018) - IMDb,"
                    A live musical recounting the final days of Jesus Christ and those around him.
            "," Sara Bareilles
, Alice Cooper
, Ben Daniels
, Brandon Victor Dixon
, Erik Grönwall
, Jin Ha
, Norm Lewis
, Jason Tam
, John Legend
, Melody Betts
, Felicia Boswell
, Abby Corrigan
, Michaela Diamond
, Rory Donovan
, Christine Dwyer
",English,"[' Musical', ' ', None, None, None]",English, Sony Pictures Television,
565,"1,407",5.6,The Oscars (2018) - IMDb,"
                    The 90th Annual Academy Awards ceremony, hosted by Jimmy Kimmel, celebrates the film industry's biggest achievements for the year 2017.
            "," Armie Hammer
, Matthew McConaughey
, Nicole Kidman
, Margot Robbie
, Tom Holland
, Jennifer Lawrence
, Timothée Chalamet
, Oscar Isaac
, Eiza González
, Emily Blunt
, Christopher Nolan
, Zendaya
, Emma Stone
, Denzel Washington
, Geena Davis
",USA,"[' Comedy', ' Music', None, None, None]",USA, Academy of Motion Picture Arts and Sciences (AMPAS),"Dolby Theatre - 6801 Hollywood Blvd., Hollywood & Highland Center, Hollywood, Los Angeles, California, USA"
566,"54,662",8.5,Twin Peaks (TV Series 2017) - IMDb,"
                    Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.
            "," Kyle MacLachlan
, Sheryl Lee
, Michael Horse
, Chrysta Bell
, Miguel Ferrer
, David Lynch
, Robert Forster
, Kimmy Robertson
, Naomi Watts
, Laura Dern
, Pierce Gagnon
, Harry Goaz
, Al Strobel
, John Pirruccello
, Don Murray
",USA," Crime, Drama, Fantasy, Mystery, Thriller",USA, Showtime Networks,"Los Angeles, California, USA"
567,"10,271",8.0,The Looming Tower (TV Mini-Series 2018) - IMDb,"
                    A look at how the rivalry between the CIA and FBI inadvertently set the stage for the tragedy of 9/11 and the war in Afghanistan.
            "," Jeff Daniels
, Tahar Rahim
, Wrenn Schmidt
, Bill Camp
, Louis Cancelmi
, Virginia Kull
, Ella Rae Peck
, Sullivan Jones
, Michael Stuhlbarg
, Peter Sarsgaard
, Annie Parisse
, Jamie Neumann
, Jenny Paul
, Sharon Washington
, Erica Cho
, Alec Baldwin
, Katie Flahive
, Tawfeek Barhom
, Jordan Lage
, Kimberly S. Fairbanks
, Yul Vazquez
, Nasser Faris
, Nebras Jamali
, Samer Bisharat
, July Namir
, Craig Wroe
, Michael Quinlan
, Ken Arnold
",USA,"[' Drama', ' ', None, None, None]",USA, Legendary Television,"Johannesburg, South Africa"
568,"37,288",7.4,Empire (TV Series 2015– ) - IMDb,"
                    A hip-hop mogul must choose a successor among his three sons who are battling for control over his multi-million dollar company, while his ex-wife schemes to reclaim what is hers.
            "," Terrence Howard
, Bryshere Y. Gray
, Trai Byers
, Taraji P. Henson
, Ta'Rhonda Jones
, Gabourey Sidibe
, Serayah
, Jussie Smollett
, Grace Byers
, Andre Royo
, AzMarie Livingston
, Rekkhan
, Nicole Ari Parker
",USA,"[' Drama', ' Music', None, None, None]",USA, Lee Daniels Entertainment,"Chicago, Illinois, USA"
569,"12,611",7.2,Girl Meets World (TV Series 2014–2017) - IMDb,"
                    More than a decade after "," Rowan Blanchard
, Ben Savage
, Sabrina Carpenter
, Peyton Meyer
, August Maturo
, Danielle Fishel
, Corey Fogelmanis
, Sarah Carpenter
, Nicholas Jabonero
, Nigel Suarez
, Jade Holden
, Clarissa Peralta
, Darby Walker
, Hunter Wickham
, Yindra Zayas
, Amir Mitchell-Townes
",USA,"[' Comedy', ' ', ' Family', ' Music', None]",USA, It's a Laugh Productions,"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA"
570,"14,866",7.3,The Tale (2018) - IMDb,"
                    A woman filming a documentary on childhood rape victims starts to question the nature of her childhood relationship with her riding instructor and running coach.
            "," Laura Dern
, Jason Ritter
, Common
, Elizabeth Debicki
, Jessica Sarah Flaum
, Laura Allen
, Juli Erickson
, Matthew Rauch
, Ellen Burstyn
, John Heard
, Dana Healey
, Aaron Williamson
, Shay Lee Abeson
, Isabella Amara
, Jodi Long
",USA,"[' Biography', ' ', ' Mystery', ' Thriller', None]",USA, Gamechanger Films,"Los Angeles, California, USA"
571,"17,118",4.9,Fahrenheit 451 (2018) - IMDb,"
                    In a terrifying care-free future, a young man, Guy Montag, whose job as a fireman is to burn all books, questions his actions after meeting a young woman - and begins to rebel against society.
            "," Michael B. Jordan
, Aaron Davis
, Cindy Katz
, Michael Shannon
, Mayko Nguyen
, Dylan Taylor
, Saad Siddiqui
, Katherine Cullen
, Edsson Morales
, Jordan Baker
, Nathanial Buzzanga-Silveira
, Charlotte Flint
, Luke Flint
, Malakai Fox
, Marni Hogg
",USA,"[' Drama', ' Sci-Fi', ' Thriller', None, None]",USA, HBO Films,"Hamilton, Ontario, Canada"
572,301,6.2,Flint (TV Movie 2017) - IMDb,"
                    A woman deals with the toxic water scandal in Flint, Michigan, and the effect it has on her family.
            "," Marin Ireland
, Betsy Brandt
, Queen Latifah
, Rob Morrow
, Richard Waugh
, Lyndie Greenwood
, Jill Scott
, Janet Porter
, Lynne Griffin
, Dylan Taylor
, Emma Campbell
, Anwen O'Driscoll
, Richard Fitzpatrick
, Christian Potenza
, Sonia Dhillon Tully
",English,"[' Drama', ' ', None, None, None]",English, Sony Pictures Television,
573,"1,582",7.2,Hollywood Game Night (TV Series 2013– ) - IMDb,"
                    Features two contestants, each with a team of celebrity guests, competing in pop culture party games for a chance to win $25,000.
            "," Jane Lynch
, Alexandria Sounis
, Tim Neff
, Ric Markmann
, Teisha Wheaton
",USA,"[' Comedy', ' ', None, None, None]",USA, Hazy Mills Productions,
574,"5,907",6.5,Paterno (TV Movie 2018) - IMDb,"
                    The film centers on Joe Paterno, who after becoming the most successful coach in college football history, is embroiled in Penn State's Jerry Sandusky sexual abuse scandal, challenging his ...
                    "," Al Pacino
, Kathy Baker
, Kenneth Maharaj
, Michael Mastro
, Joshua Morgan
, Ross Degraw
, Mitchell L. Mack
, Larry Mitchell
, Darren Goldstein
, Riley Keough
, Nicholas Sadler
, Sir Brodie
, Greg Grunberg
, Annie Parisse
, Vito Vitiello
",English,"[' Biography', ' Crime', ' Drama', ' Sport', None]",English, Edward R. Pressman Film,
575,"23,421",8.1,Patrick Melrose (TV Mini-Series 2018) - IMDb,"
                    Based on the Patrick Melrose Novels by Edward St. Aubyn.
            "," Benedict Cumberbatch
, Jennifer Jason Leigh
, Hugo Weaving
, Sebastian Maltz
, Jessica Raine
, Prasanna Puwanarajah
, Pip Torrens
, Anna Madeley
, Indira Varma
, Gary Beadle
, Blythe Danner
, Morfydd Clark
, Celia Imrie
, Holliday Grainger
, Eileen Walsh
, John Standing
, Marcus Smith
, Dainton Anderson
, Guy Paul
",UK,"[' Drama', ' ', None, None, None]",UK, Showtime Entertainment,"Cochrane Street, Glasgow, Strathclyde, Scotland, UK"
576,"40,616",7.7,The Alienist: Angel of Darkness (TV Series 2018–2020) - IMDb,"
                    Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century.
            "," Daniel Brühl
, Luke Evans
, Robert Wisdom
, Douglas Smith
, Matthew Shear
, Dakota Fanning
, Ted Levine
, Martin McCreadie
, Brian Geraghty
, Q'orianka Kilcher
, Matt Lintz
, David Wilmot
, Brittany Marie Batchelder
, Rosy McEwen
, Melanie Field
, Emily Barber
",USA,"[' Crime', ' Drama', ' Mystery', None, None]",USA, TNT,"Budapest, Hungary"
577,"8,973",7.6,Louis C.K. 2017 (2017) - IMDb,"
                    Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers, and more in a live performance from Washington D.C.
            "," Louis C.K.
",USA,"[' Comedy', ' ', None, None, None]",USA, Jax Media,"DAR Constitution Hall - 1776 D St NW, Washington, District of Columbia, USA"
578,337,4.0,Stephen Colbert's Live Election Night Democracy's Series Finale: Who's Going to Clean Up This Sh*t? (2016) - IMDb,"
                    "," Stephen Colbert
, Mark Halperin
, John Heilemann
, Jeff Goldblum
, Elle King
, Jonathan Batiste
, Stay Human
, Laura Benanti
, Jena Friedman
, Charlamagne Tha God
, Nick Offerman
",USA,"[' Comedy', ' ', None, None, None]",USA,IMDbPro,"Ed Sullivan Theater - 1697 Broadway, Manhattan, New York City, New York, USA"
579,"3,208",6.8,Sarah Silverman: A Speck of Dust (2017) - IMDb,"
                    In her first comedy special post-health scare, Sarah Silverman shares a mix of fun facts, sad truths and yeah-she-just-went-there moments.
            "," Sarah Silverman
",USA,"[' Comedy', ' ', None, None, None]",USA, Netflix Studios,"Largo at the Coronet, 366 North La Cienega Boulevard, Los Angeles, California, USA"
580,"39,075",8.0,GLOW (TV Series 2017–2019) - IMDb,"
                    A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s.
            "," Alison Brie
, Betty Gilpin
, Britt Baron
, Sydelle Noel
, Kate Nash
, Britney Young
, Gayle Rankin
, Marc Maron
, Kia Stevens
, Jackie Tohn
, Kimmy Gatewood
, Sunita Mani
, Rebekka Johnson
, Ellen Wong
, Chris Lowell
, Marianna Palka
, Shakira Barrera
, Bashir Salahuddin
",English,"[' Comedy', ' Drama', ' Sport', None, None]",English, Tilted Productions,
581,"21,355",6.8,The Wizard of Lies (TV Movie 2017) - IMDb,"
                    The fall of Bernie Madoff, whose Ponzi scheme robbed $65 billion from unsuspecting victims; the largest fraud in U.S. history.
            "," Robert De Niro
, Diana Henriques
, Nathan Darrow
, Alessandro Nivola
, Michael Kostroff
, Kathrine Narducci
, Michelle Pfeiffer
, Steve Coulter
, David Lipman
, Kelly AuCoin
, Don Castro
, Amanda Warren
, Mark La Mura
, Michael A. Goorjian
, Sophie von Haselberg
",USA,"[' Biography', ' Crime', ' Drama', None, None]",USA, Home Box Office (HBO),"17 East 89th Street, New York City, New York, USA"
582,"3,109",6.3,The Immortal Life of Henrietta Lacks (TV Movie 2017) - IMDb,"
                    An African-American woman becomes an unwitting pioneer for medical breakthroughs when her cells are used to create the first immortal human cell line in the early 1950s.
            "," Renée Elise Goldsberry
, Sylvia Grace Crim
, Reed Birney
, Karen Wheeling Reynolds
, John C. Vennema
, Chasiti Ferrell
, Chelsea Ferrell
, Rose Byrne
, Ruben Santiago-Hudson
, Oprah Winfrey
, Jaedon Godley
, Rocky Carroll
, John Douglas Thompson
, Roger Robinson
, Adriane Lenox
",English,"[' Biography', ' Drama', ' History', ' Mystery', None]",English, HBO Films,
583,278,1.9,The Late Late Show Primetime Carpool Karaoke Special (2017) - IMDb,"
                    "," Katy Perry
, Jennifer Lopez
, James Corden
, Tony Rodriguez
, Leo Lam
, Ariana Marchesini
, William Pierce
",English,"[' Musical', None, None, None, None]",English, CBS Television Studios,
584,"209,232",7.8,Gotham (TV Series 2014–2019) - IMDb,"
                    The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.
            "," Ben McKenzie
, Donal Logue
, David Mazouz
, Robin Lord Taylor
, Camren
, Cory Michael Smith
, Sean Pertwee
, Erin Richards
, Morena Baccarin
, Chris Chalk
, Drew Powell
, Jessica Lucas
, Michael Chiklis
",USA," Action, Crime, Drama, Mystery, Sci-Fi",USA, Primrose Hill Productions,"New York City, New York, USA"
585,726,8.0,Dolly Parton's Christmas of Many Colors: Circle of Love (TV Movie 2016) - IMDb,"
                    An unexpected blizzard threatens the Parton family, while at the same time Dolly's father (and his kids) make sacrifices to raise enough money to finally buy his wife the wedding ring he ...
                    "," Kelli Berglund
, Farrah Mackenzie
, Dolly Parton
, Alyvia Alyn Lind
, Gerald McRaney
, Ricky Schroder
, Hannah Nordberg
, Jennifer Nettles
, Alana Cavanaugh
, Jane McNeill
, Mitch Eakins
, Blane Crockarell
, Kennedy Brice
, Stella Parton
, Mary Lane Haskell
",English,"[' Drama', ' ', None, None, None]",English, Dixie Pixie Productions,
