,finalist,year,winner_Nominee,item_award,award_description
8013,Alfred Molina,2015,Winner,Movies for Grownups Award,Best Grownup Love Story
8014,Alfred Molina,2005,Nominee,Saturn Award,Best Supporting Actor
8015,Alfred Molina,2009,Nominee,ALMA Award,Actor in Film
8016,Alfred Molina,2013,Winner,Ashland Independent Film Award,Best Acting Ensemble: Feature
8017,Alfred Molina,2009,Nominee,ACCA,Best Actor in a Supporting Role
8018,Alfred Molina,2018,Winner,BTVA Special/DVD Voice Acting Award,Best Vocal Ensemble in a TV Special/Direct-to-DVD Title or Short
8019,Alfred Molina,2009,Nominee,British Independent Film Award,Best Supporting Actor
8020,Alfred Molina,2018,Nominee,Critics Choice Award,Best Supporting Actor in a Movie Made for Television or Limited Series
8021,Alfred Molina,1990,Winner,Broadcasting Press Guild Award,Best Actor
8022,Alfred Molina,2003,Nominee,CFCA Award,Best Supporting Actor
8023,Alfred Molina,2010,Nominee,Chlotrudis Award,Best Supporting Actor
8024,Alfred Molina,2015,Winner,CinEuphoria,Best Ensemble - International Competition
8025,Alfred Molina,2014,Nominee,DFWFCA Award,Best Supporting Actor
8026,Alfred Molina,2017,Winner,DOC LA Award,DOC LA Storyteller Award
8027,Alfred Molina,2015,Nominee,Independent Spirit Award,Best Supporting Male
8028,Alfred Molina,2000,Winner,FFCC Award,Best Ensemble Cast
8029,Alfred Molina,2017,Nominee,Gold Derby TV Award,TV Movie/Mini Supporting Actor
8030,Alfred Molina,2001,Nominee,Grammy,Best Spoken Word Album
8031,Alfred Molina,2017,Nominee,Imagen Award,Best Supporting Actor - Television
8032,Alfred Molina,2002,Nominee,Sierra Award,Best Supporting Actor
8033,Alfred Molina,2010,Nominee,ALFS Award,British Supporting Actor of the Year
8034,Alfred Molina,2005,Nominee,MTV Movie Award,Best Villain
8035,Alfred Molina,2015,Nominee,NCFCA Award,Best Supporting Actor
8036,Alfred Molina,2017,Nominee,OFTA Television Award,Best Supporting Actor in a Motion Picture or Limited Series
8037,Alfred Molina,1990,Winner,RTS Television Award,Best Actor - Male
8038,Alfred Molina,2009,Nominee,Satellite Award,Best Actor in a Supporting Role
8039,Alfred Molina,2010,Nominee,Actor,Outstanding Performance by a Cast in a Motion Picture
8040,Alfred Molina,2009,Nominee,SLFCA Award,Best Supporting Actor
8041,Alfred Molina,2005,Nominee,Teen Choice Award,Choice Movie Bad Guy
8042,Alfred Molina,2010,Nominee,VFCC Award,Best Supporting Actor
8043,Alfred Molina,2005,Winner,VES Award,Outstanding Performance by an Actor or Actress in a Visual Effects Film
8044,Alfred Molina,2009,Nominee,WAFCA Award,Best Supporting Actor
8045,Ken Ehrlich,2019,Nominee,Primetime Emmy,Outstanding Variety Special (Live)
8046,Ken Ehrlich,1995,Nominee,CableACE,Music Special
8047,Ken Ehrlich,2020,Winner,Grammy,Trustees Awards
8048,Ken Ehrlich,2007,Winner,Visionary Award,
8049,Ken Ehrlich,2015,Winner,Star on the Walk of Fame,Television
8050,Colin Hanks,2015,Nominee,Golden Globe,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
8051,Colin Hanks,2014,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Miniseries or a Movie
8052,Colin Hanks,2014,Nominee,Critics' Choice TV Award,Best Supporting Actor in a Movie/Miniseries
8053,Colin Hanks,2014,Nominee,Gold Derby TV Award,TV Movie/Mini Supporting Actor
8054,Colin Hanks,2002,Nominee,MTV Movie Award,Breakthrough Male Performance
8055,Colin Hanks,2014,Nominee,OFTA Television Award,Best Supporting Actor in a Motion Picture or Miniseries
8056,Colin Hanks,2016,Nominee,Satellite Award,"Best Actor in a Series, Comedy or Musical"
8057,Colin Hanks,2012,Nominee,Actor,Outstanding Performance by an Ensemble in a Drama Series
8058,Colin Hanks,2005,Winner,VGA,Best Cast
8059,Alan Zweibel,2019,Nominee,Primetime Emmy,Outstanding Documentary or Nonfiction Special
8060,Colin Hanks,2002,Winner,Young Hollywood Award,One to Watch - Male
8061,Alan Zweibel,1989,Nominee,ACE,Comedy Series
8062,Alan Zweibel,1995,Nominee,Razzie Award,Worst Picture
8063,Alan Zweibel,2020,Winner,Gold Telly,General Television
8064,Alan Zweibel,1994,Winner,Stinker Award,Worst Picture
8065,Alan Zweibel,2010,Winner,Ian McLellan Hunter Award,
8066,Paul Greenberg,2014,Nominee,Primetime Emmy,Outstanding Writing for a Variety Special
8067,Paul Greenberg,2017,Nominee,BTVA Anime Dub Movie/Special Voice Acting Award,Best Vocal Ensemble in an Anime Feature Film/Special
8068,Paul Greenberg,2008,Nominee,Daytime Emmy,Outstanding Talk Show/Entertainment
8069,Paul Greenberg,2013,Winner,WGA Award (TV),"Comedy/Variety - Music, Awards, Tributes - Specials"
8070,Billy Crystal,1993,Nominee,Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical
8071,Billy Crystal,2014,Nominee,Primetime Emmy,Outstanding Writing for a Variety Special
8072,Billy Crystal,2001,Nominee,American Comedy Award,"Funniest Male Performer in a TV Special (Leading or Supporting) Network, Cable or Syndication"
8073,Billy Crystal,2014,Nominee,Annie,Outstanding Achievement in Voice Acting in an Animated Feature Production
8074,Billy Crystal,2014,Nominee,BTVA Feature Film Voice Acting Award,Best Male Lead Vocal Performance in a Feature Film
8075,Billy Crystal,2000,Winner,Blockbuster Entertainment Award,Favorite Comedy Team
8076,Billy Crystal,1995,Nominee,CableACE,Entertainment Host
8077,Billy Crystal,2002,Nominee,DGA Award,Outstanding Directorial Achievement in Movies for Television
8078,Billy Crystal,2005,Winner,Excellence in Media Award,
8079,Billy Crystal,2012,Nominee,Gold Derby TV Award,Variety Performer
8080,Billy Crystal,1989,Winner,Golden Apple,Male Star of the Year
8081,Billy Crystal,2014,Nominee,Grammy,Best Spoken Word Album
8082,Billy Crystal,2000,Winner,Man of the Year,
8083,Billy Crystal,2014,Nominee,Blimp Award,Favorite Voice from an Animated Movie
8084,Billy Crystal,2007,Winner,Mark Twain Prize,Mark Twain Prize for American Humor
8085,Billy Crystal,1992,Winner,MTV Movie Award,Best Comedic Performance
8086,Billy Crystal,2012,Nominee,OFTA Television Award,Best Host or Panelist in a Non-Fiction Program
8087,Billy Crystal,1995,Nominee,Razzie Award,Worst Remake or Sequel
8088,Billy Crystal,1991,Winner,Special Award,Comedy Star of the Decade
8089,Billy Crystal,1992,Winner,TCA Award,Outstanding Achievement in Specials
8090,Billy Crystal,1994,Nominee,Stinker Award,Worst Sequel
8091,Billy Crystal,2001,Winner,AFI Star Award,
8092,Billy Crystal,1991,Winner,Star on the Walk of Fame,Motion Picture
8093,Billy Crystal,1991,Winner,Humanitarian Award,
8094,Billy Crystal,2002,Winner,World Soundtrack Award,Best Original Song Written for a Film
8095,Michael Shoemaker,2020,Nominee,Primetime Emmy,Outstanding Writing for a Variety Series
8096,Michael Shoemaker,2014,Nominee,PGA Award,Outstanding Producer of Live Entertainment & Talk Television
8097,Michael Shoemaker,2009,Winner,Webby Award,Online Film & Video: Variety
8098,Michael Shoemaker,2019,Nominee,WGA Award (TV),Comedy/Variety Talk Series
8099,Alex Baze,2020,Nominee,Primetime Emmy,Outstanding Writing for a Variety Series
8100,Alex Baze,2019,Nominee,WGA Award (TV),Comedy/Variety Talk Series
8101,Sam Means,2020,Nominee,Primetime Emmy,Outstanding Television Movie
8102,Sam Means,2011,Nominee,Daytime Emmy,Outstanding Special Class Writing
8103,Sam Means,2017,Nominee,Gold Derby TV Award,Comedy Episode of the Year
8104,Sam Means,2013,Nominee,OFTA Television Award,Best Writing in a Comedy Series
8105,Sam Means,2017,Nominee,WGA Award (TV),Comedy Series
8106,Dave Boone,2017,Nominee,Primetime Emmy,Outstanding Writing for a Variety Special
8107,Dave Boone,1995,Winner,CableACE,Stand-Up Comedy Series
8108,Dave Boone,2014,Nominee,Daytime Emmy,Outstanding Special Class Writing
8109,Dave Boone,2019,Nominee,WGA Award (TV),Comedy/Variety Specials
8110,James Lapine,2014,Nominee,Primetime Emmy,Outstanding Directing for a Variety Special
8111,James Lapine,2015,Nominee,Cinema Eye Honors Award,Outstanding Achievement in Nonfiction Filmmaking for Television
8112,Robert Carlock,2020,Nominee,Primetime Emmy,Outstanding Television Movie
8113,Robert Carlock,2015,Nominee,Gold Derby TV Award,Comedy Episode of the Year
8114,Robert Carlock,2015,Nominee,Gotham Independent Film Award,Breakthrough Series - Long Form
8115,Robert Carlock,2009,Nominee,Humanitas Prize,30 Minute Network or Syndicated Television
8116,Robert Carlock,2013,Nominee,Image Award,Outstanding Writing in a Comedy Series
8117,Robert Carlock,2012,Nominee,Golden Nymph,Outstanding International Producer (Comedy Series)
8118,Robert Carlock,2013,Nominee,OFTA Television Award,Best Writing in a Comedy Series
8119,Robert Carlock,2014,Nominee,PGA Award,"Outstanding Producer of Episodic Television, Comedy"
8120,Robert Carlock,2019,Nominee,WGA Award (TV),Episodic Comedy
8121,Hamish Hamilton,2020,Nominee,Primetime Emmy,Outstanding Directing for a Variety Special
8122,Hamish Hamilton,2013,Winner,BAFTA TV Award,Best Director: Multi-Camera
8123,Hamish Hamilton,1997,Nominee,BAFTA Scotland Award,Best Entertainment Programme
8124,Hamish Hamilton,2016,Nominee,DGA Award,Outstanding Directorial Achievement in Variety/Talk/News/Sports - Specials
8125,Hamish Hamilton,2003,Nominee,Grammy,Best Long Form Music Video
8126,Jon Macks,2015,Nominee,Primetime Emmy,Outstanding Writing for a Variety Special
8127,Jon Macks,2019,Nominee,WGA Award (TV),Comedy/Variety Specials
8128,Gregg Gelfand,2014,Nominee,Primetime Emmy,Outstanding Directing for a Variety Special
8129,Gregg Gelfand,2011,Winner,DGA Award,Outstanding Directorial Achievement in Musical Variety
8130,Louis J. Horvitz,2020,Nominee,Primetime Emmy,Outstanding Directing for a Variety Special
8131,Louis J. Horvitz,2018,Nominee,Black Reel,Outstanding TV Documentary or Special
8132,Louis J. Horvitz,1995,Nominee,CableACE,Stand-Up Comedy Special or Series
8133,Louis J. Horvitz,2019,Winner,DGA Award,Outstanding Directorial Achievement in Variety/Talk/News/Sports - Specials
8134,Louis J. Horvitz,2011,Winner,Image Award,Outstanding Variety Series or Special
8135,Rob Ashford,2014,Nominee,Primetime Emmy,Outstanding Directing for a Variety Special
8136,Rob Ashford,2015,Nominee,DGA Award,Outstanding Directorial Achievement in Movies for Television and Mini-Series
8137,Seth Meyers,2020,Nominee,Primetime Emmy,Outstanding Writing for a Variety Special
8138,Seth Meyers,2016,Nominee,Grammy,Best Spoken Word Album
8139,Seth Meyers,2019,Nominee,HMMA Award,Best Original Song - TV Show/Limited Series
8140,Seth Meyers,2020,Nominee,OFTA Television Award,Best Male Performance in a Variety Program
8141,Seth Meyers,2019,Nominee,WGA Award (TV),Comedy/Variety Talk Series
8142,Barry Adelman,2020,Nominee,Primetime Emmy,Outstanding Variety Special (Live)
8143,Barry Adelman,1991,Nominee,Daytime Emmy,Outstanding Special Class Writing
8144,Barry Adelman,2017,Nominee,WGA Award (TV),"Comedy/Variety (Music, Awards, Tributes) - Specials"
8145,Beth McCarthy-Miller,2020,Nominee,Primetime Emmy,Outstanding Comedy Series
8146,Beth McCarthy-Miller,1995,Winner,CableACE,Music Series
8147,Beth McCarthy-Miller,2008,Nominee,Daytime Emmy,Outstanding Special Class Directing
8148,Beth McCarthy-Miller,2019,Nominee,DGA Award,Outstanding Directorial Achievement in Variety/Talk/News/Sports - Specials
8149,Beth McCarthy-Miller,2016,Nominee,Gold Derby TV Award,Comedy Episode of the Year
8150,Beth McCarthy-Miller,2013,Winner,Gracie,Outstanding Director - Entertainment
8151,Beth McCarthy-Miller,2014,Winner,OFTA Television Award,Best Direction in a Comedy Series
8152,Beth McCarthy-Miller,2002,Winner,Peabody Award,Winner
8153,Natasha Lyonne,2020,Nominee,Golden Globe,Best Performance by an Actress in a Television Series - Musical or Comedy
8154,Natasha Lyonne,2019,Nominee,Primetime Emmy,Outstanding Comedy Series
8155,Natasha Lyonne,2019,Nominee,Saturn Award,Best Actress in Streaming Presentation
8156,Natasha Lyonne,1999,Nominee,CFCA Award,Most Promising Actress
8157,Natasha Lyonne,2017,Nominee,Chainsaw Award,Best Actress
8158,Natasha Lyonne,2020,Nominee,Dorian Award,TV Performance of the Year - Actress
8159,Natasha Lyonne,2019,Nominee,Gold Derby TV Award,Comedy Lead Actress
8160,Natasha Lyonne,2011,Winner,Festival Award,Best Actress
8161,Natasha Lyonne,2019,Nominee,Gotham Independent Film Award,Breakthrough Series - Shortform
8162,Natasha Lyonne,2020,Nominee,Hugo,Best Dramatic Presentation - Long Form
8163,Natasha Lyonne,2019,Nominee,IGN Award,Best Comedic TV Performance
8164,Natasha Lyonne,2008,Winner,Angel Film Award,Best Supporting Female Actor
8165,Natasha Lyonne,2019,Nominee,OFTA Television Award,Best Actress in a Comedy Series
8166,Natasha Lyonne,2019,Nominee,Satellite Award,"Best Actress in a Series, Comedy or Musical"
8167,Natasha Lyonne,2018,Nominee,Actor,Outstanding Performance by an Ensemble in a Comedy Series
8168,Natasha Lyonne,1999,Nominee,Teen Choice Award,Film - Breakout Performance
8169,Natasha Lyonne,2019,Nominee,TCA Award,Individual Achievement in Comedy
8170,Natasha Lyonne,2020,Nominee,WGA Award (TV),Comedy Series
8171,Natasha Lyonne,2000,Winner,Young Hollywood Award,Best Ensemble Cast
8172,Glenn Weiss,2020,Nominee,Primetime Emmy,Outstanding Variety Special (Live)
8173,Glenn Weiss,1993,Nominee,CableACE,Talk Show Special or Series
8174,Glenn Weiss,2009,Nominee,Daytime Emmy,Outstanding Special Class Directing
8175,Glenn Weiss,2020,Nominee,DGA Award,Outstanding Directorial Achievement in Variety/Talk/News/Sports - Specials
8176,Glenn Weiss,2012,Nominee,PGA Award,Outstanding Producer of Live Entertainment & Talk Television
8177,Laverne Cox,2020,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
8178,Laverne Cox,2014,Nominee,Critics' Choice TV Award,Best Supporting Actress in a Comedy Series
8179,Laverne Cox,2015,Winner,Daytime Emmy,Outstanding Special Class Special
8180,Laverne Cox,2014,Winner,Dorian Award,We're Wilde About You! Rising Star of the Year
8181,Laverne Cox,2014,Winner,Stephen F. Kolzak Award,
8182,Laverne Cox,2020,Nominee,Gold Derby TV Award,Drama Guest Actress
8183,Laverne Cox,2017,Nominee,Image Award,Outstanding Supporting Actress in a Comedy Series
8184,Laverne Cox,2013,Winner,Festival Prize,Best Supporting Actress in a Feature
8185,Laverne Cox,2017,Nominee,OFTA Television Award,Best Guest Actress in a Drama Series
8186,Laverne Cox,2016,Winner,Actor,Outstanding Performance by an Ensemble in a Comedy Series
8187,Gary Cole,2014,Nominee,Primetime Emmy,Outstanding Guest Actor in a Comedy Series
8188,Gary Cole,2016,Nominee,BTVA Television Voice Acting Award,Best Vocal Ensemble in a New Television Series
8189,Gary Cole,2014,Nominee,Canadian Screen Award,Best Performance by an Actor in a Leading Role in a Dramatic Program or Mini-Series
8190,Gary Cole,2015,Winner,Best Actor,Best Actor
8191,Gary Cole,2018,Winner,Actor,Outstanding Performance by an Ensemble in a Comedy Series
8192,Uzo Aduba,2016,Nominee,Golden Globe,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television"
8193,Uzo Aduba,2020,Winner,Primetime Emmy,Outstanding Supporting Actress in a Limited Series or Movie
8194,Uzo Aduba,2018,Nominee,BTVA Feature Film Voice Acting Award,Best Vocal Ensemble in a Feature Film
8195,Uzo Aduba,2020,Nominee,Black Reel,"Outstanding Supporting Actress, TV Movie/Limited Series"
8196,Uzo Aduba,2014,Winner,Critics' Choice TV Award,Best Guest Performer in a Comedy Series
8197,Uzo Aduba,2020,Nominee,Dorian TV Award,Best Supporting TV Performance - Actress
8198,Uzo Aduba,2015,Nominee,Gold Derby TV Award,Drama Supporting Actress
8199,Uzo Aduba,2019,Nominee,Image Award,Outstanding Supporting Actress in a Comedy Series
8200,Uzo Aduba,2020,Nominee,OFTA Television Award,Best Supporting Actress in a Motion Picture or Limited Series
8201,Uzo Aduba,2013,Nominee,Satellite Award,"Best Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
8202,Uzo Aduba,2018,Nominee,Actor,Outstanding Performance by a Female Actor in a Comedy Series
8203,Reg E. Cathey,2016,Nominee,Primetime Emmy,Outstanding Guest Actor in a Drama Series
8204,Reg E. Cathey,2005,Nominee,Black Reel,"Best Supporting Actor, Network/Cable Television"
8205,Reg E. Cathey,2017,Nominee,Black Reel,"Outstanding Supporting Actor, TV Movie/Limited Series"
8206,Reg E. Cathey,2019,Nominee,Gold Derby TV Award,Drama Guest Actor of the Decade
8207,Reg E. Cathey,2016,Nominee,OFTA Television Award,Best Guest Actor in a Drama Series
8208,Kate Mara,2014,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
8209,Kate Mara,2015,Winner,CinemaCon Award,Ensemble Award
8210,Kate Mara,2012,Nominee,GAFCA Award,Best Supporting Actress
8211,Kate Mara,2014,Nominee,Gold Derby TV Award,Drama Guest Actress
8212,Kate Mara,2016,Nominee,Grace Award,Most Inspiring Performance in Movies
8213,Kate Mara,2014,Nominee,OFTA Television Award,Best Guest Actress in a Drama Series
8214,Kate Mara,2016,Nominee,Razzie Award,Worst Screen Combo
8215,Kate Mara,2015,Winner,Face of the Future,
8216,Billy Porter,2020,Nominee,Golden Globe,Best Performance by an Actor in a Television Series - Drama
8217,Billy Porter,2020,Nominee,Primetime Emmy,Outstanding Lead Actor in a Drama Series
8218,Billy Porter,2020,Nominee,BET Award,Best Actor
8219,Billy Porter,2020,Nominee,Black Reel,"Outstanding Actor, Drama Series"
8220,Billy Porter,2020,Nominee,Critics Choice Award,Best Actor in a Drama Series
8221,Billy Porter,2020,Winner,Dorian Award,TV Performance of the Year - Actor
8222,Billy Porter,2017,Winner,Vito Russo Award,
8223,Billy Porter,2020,Nominee,Gold Derby TV Award,Drama Actor
8224,Billy Porter,2019,Nominee,IGN Award,Best Dramatic TV Performance
8225,Billy Porter,2020,Nominee,Image Award,Outstanding Actor in a Drama Series
8226,Billy Porter,2020,Nominee,OFTA Television Award,Best Actor in a Drama Series
8227,Billy Porter,2020,Nominee,Shorty Award,Best Actor
8228,Billy Porter,2019,Nominee,TCA Award,Individual Achievement in Drama
8229,Billy Porter,2020,Winner,Queerty,Badass
8230,Matthew Rhys,2019,Nominee,Golden Globe,Best Performance by an Actor in a Television Series - Drama
8231,Matthew Rhys,2018,Winner,Primetime Emmy,Outstanding Lead Actor in a Drama Series
8232,Matthew Rhys,2019,Nominee,BAFTA Cymru Award,Best Actor (Yr Actor Gorau)
8233,Matthew Rhys,2019,Winner,Critics Choice Award,Best Actor in a Drama Series
8234,Matthew Rhys,2016,Nominee,Critics' Choice TV Award,Best Actor in a Drama Series
8235,Matthew Rhys,2019,Nominee,Dorian Award,TV Performance of the Year - Actor
8236,Matthew Rhys,2019,Nominee,Gold Derby TV Award,Drama Actor of the Decade
8237,Matthew Rhys,2018,Nominee,IGN Award,Best Dramatic TV Performance
8238,Matthew Rhys,2018,Winner,OFTA Television Award,Best Actor in a Drama Series
8239,Matthew Rhys,2019,Nominee,Satellite Award,"Best Actor in a Series, Drama/Genre"
8240,Matthew Rhys,2019,Nominee,Actor,Outstanding Performance by an Ensemble in a Drama Series
8241,Matthew Rhys,2018,Nominee,TCA Award,Individual Achievement in Drama
8242,Rami Malek,2019,Winner,Oscar,Best Performance by an Actor in a Leading Role
8243,Rami Malek,2020,Nominee,Golden Globe,Best Performance by an Actor in a Television Series - Drama
8244,Rami Malek,2016,Winner,Primetime Emmy,Outstanding Lead Actor in a Drama Series
8245,Rami Malek,2019,Winner,BAFTA Film Award,Best Leading Actor
8246,Rami Malek,2019,Winner,AACTA International Award,Best Lead Actor
8247,Rami Malek,2019,Nominee,EDA Award,Best Actor
8248,Rami Malek,2019,Nominee,AFCA Award,Best Actor
8249,Rami Malek,2019,Nominee,ACCA,Best Actor in a Leading Role
8250,Rami Malek,2019,Nominee,Critics Choice Award,Best Actor
8251,Rami Malek,2018,Nominee,CFCA Award,Best Actor
8252,Rami Malek,2019,Winner,CinEuphoria,Best Actor - Audience Award
8253,Rami Malek,2016,Winner,Critics' Choice TV Award,Best Actor in a Drama Series
8254,Rami Malek,2018,Nominee,DFWFCA Award,Best Actor
8255,Rami Malek,2019,Nominee,DFCS Award,Best Actor
8256,Rami Malek,2018,Nominee,DFCS Award,Best Actor
8257,Rami Malek,2018,Nominee,DFCC,Best Actor
8258,Rami Malek,2019,Nominee,Dorian Award,Film Performance of the Year - Actor
8259,Rami Malek,2019,Nominee,GAFCA Award,Best Actor
8260,Rami Malek,2019,Nominee,Gold Derby Award,Lead Actor
8261,Rami Malek,2018,Winner,Golden Schmoes,Best Actor of the Year
8262,Rami Malek,2019,Nominee,HFCS Award,Best Actor
8263,Rami Malek,2019,Nominee,HFCS Award,Best Actor
8264,Rami Malek,2018,Nominee,IGN Award,Best Lead Performer in a Movie
8265,Rami Malek,2018,Nominee,ICP Award,Best Lead Actor
8266,Rami Malek,2019,Winner,IFC Award,Best Actor
8267,Rami Malek,2019,Nominee,LEJA Award,Best Performance by an Actor in a Leading Role
8268,Rami Malek,2018,Winner,LAOFCS Award,Best Actor
8269,Rami Malek,2019,Nominee,MTV Movie + TV Award,Best Performance in a Movie
8270,Rami Malek,2019,Nominee,MCFCA Award,Best Actor
8271,Rami Malek,2019,Nominee,NCFCA Award,Best Actor
8272,Rami Malek,2018,Winner,NTFCA Award,Best Actor
8273,Rami Malek,2018,Winner,OAFFC Award,Best Male Lead
8274,Rami Malek,2019,Winner,OFTA Film Award,Best Actor
8275,Rami Malek,2019,Winner,Breakthrough Performance Award,
8276,Rami Malek,2017,Nominee,People's Choice Award,Favorite Cable TV Actor
8277,Rami Malek,2018,Nominee,PCC Award,Best Actor
8278,Rami Malek,2018,Nominee,SDFCS Award,Breakthrough Artist
8279,Rami Malek,2018,Nominee,SFFCC Award,Best Actor
8280,Rami Malek,2019,Winner,Outstanding Performance Award,
8281,Rami Malek,2019,Winner,Satellite Award,"Best Actor in a Motion Picture, Comedy or Musical"
8282,Rami Malek,2019,Winner,Actor,Outstanding Performance by a Male Actor in a Leading Role
8283,Rami Malek,2018,Nominee,Seattle Film Critics Award,Best Actor
8284,Rami Malek,2018,Nominee,SLFCA Award,Best Actor
8285,Rami Malek,2019,Nominee,Teen Choice Award,Choice Drama Movie Actor
8286,Rami Malek,2016,Nominee,TCA Award,Individual Achievement in Drama
8287,Rami Malek,2018,Nominee,WAFCA Award,Best Actor
8288,Jeff Goldblum,1996,Nominee,Oscar,"Best Short Film, Live Action"
8289,Jeff Goldblum,2020,Nominee,Primetime Emmy,Outstanding Hosted Nonfiction Series or Special
8290,Jeff Goldblum,1997,Nominee,Saturn Award,Best Actor
8291,Jeff Goldblum,2017,Nominee,EDA Special Mention Award,Most Egregious Age Difference Between the Leading Man and the Love Interest
8292,Jeff Goldblum,1998,Nominee,Blockbuster Entertainment Award,Favorite Actor - Sci-Fi
8293,Jeff Goldblum,2004,Nominee,BSFC Award,Best Ensemble Cast
8294,Jeff Goldblum,2013,Nominee,British Independent Film Award,Best Supporting Actor
8295,Jeff Goldblum,2005,Nominee,Critics Choice Award,Best Acting Ensemble
8296,Jeff Goldblum,1989,Nominee,ACE,Actor in a Movie or Miniseries
8297,Jeff Goldblum,2015,Winner,COFCA Award,Best Ensemble
8298,Jeff Goldblum,1993,Nominee,CFCA Award,Best Supporting Actor
8299,Jeff Goldblum,1996,Nominee,Gold Hugo,Best Short Film
8300,Jeff Goldblum,2016,Winner,CinemaCon Award,Ensemble of the Universe
8301,Jeff Goldblum,2017,Winner,Special Achievement Award,
8302,Jeff Goldblum,2014,Winner,DFCS Award,Best Ensemble
8303,Jeff Goldblum,1993,Winner,Chainsaw Award,Best Supporting Actor
8304,Jeff Goldblum,1993,Nominee,Independent Spirit Award,Best Supporting Male
8305,Jeff Goldblum,2014,Winner,FFCC Award,Best Ensemble
8306,Jeff Goldblum,1983,Nominee,Genie,Best Performance by a Foreign Actor
8307,Jeff Goldblum,2015,Winner,GAFCA Award,Best Ensemble
8308,Jeff Goldblum,2020,Nominee,Gold Derby Award,Ensemble of the Decade
8309,Jeff Goldblum,2019,Nominee,LEJA Award,Best Voice or Motion Capture Performance
8310,Jeff Goldblum,1987,Nominee,NSFC Award,Best Actor
8311,Jeff Goldblum,1986,Nominee,NYFCC Award,Best Actor
8312,Jeff Goldblum,1997,Nominee,OFTA Film Award,Best Sci-Fi/Fantasy/Horror Actor
8313,Jeff Goldblum,2014,Nominee,PFCS Award,Best Ensemble Acting
8314,Jeff Goldblum,2014,Nominee,SDFCS Award,Best Ensemble
8315,Jeff Goldblum,2015,Nominee,Actor,Outstanding Performance by a Cast in a Motion Picture
8316,Jeff Goldblum,1990,Winner,Best Actor,
8317,Jeff Goldblum,2014,Winner,SEFCA Award,Best Ensemble
8318,Jeff Goldblum,2014,Nominee,VVFP Award,Best Supporting Actor
8319,Jeff Goldblum,2018,Winner,Star on the Walk of Fame,Motion Picture
8320,Jeff Goldblum,2014,Nominee,WAFCA Award,Best Acting Ensemble
8321,Camryn Manheim,2006,Nominee,Golden Globe,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
8322,Camryn Manheim,2005,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
8323,Camryn Manheim,2005,Nominee,Gold Derby TV Award,TV Movie/Mini Supporting Actress
8324,Camryn Manheim,1998,Winner,NBR Award,Best Acting by an Ensemble
8325,Camryn Manheim,2005,Winner,OFTA Television Award,Best Supporting Actress in a Motion Picture or Miniseries
8326,Camryn Manheim,2005,Nominee,Satellite Award,"Outstanding Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television"
8327,Camryn Manheim,2001,Nominee,Actor,Outstanding Performance by an Ensemble in a Drama Series
8328,Camryn Manheim,1999,Nominee,TCA Award,Individual Achievement in Drama
8329,Camryn Manheim,2000,Nominee,Q Award,Best Supporting Actress in a Quality Drama Series
8330,Camryn Manheim,1999,Winner,Lucy Award,
8331,Joanne Woodward,1991,Nominee,Oscar,Best Actress in a Leading Role
8332,Joanne Woodward,2006,Nominee,Golden Globe,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
8333,Joanne Woodward,2005,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
8334,Joanne Woodward,1975,Winner,BAFTA Film Award,Best Actress
8335,Joanne Woodward,1973,Winner,Best Actress,
8336,Joanne Woodward,1991,Nominee,CFCA Award,Best Actress
8337,Joanne Woodward,2017,Winner,CinEuphoria,Career - Honorary Award
8338,Joanne Woodward,1991,Nominee,David,Best Foreign Actress (Migliore Attrice Straniera)
8339,Joanne Woodward,1972,Winner,Golden Moon Award,Best Actress
8340,Joanne Woodward,1991,Nominee,Independent Spirit Award,Best Female Lead
8341,Joanne Woodward,1975,Winner,Gala Tribute,
8342,Joanne Woodward,2005,Nominee,Gold Derby TV Award,TV Movie/Mini Supporting Actress
8343,Joanne Woodward,1976,Winner,Golden Apple,Female Star of the Year
8344,Joanne Woodward,1959,Winner,Woman of the Year,
8345,Joanne Woodward,1990,Winner,KCFCC Award,Best Actress
8346,Joanne Woodward,1971,Nominee,Golden Laurel,"Star, Female"
8347,Joanne Woodward,1990,Nominee,LAFCA Award,Best Actress
8348,Joanne Woodward,1957,Winner,NBR Award,Best Actress
8349,Joanne Woodward,1991,Nominee,NSFC Award,Best Actress
8350,Joanne Woodward,1990,Winner,NYFCC Award,Best Actress
8351,Joanne Woodward,2020,Winner,OFTA Film Hall of Fame,Acting
8352,Joanne Woodward,1969,Winner,Showmanship Award,Motion Picture
